good, 6528
great, 4089
fun, 1862
amazing, 1518
more, 1474
worth, 1289
nice, 1077
new, 1046
other, 1022
mobile, 931
awesome, 833
hard, 795
bad, 730
easy, 691
little, 641
first, 639
much, 621
cool, 615
well, 604
many, 564
only, 551
same, 525
simple, 518
few, 455
free, 450
beautiful, 402
addictive, 398
perfect, 380
long, 375
different, 370
favorite, 349
excellent, 335
old, 334
fantastic, 331
able, 328
difficult, 305
challenging, 294
big, 287
real, 277
last, 276
interesting, 274
annoying, 269
super, 268
full, 262
enjoyable, 253
frustrating, 248
boring, 245
small, 238
sure, 238
high, 236
short, 230
most, 217
own, 192
happy, 189
original, 187
next, 183
whole, 176
impossible, 175
cute, 170
black, 168
unique, 167
smooth, 165
wonderful, 163
fine, 160
unplayable, 160
second, 155
single, 155
multiple, 153
terrible, 152
pretty, 152
low, 150
main, 145
least, 145
slow, 143
overall, 142
available, 141
solid, 137
funny, 135
decent, 135
android, 133
brilliant, 131
wrong, 131
enough, 129
right, 126
entertaining, 125
previous, 123
top, 120
extra, 116
possible, 115
bored, 114
unable, 112
sad, 111
repetitive, 109
such, 108
cheap, 107
less, 99
expensive, 97
incredible, 95
favourite, 93
ok, 93
late, 93
relaxing, 92
stupid, 91
weird, 91
horrible, 91
actual, 90
several, 90
laggy, 89
normal, 88
huge, 88
disappointed, 88
entire, 87
similar, 87
glad, 86
offline, 85
quick, 84
certain, 84
online, 83
epic, 81
playable, 81
true, 80
fast, 80
save, 80
casual, 78
excited, 77
recent, 76
creative, 73
endless, 72
awful, 72
random, 71
-, 71
false, 71
lovely, 70
absolute, 69
close, 67
poor, 67
final, 66
drastic, 64
mad, 63
classic, 62
constant, 62
phenomenal, 61
okay, 59
additional, 59
stuck, 58
disappointing, 58
current, 57
interactive, 56
More, 56
complex, 56
minor, 56
major, 54
ridiculous, 53
engaging, 53
intuitive, 53
immersive, 53
fair, 52
complete, 52
large, 51
special, 51
clear, 51
flat, 51
micro, 51
strong, 51
deep, 50
2nd, 50
human, 50
Most, 49
exciting, 49
visual, 48
confusing, 48
sorry, 47
open, 47
crazy, 46
clunky, 46
honest, 46
daily, 46
multi, 45
balanced, 45
future, 44
mini, 44
graphic, 44
ds, 44
general, 43
kinda, 43
dark, 41
limited, 41
half, 41
clean, 41
past, 40
tiny, 40
awsome, 39
clever, 39
pure, 39
basic, 39
compatible, 39
third, 38
friendly, 38
3rd, 38
1st, 38
tough, 38
initial, 38
useless, 38
weak, 37
outstanding, 37
busy, 35
fake, 35
important, 35
pro, 35
specific, 35
early, 35
dead, 35
sweet, 35
tactical, 34
strategic, 34
usual, 34
tired, 33
stressful, 33
internal, 33
white, 33
satisfying, 32
polished, 32
non, 31
fresh, 31
unfair, 31
scary, 30
dumb, 30
external, 30
due, 30
exact, 30
total, 30
wonky, 30
greedy, 30
upset, 29
buggy, 29
rare, 29
addicted, 29
stunning, 29
massive, 29
smart, 29
charming, 28
pixel, 28
local, 28
adorable, 28
personal, 27
realistic, 27
awkward, 27
gorgeous, 27
ready, 26
serious, 26
so, 26
neat, 26
heavy, 26
regular, 26
interested, 26
surprised, 26
detailed, 26
unlocked, 26
skirmish, 26
rewarding, 25
negative, 25
complicated, 25
worthy, 25
intriguing, 25
easter, 25
helpful, 24
simplistic, 24
sick, 24
like, 24
exceptional, 24
impressed, 24
tedious, 24
calm, 24
very, 23
later, 23
odd, 23
saved, 23
common, 23
powerful, 23
hooked, 23
modern, 23
intense, 23
tricky, 23
peaceful, 22
glitchy, 22
strange, 22
slight, 22
premium, 22
tho, 22
hot, 22
lucky, 22
misleading, 22
😊, 21
alright, 21
useful, 21
quite, 21
proper, 21
pointless, 21
replayable, 21
frequent, 21
popular, 20
confused, 20
young, 20
🏻, 20
mid, 20
catchy, 20
audio, 20
graphical, 20
minimal, 20
uninstalled, 20
unresponsive, 20
terraria, 20
superb, 19
blank, 19
pleasant, 19
impressive, 19
finicky, 19
👌, 18
obvious, 18
sound, 18
tutorial, 18
red, 18
rich, 18
insane, 18
double, 18
pleasing, 18
blue, 18
empty, 18
satisfied, 18
idle, 18
frustrated, 17
👍, 17
occasional, 17
player, 17
reasonable, 17
typical, 17
public, 17
mod, 16
fav, 16
stable, 16
willing, 16
correct, 16
generic, 16
hilarious, 16
various, 16
🤙, 16
ill, 15
reinstall, 15
responsive, 15
ultra, 15
left, 15
potential, 15
accessible, 15
present, 15
alive, 15
countless, 15
chinese, 15
about, 15
faithful, 15
damn, 15
unusable, 15
mediocre, 15
active, 15
unlimited, 15
compelling, 15
ninja, 14
angry, 14
surprising, 14
broken, 14
3d, 14
😌, 14
nostalgic, 14
curious, 14
rough, 14
aware, 14
minimalistic, 14
careful, 14
silly, 14
flawless, 14
silent, 14
separate, 14
customizable, 14
creepy, 13
numerous, 13
legendary, 13
4th, 13
pricey, 13
quiet, 13
safe, 13
sudden, 13
hardcore, 13
wise, 13
consistent, 13
minimalist, 13
particular, 13
light, 13
refunded, 13
pink, 13
select, 13
unnecessary, 13
recommend, 13
wide, 13
straight, 13
diverse, 13
locked, 13
understandable, 13
3ds, 13
fat, 13
steep, 13
emotional, 13
sticky, 13
virtual, 12
lazy, 12
😘, 12
musical, 12
comfortable, 12
golden, 12
japanese, 12
portable, 12
aesthetic, 12
key, 12
extreme, 12
refreshing, 12
painful, 12
bright, 12
5th, 12
kind, 12
atleast, 12
rpg, 12
skeptical, 12
hesitant, 12
positive, 12
lame, 12
lol, 11
worried, 11
direct, 11
secret, 11
innovative, 11
critical, 11
medical, 11
sim, 11
corrupt, 11
s10, 11
average, 11
unacceptable, 11
ideal, 11
stale, 11
evil, 11
concerned, 11
individual, 11
unfortunate, 11
identical, 11
dull, 11
cut, 11
alien, 11
grand, 11
convenient, 10
unknown, 10
colorful, 10
live, 10
suspenseful, 10
precise, 10
worthwhile, 10
green, 10
bloody, 10
acceptable, 10
affordable, 10
automatic, 10
mental, 10
unlockable, 10
technical, 10
sized, 10
soft, 10
advertised, 10
excessive, 10
unbalanced, 10
significant, 10
ultimate, 9
infinite, 9
efficient, 9
hidden, 9
effective, 9
choppy, 9
fabulous, 9
international, 9
english, 9
subtle, 9
imo, 9
standard, 9
reminiscent, 9
giant, 9
annoyed, 9
manual, 9
spare, 9
opposite, 9
atmospheric, 9
familiar, 9
fluid, 9
near, 9
physical, 9
overwhelming, 9
down, 9
u, 9
sensitive, 9
magnificent, 9
elegant, 9
delightful, 9
german, 9
cloud, 9
optical, 9
linear, 9
touching, 9
split, 9
❔, 9
sync, 9
op, 9
british, 9
mysterious, 8
official, 8
welcome, 8
steady, 8
inconsistent, 8
dear, 8
unstable, 8
blurry, 8
🖤, 8
proud, 8
indie, 8
amazed, 8
unlock, 8
dynamic, 8
