AUX, ATTR, ADJ, NSUBJ, 
is, game, good, This, 
's, waste, pure, it, 
's, thing, minor, that, 
is, bro, amazing, This, 
is, one, good, it, 
is, game, fun, This, 
is, game, good, This, 
is, game, fun, It, 
be, game, good, this, 
is, game, excellent, This, 
is, game, casual, This, 
is, game, fun, It, 
is, game, fun, This, 
is, game, great, this, 
is, game, mobile, this, 
was, game, worst, this, 
's, game, cute, It, 
's, concept, ridiculous, It, 
is, game, paid, this, 
is, game, wonderful, this, 
's, game, fun, it, 
's, game, enjoyable, it, 
's, game, okay, It, 
is, thing, good, that, 
's, play, good, it, 
is, game, similar, this, 
be, time, little, it, 
's, game, actual, It, 
is, game, great, It, 
is, idea, great, tho, 
's, matter, lol, It, 
's, matter, laughing, It, 
's, game, great, it, 
's, game, good, It, 
's, thing, bad, that, 
's, game, good, It, 
is, game, fun, It, 
be, game, free, This, 
's, experience, fun, It, 
's, game, fun, It, 
been, months, few, it, 
's, game, good, It, 
's, love, wasted, it, 
's, game, sorting, It, 
is, game, awesome, this, 
was, game, great, it, 
'm, fan, big, I, 
is, game, great, it, 
's, fun, much, It, 
's, game, best, it, 
's, killer, fun, it, 
is, time, second, This, 
'm, people, other, I, 
is, game, great, This, 
is, game, great, It, 
is, game, mobile, It, 
is, fun, much, it, 
's, fun, good, it, 
's, app, good, it, 
's, way, fun, it, 
's, game, sweet, It, 
's, game, little, It, 
is, game, nice, It, 
's, game, fun, It, 
's, game, made, it, 
is, game, fun, it, 
was, experience, nice, that, 
is, game, interesting, it, 
's, game, quirky, It, 
's, game, little, It, 
's, game, good, It, 
is, game, great, this, 
is, copy, exact, this, 
's, game, fun, It, 
's, game, simple, It, 
's, game, okay, It, 
's, game, left, It, 
's, game, simple, It, 
is, game, favorite, This, 
's, killer, excellent, it, 
's, phone, strong, it, 
is, answer, right, what, 
's, game, nice, It, 
are, cases, special, they, 
is, game, great, This, 
's, game, comical, It, 
be, asset, great, that, 
