VERB, PREP, POBJ, 
gave, due, errors, 
gave, on, side, 
Love, to, death, 
piles, on, u, 
rate, during, tutorial, 
forced, to, it, 
had, for, one, 
played, in, time, 
go, to, heaven, 
based, on, characteristics, 
added, per, level, 
selected, at, time, 
done, for, part, 
save, to, cloud, 
have, with, game, 
send, to, heaven, 
gets, because, this, 
loved, like, papers, 
helped, with, adhd, 
Needs, in, calls, 
put, into, game, 
pay, to, details, 
Takes, to, long, 
add, to, charm, 
increases, at, rate, 
pay, to, person, 
lose, on, elevator, 
ruin, for, me, 
get, in, while, 
play, without, them, 
do, with, them, 
worked, up, text, 
kill, in, plane, 
reminds, of, papers, 
like, about, it, 
hide, from, me, 
distinguishing, on, feet, 
looking, for, alternative, 
looking, for, phone, 
Keeps, on, toes, 
play, on, phone, 
gets, with, day, 
made, to, play, 
go, To, hell, 
compared, to, some, 
gets, at, end, 
means, in, level, 
sounds, for, me, 
going, in, video, 
focused, on, recognition, 
holding, in, head, 
using, in, jokes, 
gets, after, minutes, 
Downgraded, to, stars, 
's, to, it, 
amounts, to, what, 
standing, in, lines, 
standing, at, store, 
distract, for, bit, 
feels, like, seasons, 
works, in, way, 
stuck, on, level, 
stuck, for, way, 
recommend, in, know, 
come, across, it, 
Inspired, with, none, 
sending, to, hell, 
wasted, on, game, 
changed, about, game, 
play, as, reaper, 
belong, in, afterlife, 
gets, in, way, 
play, for, hours, 
lived, to, hype, 
inspect, for, weapons, 
based, on, things, 
paid, for, this, 
moved, from, card, 
moved, to, storage, 
reccomend, to, all, 
reminds, of, papers, 
glitch, because, fingers, 
swiping, to, side, 
introduced, with, something, 
get, for, it, 
Entertaining, for, HOURS, 
sent, to, afterlife, 
plays, in, way, 
Binge, on, that, 
Getting, to, mode, 
save, from, zombies, 
based, on, mechanic, 
Put, in, game, 
end, in, Heaven, 
pop, during, gameplay, 
thrown, at, you, 
sank, into, this, 
sank, on, place, 
challenging, to, master, 
sent, to, purgatory, 
counts, as, mistake, 
complain, about, it, 
responding, to, reviews, 
feels, after, day, 
work, for, death, 
send, to, heaven, 
gets, after, levels, 
talk, about, settings, 
made, on, play, 
Send, to, heaven, 
perfect, for, me, 
work, for, guys, 
work, for, death, 
m, in, time, 
clicked, on, guy, 
clicked, on, guy, 
slips, into, abyss, 
get, on, levels, 
passed, without, mistake, 
Played, for, hours, 
get, to, point, 
Went, to, lanng, 
sending, with, firearms, 
brainwash, into, way, 
thinking, about, firearms, 
Pay, to, details, 
provided, for, relationship, 
leaves, with, feeling, 
play, for, months, 
points, for, localisations, 
send, to, hell, 
install, on, phone, 
do, on, screen, 
purchases, without, confirmation, 
emailed, to, me, 
emailed, from, Google, 
make, of, individuals, 
working, from, home, 
have, on, hands, 
spend, in, contact, 
Stuck, on, lvl, 
send, to, purgatory, 
washed, on, body, 
According, to, levels, 
got, with, Pass, 
do, by, it, 
compared, to, papers, 
refunded, after, hour, 
work, for, fate, 
played, for, mins, 
fell, in, love, 
sending, to, hell, 
insites, on, horsemen, 
Reminds, of, papers, 
Played, through, game, 
sending, to, heaven, 
covered, in, blood, 
seems, After, while, 
move, through, levels, 
Worth, for, dollars, 
bought, on, mobile, 
played, for, star, 
reset, to, 0, 
leads, to, decisions, 
having, to, levels, 
Changing, to, star, 
gets, as, sins, 
think, because, controls, 
play, for, minutes, 
send, with, horns, 
send, to, hell, 
adds, on, things, 
look, for, day, 
had, in, store, 
go, for, it, 
feels, like, papers, 
Reminds, of, Papers, 
Atone, for, sins, 
filled, with, bugs, 
put, with, weapon, 
send, to, purgatory, 
added, in, game, 
getting, with, characters, 
seeing, from, developer, 
seeing, in, future, 
bored, after, week, 
paying, for, it, 
throw, in, toilet, 
send, to, Heaven, 
send, to, Hell, 
looking, for, what, 
looking, for, elsewhere, 
bother, with, one, 
found, about, it, 
found, in, video, 
play, on, phone, 
knew, from, youtuber, 
get, into, kind, 
make, on, own, 
ask, for, refund, 
improves, Despite, timatics, 
Send, to, heaven, 
Send, to, hell, 
play, on, PC, 
looking, for, something, 
See, in, hell, 
appeal, to, you, 
appeal, to, everyone, 
has, for, days, 
take, for, immersion, 
works, on, mobile, 
remains, throughout, game, 
keep, until, end, 
seems, like, type, 
pay, for, game, 
played, through, times, 
send, of, which, 
send, to, hell, 
Addicting, as, cocaine, 
lacks, in, readability, 
have, with, it, 
clicking, on, them, 
show, With, people, 
led, to, circumstances, 
needs, in, gears, 
