VERB, PREP, POBJ, 
get, to, screen, 
wait, for, minute, 
closing, for, reason, 
love, at, videos, 
bad, at, series, 
works, for, me, 
paid, for, this, 
paid, on, jolt, 
beaten, on, phone, 
like, on, Mode, 
enter, at, time, 
rid, of, BBB, 
happen, with, Eyesaur, 
go, to, tabs, 
comes, from, fire, 
pay, in, game, 
pay, on, phone, 
pay, on, PC, 
put, in, details, 
get, in, way, 
did, on, creation, 
loved, aside, that, 
waited, for, this, 
play, on, mobile, 
get, to, screen, 
test, on, devices, 
deceived, from, crashes, 
send, to, story, 
wait, for, fangames, 
crash, on, screen, 
crash, for, me, 
make, to, 4, 
end, on, note, 
got, past, screen, 
go, in, app, 
get, into, game, 
load, into, game, 
stuck, on, screen, 
crashing, on, screen, 
get, in, game, 
play, on, phone, 
load, in, it, 
keeps, Like, everybody, 
C'm, on, man, 
leave, at, that, 
work, for, mobile, 
gon, na, work, 
know, about, bug, 
played, in, while, 
had, in, ngl, 
improved, from, games, 
put, into, game, 
keeps, on, crashing, 
expected, from, game, 
