VERB, PREP, POBJ, 
press, on, game, 
help, with, bug, 
rid, of, files, 
have, on, device, 
care, for, Tgotchi, 
ending, because, you, 
think, of, this, 
think, like, story, 
do, on, purpose, 
make, in, game, 
play, like, easyyyyyyy, 
dieing, on, day, 
talk, to, her, 
comes, with, illness, 
neglecting, by, choice, 
wash, on, day, 
check, for, weeks, 
going, for, what, 
going, for, more, 
ran, in, time, 
check, on, her, 
check, at, points, 
check, throughout, day, 
checking, on, her, 
having, on, girl, 
strike, as, vpet, 
feel, like, creep, 
feel, about, that, 
used, with, angle, 
went, down, hill, 
went, from, ⭐, 
asked, for, it, 
remember, from, 90s, 
download, on, device, 
worked, with, music, 
click, over, place, 
work, on, mobile, 
