AUX, ATTR, ADJ, NSUBJ, 
is, time, 3rd, This, This is now the 3rd time I've bought & played Terraria (PS3, PC, & now mobile). It's worth every penny. Developers that support their products like this, are far and few between. Also any mobile game that realizes the importance of controller support, is to be applauded. There's so much to do & so much content to dig up. In fact, my only sort of gripe with the game is that you can easily get mired down with your to do list. EASILY THE BEST STAND ALONE GAME PURCHASE I'VE MADE ON MOBILE.
is, person, fake, this, Very good I am not lying this is not a fake person I'm serious Ok if you don't believe me with a fake person be able to do this :((())))))))
be, process, simple, It, I want to give a 5-star review, but I can't because of their multi-player confusion. I have spent 15 minutes just trying to play this game with a friend who is not local, and every how-to video says I need to download this or sign up for that. It should be a very simple process.
is, game, amazing, this, I've played terraria for many years and it's been a really fun game,My only problem is that the PC version is 1.4.3 and has a bunch of items mobile doesnt because mobile is 1.4,But this is still an amazing game :)
is, game, best, this, I have about 500 hours on PC and 300 in mobile and I can say this is the best game I have ever played
's, game, nice, It, It's a super nice game but there is a bug Ware if you hit default settings it will not do anything.
is, game, good, It, It is a good game but it can be hard sometimes you can play with to friends are by yourself.
's, game, good, It, It's really good game, but no google drive save support (yet?), so I can't safely continue my save game on other devices if something happened to my phone. Pointless to play. Dear Dev, please make save/load (or maybe export/import save) to google drive. I refunded because of this reason.
's, game, relatable, It, Terraria is a fun game that sometimes leaves me wondering ,this game was made in 2013? It's a very relatable game for me. I have 180 hours in it, Fun game this one.
's, game, favorite, It, I unfortunately don't have Terraria on mobile but I wanted to rate it. It's my favorite game to play it's got everything a good survival crafting game can offer. Also not to mention there is so many items and enemies that I could play for a week and never be bored like it's so addictive.
is, game, pixelated, it, Love how it is a 2d pixelated game with an open world, customizable character, world editor, and many bosses, tools, and cool thing like the "Eye of Chulthulu" or something like that.
's, thing, greatest, it, I like Terraria and I really wanted to play and now I just don't want to play it I want to literally get inside the game and Crush myself I mean by being stuck inside wait forever I love this game so much is the best game ever it's the greatest thing that ever happened to you mad at you are the best game ever and I now have to said this is the best game ever but I care that has how much I like this came it's the best thing ever
is, game, best, this, I like Terraria and I really wanted to play and now I just don't want to play it I want to literally get inside the game and Crush myself I mean by being stuck inside wait forever I love this game so much is the best game ever it's the greatest thing that ever happened to you mad at you are the best game ever and I now have to said this is the best game ever but I care that has how much I like this came it's the best thing ever
's, thing, best, it, I like Terraria and I really wanted to play and now I just don't want to play it I want to literally get inside the game and Crush myself I mean by being stuck inside wait forever I love this game so much is the best game ever it's the greatest thing that ever happened to you mad at you are the best game ever and I now have to said this is the best game ever but I care that has how much I like this came it's the best thing ever
is, game, awesome, It, It is a awesome game
's, port, decent, It, It's a pretty decent mobile port, though I kind of wish the google play achivements were re-linked so they'd be obtainable again.
's, port, mobile, It, It's a pretty decent mobile port, though I kind of wish the google play achivements were re-linked so they'd be obtainable again.
is, version, ported, This, This is a really well ported version of terraria, I miss the tutorial version though
is, game, favorite, It, It is my 2# favorite game
's, game, amazing, It, It's an amazing survival game, especially once you activate hard mode, I recommend this to people who want a difficult challenge or a just something to do to pass time.
was, kid, stupid, I, I'm sorry about my old review I was a stupid kid with a bad phone that messed up my saves I love this game again sorry
's, buuut, good, It, It's a good game buuut if it is possible or can be possible can there be mods in the game? If not then thats ok
is, record, new, that, What's not to like? It has 4 out of the 20 things i desire in a game and that is a new record for me in terms of games.
's, game, good, it, Well, it's a good game overall. But the problem is it's hard to play with my friends..I wish it was easier to host and join even they're away from me...
was, game, favorite, This, This was by far my favorite mobile game. Untill that is, the update. Controls are unrecognizable, and I cannot play at all.
was, game, mobile, This, This was by far my favorite mobile game. Untill that is, the update. Controls are unrecognizable, and I cannot play at all.
was, fun, much, it, I love this game I played it on my Xbox through the Xbox game pass ultimate and I was amazed with how much fun it was. Plus Minecraft and terraria both are good games. One time Minecraft had a splash text saying "go play tarraria too" and terraria had a splash text saying "try playing Minecraft too" so I think they are both excellent game's.
