VERB, PREP, POBJ, 
coming, on, mobile, 
play, on, pc, 
playing, on, mobile, 
used, to, it, 
change, for, updates, 
Takes, for, load, 
waste, on, this, 
care, about, version, 
wait, to, tiraria, 
add, to, it, 
get, into, game, 
say, with, certainty, 
support, like, this, 
mired, with, your, 
Have, with, it, 
play, without, problems, 
teleport, to, house, 
see, on, youtube, 
building, for, npcs, 
recommend, for, any, 
plays, on, phone, 
believe, with, person, 
play, for, long, 
work, For, reason, 
is, in, menu, 
deal, with, it, 
love, except, controls, 
looks, like, terraria, 
playing, for, months, 
pay, for, it, 
loved, for, years, 
play, with, friends, 
use, with, game, 
play, due, bug, 
signed, to, t, 
love, as, game, 
takes, for, updates, 
wasted, on, thing, 
played, for, time, 
did, on, mobile, 
play, with, friend, 
sign, for, that, 
beat, in, master, 
get, from, competition, 
occupied, for, hours, 
do, in, game, 
goes, into, mode, 
played, with, brother, 
added, for, mobile, 
have, for, reason, 
setting, to, advanced, 
put, in, line, 
update, to, 5, 
add, in, saves, 
look, at, it, 
coming, to, mobile, 
speaks, for, itself, 
look, at, mod, 
look, for, game, 
add, as, update, 
have, on, platform, 
get, on, phone, 
gets, past, point, 
playing, for, years, 
played, for, years, 
changing, to, 1, 
changing, because, years, 
crash, on, tablet, 
used, to, them, 
crashes, in, world, 
go, below, coordinates, 
go, in, world, 
building, for, mp3, 
starve, on, tablet, 
play, to, friends, 
grown, with, game, 
grow, with, age, 
want, from, bottom, 
got, from, bosses, 
disappear, from, inventory, 
coming, at, time, 
say, with, heart, 
played, because, controls, 
begin, in, het, 
gaat, na, beter, 
used, to, controls, 
played, on, mobile, 
mobs, with, game, 
play, from, mobile, 
continue, on, devices, 
happened, to, phone, 
make, to, drive, 
refunded, because, reason, 
put, since, Lucy, 
rate, to, anyone, 
wait, for, updates, 
wait, for, something, 
appear, on, game, 
see, for, mobile, 
own, on, PC, 
love, from, me, 
play, on, PC, 
recommend, to, everyone, 
made, in, 2013, 
have, in, it, 
Lags, to, Much, 
Save, on, Cloud, 
Made, to, Years, 
Dying, in, FIX, 
put, into, it, 
play, for, week, 
paid, for, game, 
played, for, years, 
played, on, device, 
play, because, fun, 
working, for, mobile, 
plaing, for, years, 
works, for, games, 
lag, with, game, 
playing, for, while, 
start, on, phone, 
give, on, game, 
add, in, game, 
playing, for, time, 
updates, at, time, 
get, inside, game, 
happened, to, you, 
plays, With, support, 
compared, to, experience, 
comes, to, games, 
made, with, controls, 
made, in, mind, 
revived, In, case, 
lost, in, middle, 
play, for, less, 
playing, near, future, 
sign, into, Play, 
bring, with, you, 
exit, on, phone, 
loved, at, site, 
say, because, update, 
coming, on, mobile, 
love, to, bits, 
feel, to, it, 
played, on, vita, 
care, from, devs, 
pushed, on, mobile, 
started, on, phone, 
transferred, to, card, 
care, for, base, 
play, for, rest, 
played, on, Xbox, 
joining, on, mobile, 
joining, by, app, 
harvest, for, reason, 
log, with, steam, 
forgot, about, it, 
plaging, for, years, 
fighting, for, time, 
Played, for, years, 
have, on, console, 
put, into, it, 
