AUX, ATTR, ADJ, NSUBJ, 
's, game, fun, It, It's a fun game in all but it costed and it won't let me join any games bc they won't pop up please give me a refund!
is, game, great, it, I had to delete it because it made me delete some of my favorite games but it is a great game.
is, game, best, This, This is the best game 👍 😀 I love it but many make a nex p map 🤩
's, game, good, it, It dosen't let me go in the game but it's a good game 😃
is, game, best, This, This is the best game I played with my sis we did all the levels
is, game, cool, This, This is a very cool game It is like real life.I loved this game🔥♥️
's, game, good, It, It's a good game but it needs to have less lag and bugs and less storage problems
is, game, good, It, It is a good game but after update multiplayer problem is that it is showing no game found pls fix it
's, game, good, It, It's a good game but Can't play multiplayer
is, game, paid, this, I've tried for a few days straight now, but the game just isn't allowing me to host a game or join another players lobby, it keeps saying connection lost no matter how many times I try to join, PLEASE fix your server issues, this is a paid game and should not be as bad as this
was, levels, fun, it, I loved the game it was very fun many levels and ect but awhile ago I haven't even been able to enter or play the game it just kicks me out when I click on it.
was, levels, many, it, I loved the game it was very fun many levels and ect but awhile ago I haven't even been able to enter or play the game it just kicks me out when I click on it.
's, game, good, It, It's a good game but not the best and that's okay
's, screen, white, it, I can't play it's just a white screen that's it
's, Most, unacceptable, it, Great app and all but the lagging is Just what? Please fix it it's unacceptable Most of the time
's, game, cool, It, It's so cool game and It's cool on multiplayer
is, me, hilarious, it, I love it,it is hilarious me and my little sister laugh and start crying out of laughter the thing I hated is that I had to uninstall it to play again please fix that other than that it's awesome, would play again.
's, 😐, boring, it, In the game the macanics are so dumb not you can't even climb which you should over all it's so boring 😐
is, things, good, that, The same is really good the graphics are pretty good 3D or good everything is pretty good the one problem though please reduce the amount of leg every time every time I do a multiplayer game I always start liking and I can't play the game and it starts to get delayed like if I put my hands up it'll wait for like 2 minutes and then it will put its hands up stuff like that is not really good messing things up so please fix a lag
is, things, messing, that, The same is really good the graphics are pretty good 3D or good everything is pretty good the one problem though please reduce the amount of leg every time every time I do a multiplayer game I always start liking and I can't play the game and it starts to get delayed like if I put my hands up it'll wait for like 2 minutes and then it will put its hands up stuff like that is not really good messing things up so please fix a lag
is, game, great, This, This is a great game the only problem is I would really like to have a face if that is possible
was, game, good, it, I have played this before, it was a really good game. Then one day I try to go and play it and it just crashes. Or it it would just stay in the loading screen forever. Or it would almost load, it would play music, but it would just blink black and white. Please fix this. I really wanna play this again!
's, game, fun, It, It's a really fun game!! I would give it 5 stars, but, it crashes sometimes, so four stars
is, fun, much, it, it is sooooo much fun!!!!!!!!!!!!
'm, 😡, mad, I, You need to work on the online delay because it's really making me angry that's why I'm giving this a 4 star review and I will give you a 5 star review if you fix it and sorry for sounding so rude so he was a heart emoji ❤️ I'm still mad 😡😡😡
be, update, small, it, I love the game and the new forest level but one thing I don't like is that the game has no graphics options and I have a phone with 4 gb ram and the game detects that as high end so it turns shadows on but on the forest level and city there are lots of shadows and things to render and on my old 2gb ram phone shadows were off and that ran much smoother than on my new phone so I would like for there to be graphics setting where you can turn shadows on and off and it could just be a small update.
is, game, good, this, I think that this is a very good game but it's not a big deal for kids
's, deal, big, it, I think that this is a very good game but it's not a big deal for kids
's, T, disappointment, it, This game used to be fun now it's so laggy and it's a disappointment BRUH T DOESN'T EVEN LET ME LOAD IT JUST KICKS ME OUT never download this game it's a waste of stinky stupid money. I hate this, good job man 😡😡😡😡😡😠😠😠🤬🤬🤬🤬🤬🤬🤬💩💩💩🤡🤡🤡👹👹👹
are, Game, best, you, Human: Fall Flat lT made me laugh and My brother play with me XD and lT was Good and Human: Fall Flat your the best Game XD Human: Fall Flat this is for you you are the best Game of the world and roblox XD by the way my name on roblox is ClownTheBoss_753 😎
is, game, great, This, This is a great game! Can you please make it so on mobile you can draw your skin?
was, game, freaking, This, This was a freaking good game but I got this game my mom buy it but all the times a want to join I ni to wait 5 hours 5 freaking hours an finally work but this game was a legend but now doesn't work but but I got a new idea les update the game and les see I really like if this game let me play
was, game, good, This, This was a freaking good game but I got this game my mom buy it but all the times a want to join I ni to wait 5 hours 5 freaking hours an finally work but this game was a legend but now doesn't work but but I got a new idea les update the game and les see I really like if this game let me play
's, feature, annoying, It, Would have been a five star if you guys just took out the stupid auto jump that the game has, it's been messing me up so many times. It's an annoying feature to be honest, and the controls are kind of odd.
's, game, funny, It, It's a very funny game best for YT creatore
's, game, fun, It, It's a really fun game, and I appreciate the Google Play Games support, but REQUIRING Google Play Games for multiplayer and game saves completely breaks the game for Google Family Link users. Family Link doesn't allow kids to use Google Play Games. My seven and ten year old kids are very disappointed.
is, idea, good, It, It is a very good game idea 👍👏
's, game, good, it, It's very good I think you can fling people I don't get it yet but play it it's a good game
's, game, fun, It, It's a fun game to play I recommend it for other dudes to play it. 😀 you can have fun playing multiplayer or just select a dream to complete.
be, screen, white, it, I can't even play the game it won't open it will be a white screen and it will take out of the game
's, game, great, it, The game would be great for most people it's great game. But it's not for me its gets boring and hard for me to play I might play it again sometime tho.
's, game, cool, It, It's a cool game
is, game, best, it, My favorite app on mobile best app in the world online is a bit laggy but considering this is a PC game it is the best game in the world for mobile at least amazing physics cool Easter eggs all in all just a really good kind of puzzle game and parkour game to beat levels with friends and alone it's pretty good app so download it now! Byee check out my YouTube jdog brAvO sniper
's, app, good, it, My favorite app on mobile best app in the world online is a bit laggy but considering this is a PC game it is the best game in the world for mobile at least amazing physics cool Easter eggs all in all just a really good kind of puzzle game and parkour game to beat levels with friends and alone it's pretty good app so download it now! Byee check out my YouTube jdog brAvO sniper
