AUX, ATTR, ADJ, NSUBJ, 
's, game, fun, It, 
was, tgat, sad, it, 
is, game, great, This, 
's, stress, low, It, 
's, game, solid, It, 
is, game, best, This, 
is, game, great, It, 
be, play, local, their, 
is, successor, worth, It, 
is, game, GREAT, This, 
's, people, stardew, it, 
is, game, perfect, This, 
is, RPG, good, it, 
is, RPG, farming, it, 
is, one, big, That, 
is, air, fresh, This, 
is, game, awesome, This, 
is, game, amazing, This, 
's, game, great, It, 
's, game, only, it, 
is, game, favorite, this, 
's, fun, more, it, 
is, game, best, This, 
is, game, fun, It, 
is, game, good, this, 
's, ️, great, it, 
is, game, beautiful, This, 
is, WAY, more, THIS, 
am, fan, huge, I, 
's, game, cute, it, 
is, repeatitive, little, it, 
's, word, best, That, 
's, thing, same, it, 
's, place, only, it, 
's, app, good, it, 
are, access, difficult, They, 
is, dropping, jaw, This, 
's, game, good, It, 
is, game, good, it, 
is, game, best, this, 
'm, playthrough, 10th, I, 
's, game, amazing, it, 
is, game, best, this, 
is, game, mobile, this, 
'm, fan, big, I, 
is, masterpiece, beautiful, this, 
Is, game, fun, this, 
is, game, amazing, it, 
is, game, fun, it, 
is, game, best, this, 
's, game, fun, It, 
's, game, great, it, 
is, game, good, It, 
's, escape, great, it, 
's, game, good, It, 
is, game, favorite, this, 
's, game, great, it, 
be, decision, great, it, 
be, rating, actual, that, 
is, game, beautiful, this, 
is, game, great, this, 
's, event, bad, it, 
's, game, wonderful, it, 
be, breaking, stressful, it, 
is, time, 20th, This, 
is, game, great, It, 
is, game, good, It, 
's, game, great, it, 
's, game, sim, it, 
's, game, worth, it, 
being, game, great, it, 
's, game, great, It, 
's, game, nice, it, 
be, game, best, it, 
's, sim, great, It, 
is, one, virtual, it, 
is, game, relaxing, It, 
is, problem, only, that, 
is, game, awesome, This, 
is, game, evergreen, This, 
is, game, ideal, This, 
's, player, multiple, it, 
's, game, good, It, 
is, game, addictive, This, 
's, game, great, it, 
is, game, best, This, 
is, deal, huge, which, 
is, game, favorite, It, 
is, game, great, This, 
are, needs, special, who, 
is, game, amazing, It, 
