VERB, PREP, POBJ, 
played, in, years, 
get, on, switch, 
switch, for, multiplayer, 
zoom, from, screen, 
playing, for, year, 
upgraded, to, phone, 
switching, over, game, 
switching, to, phone, 
came, on, steam, 
Bought, around, 2016, 
tell, for, price, 
put, with, Tycoon, 
found, in, theater, 
siad, to, it, 
waiting, for, update, 
waiting, for, update, 
attend, to, them, 
playing, for, year, 
wait, for, update, 
come, to, version, 
play, in, minutes, 
kill, in, mines, 
gets, after, while, 
play, with, girlfriend, 
download, onto, device, 
fits, into, pocket, 
play, on, chrome, 
make, to, me, 
Turning, of, quality, 
turn, into, coffee, 
turning, into, coffee, 
made, with, beans, 
work, with, joystick, 
feature, on, pc, 
immerse, in, world, 
fills, in, soul, 
start, on, phone, 
changed, on, phone, 
waiting, for, update, 
playing, on, platforms, 
comes, to, goals, 
put, in, barrel, 
ask, for, wish, 
post, on, pin, 
Thank, for, goodbye, 
taking, from, business, 
have, on, Android, 
spent, on, world, 
beaten, on, mobile, 
got, on, switch, 
love, at, beginning, 
got, into, game, 
wait, for, 1.5, 
buy, on, pc, 
buy, from, mouse, 
move, to, PC, 
bring, to, mobile, 
play, on, devices, 
have, on, android, 
give, for, boycott, 
working, on, mobile, 
working, on, hc, 
run, at, times, 
playing, on, phone, 
gotten, since, January, 
crave, for, something, 
interact, with, people, 
remember, because, lot, 
play, on, mobile, 
play, on, time, 
own, on, pc, 
wait, for, projects, 
introduce, after, days, 
put, in, inventory, 
built, by, himself, 
wait, for, more, 
had, with, valley, 
update, to, version, 
work, on, farm, 
work, with, 3, 
comes, after, while, 
played, in, phone, 
need, with, island, 
fish, in, game, 
progress, in, areas, 
changed, because, delay, 
do, in, it, 
fight, in, mines, 
Addicted, to, game, 
add, to, items, 
play, in, tablet, 
closed, on, me, 
wait, for, updates, 
wait, on, mobile, 
working, for, me, 
look, at, wiki, 
lost, to, it, 
waiting, for, update, 
getting, because, wait, 
bored, for, time, 
wait, for, update, 
done, by, person, 
wait, for, sequel, 
comes, to, mobile, 
bought, on, console, 
holds, to, story, 
missing, from, version, 
purchased, on, tablet, 
happen, in, game, 
force, in, purchase, 
was, for, mobile, 
play, with, friends, 
wait, for, update, 
put, into, it, 
wait, for, 1.5, 
wait, on, mobile, 
wait, for, day, 
comes, to, mobile, 
play, on, PC, 
Played, on, pc, 
bring, in, uit, 
add, on, mobile, 
is, in, Horizons, 
got, on, pc, 
place, on, walls, 
took, from, house, 
live, in, box, 
live, with, light, 
make, in, game, 
take, with, me, 
's, From, youth, 
made, about, it, 
play, on, go, 
care, about, mobile, 
meet, with, villagers, 
put, for, stars, 
playing, for, while, 
kicks, for, reason, 
travel, to, places, 
walking, from, path, 
walking, to, town, 
had, in, chests, 
bargained, for, that, 
Expanded, for, NPCs, 
updated, across, platforms, 
had, before, end, 
log, into, account, 
access, on, xbox, 
play, on, pc, 
play, with, friends, 
played, on, platform, 
bought, on, switch, 
see, on, version, 
has, for, love, 
paid, for, game, 
shows, in, history, 
pay, for, game, 
talk, to, them, 
interact, with, them, 
used, on, mobile, 
played, on, mobile, 
play, on, mobile, 
addicted, with, story, 
play, with, me, 
play, during, quarantine, 
have, on, phone, 
play, with, friends, 
Hoping, for, update, 
believe, in, skills, 
make, on, phone, 
finding, around, farmhouse, 
love, about, it, 
do, in, update, 
come, with, upgrade, 
takes, from, you, 
love, until, year, 
come, after, days, 
wait, for, update, 
adds, to, value, 
had, since, Jan, 
give, for, this, 
run, into, problems, 
updating, to, version, 
Playing, on, phone, 
played, on, phone, 
have, in, heart, 
coming, to, mobile, 
looking, to, update, 
reminds, of, Moon, 
reminds, with, thought, 
put, into, it, 
waiting, for, update, 
working, in, area, 
working, with, little, 
working, to, service, 
play, on, desktop, 
makes, for, gameplay, 
play, on, PC, 
went, from, stars, 
went, to, 1, 
waiting, for, longgggg, 
help, around, farm, 
hold, to, mine, 
connect, to, play, 
Need, like, !, 
move, from, bed, 
go, to, sleep, 
go, to, files, 
waited, for, while, 
playing, on, it, 
playing, for, while, 
go, to, waste, 
playing, for, week, 
own, on, platform, 
