NOUN, ADJ, 
game, nice, Very very very nice game
game, nice, It's very nice game
game, good, Its a good game
games, full, I really love this game so mucccch thx devs for this wonder full games
weapons, other, BADASSS! THE BEST EVER SWORD GAME along with other epic weapons
weapons, epic, BADASSS! THE BEST EVER SWORD GAME along with other epic weapons
quality, much, Nothing issue...! Graphics and fps are much gud quality!.. Well done👌
bahut, mujhe, please mujhe ismein bahut sare character de do
bahut, ismein, please mujhe ismein bahut sare character de do
game, best, One of the best game I've played, not like others rpg games this game is very fun you should try this game and see for yourself
game, good, a really good game i am literally enjoying playing this .👍
game, Amazing, Amazing game
game, duper, super duper game
gaming, Ankit, Ankit gaming
game, wonderful, It's a wonderful game in the world wich change my mind from playing free fire
fire, free, It's a wonderful game in the world wich change my mind from playing free fire
😁, favourite, This is my favourite 😻 game 😁
GAME, GOOD, GOOD GAME
quality, good, It's really good because it's optimize and a good quality gaming graphics is great 👍👍👍 but they don't give free heroes only two 😭😭 but great I'll rate this 5 star
heroes, free, It's really good because it's optimize and a good quality gaming graphics is great 👍👍👍 but they don't give free heroes only two 😭😭 but great I'll rate this 5 star
GAME, GOOD, GOOD GAME,HAYYUK WAHYU SENGGOL DONG YAHAHA SLEBEW SLEMEK BAGUS BANGET GAME NYA ANJAAY
game, nice, nice game but not than ff
update, new, I like the grafic of this game. The grafic is very smooth and also thanks for new update.
game, great, Its an great game it doesn't let me in sometimes it says checking data version and its STUCK please fix this. please🙁
game, good, Way are add? So much I hate this think 🤔 but I,s a good game 🎮🎮
game, good, Very good game
game, best, One of the best graphical game I have played ever
game, graphical, One of the best graphical game I have played ever
game, Nice, Nice game
game, mid, mid game
game, Nic, Nic game
game, good, good game I see only there must be a drop in rate of purchases nothing to say. only appreciate your efforts
fire, free, Loser game free fire is the top game
game, top, Loser game free fire is the top game
game, offline, Game is best but i need offline game Because internet speed os very bad in my home area
game, amazing, This is amazing game
game, amazing, this is so amazing game
game, Superb, Superb game amazing experience but please add new mode like player vs player 🙏 ♥️♥️♥️♥️
experience, amazing, Superb game amazing experience but please add new mode like player vs player 🙏 ♥️♥️♥️♥️
mode, new, Superb game amazing experience but please add new mode like player vs player 🙏 ♥️♥️♥️♥️
game, interesting, It is a very interesting and easy game but it's hero's price is very High
game, Fantastic, Fantastic game! Good graphics etc!
graphics, Good, Fantastic game! Good graphics etc!
characters, other, This game is fun to play but we get only two characters other characters are pay wall an iv opened thousends of weapon crate but always get weapons skin below legendry iv only got a legandry helmet no sward no armour very very bad material drop rate
thousends, opened, This game is fun to play but we get only two characters other characters are pay wall an iv opened thousends of weapon crate but always get weapons skin below legendry iv only got a legandry helmet no sward no armour very very bad material drop rate
iv, legendry, This game is fun to play but we get only two characters other characters are pay wall an iv opened thousends of weapon crate but always get weapons skin below legendry iv only got a legandry helmet no sward no armour very very bad material drop rate
material, bad, This game is fun to play but we get only two characters other characters are pay wall an iv opened thousends of weapon crate but always get weapons skin below legendry iv only got a legandry helmet no sward no armour very very bad material drop rate
game, good, Thsi is a very good game for sure !!
game, Good, Good game
GAME, CERATE, IT IS TRUE GAME PLZZ ADD MULTIPLAYER GAME PLZ THANKS TO CERATE GAME
weapon, Random, Game is great.But the problem is I didn't get "Random legendary weapon" box reward for reaching platinum I for the first time in ARENA mode.Please fix it as soon as possible.
weapon, legendary, Game is great.But the problem is I didn't get "Random legendary weapon" box reward for reaching platinum I for the first time in ARENA mode.Please fix it as soon as possible.
time, first, Game is great.But the problem is I didn't get "Random legendary weapon" box reward for reaching platinum I for the first time in ARENA mode.Please fix it as soon as possible.
game, nice, Very nice game I am give 4 star because it is online
game, Nice, Nice game please install 😍😍
game, Good, Good game
mod, hard, This game is so good but the hard and nithmary mod is so difficult I can't kill anyone
thing, missing, this tho amazinv but there is one thing missing that is a Mario Easter egg
LEVEL, GOOD, OMG SO GOOD ITS GOD LEVEL
game, best, best action game
updates, regular, The fact that there is regular updates to improve the game, is a thumbs up for me. The game is already extremely addictive. Good work!
work, Good, The fact that there is regular updates to improve the game, is a thumbs up for me. The game is already extremely addictive. Good work!
game, nice, nice ninja game, graphics & physics are decent... accessory level ups could improve as well as character level ups! PvP could improve as well, unfair level and skill matchups...
game, ninja, nice ninja game, graphics & physics are decent... accessory level ups could improve as well as character level ups! PvP could improve as well, unfair level and skill matchups...
level, unfair, nice ninja game, graphics & physics are decent... accessory level ups could improve as well as character level ups! PvP could improve as well, unfair level and skill matchups...
skin, free, Hi thank you for giving me a free pumkin skin after the update, can I add some nice combos next month, this is my idea only I hope you can add some nice combos
combos, nice, Hi thank you for giving me a free pumkin skin after the update, can I add some nice combos next month, this is my idea only I hope you can add some nice combos
combos, nice, Hi thank you for giving me a free pumkin skin after the update, can I add some nice combos next month, this is my idea only I hope you can add some nice combos
flaw, Major, Major flaw, after each and every level, it's showing that the internet connection is slow and getting disconnected while I'm using a 100 Mbps broadband connection.
game, awesome, thank you awesome game
game, nice, This are nice game
game, nice, nice game
u, challenging, Its challenging and amazing u wont regret it
game, Best, Best game in the world
gane, Good, Good gane
game, good, This is a good game
legend, absolute, The creator is an absolute legend
numbers, long, It is good. However, the suggestions I have in mind are the following : 1. Can you lessen the time of ads from 15-25 secs to just 5-10 secs? 2. Can you make an option in which we can just tap a players name to add them as a friend instead of manually searching for their names? It's irritating and hassle because some players names are long numbers.
game, super, super game..
game, favourite, My favourite game and it's a wonderful and good game👍👍👍👍👌
game, wonderful, My favourite game and it's a wonderful and good game👍👍👍👍👌
game, interesting, Most interesting game
❤, awesome, Game is so awesome😊😊 ❤❤❤❤❤
❤, 😊, Game is so awesome😊😊 ❤❤❤❤❤
❤, 😊, Game is so awesome😊😊 ❤❤❤❤❤
graphics, Great, Great graphics and game play
game, Good, Good game in general
game, Super, Super super super super Super game
game, super, Super super super super Super game
game, super, Super super super super Super game
game, super, Super super super super Super game
game, Super, Super super super super Super game
boss, nice, Nice I like it have nice boss
choice, Best, Best game carrector choice is 2 but author carrector choice for money it's boring please update the carrector 😀
game, Nice, Nice game of thrones I love you
game, outstanding, outstanding game
arena, more, Plz add more arena Tickets in the game
rate, higher, I will give you a higher rate, if you make Arena balanced. It's like a bot that has a sharingan and read my movements literally like a millisecond and having a more higher cp than me, wich is more harder since its health is above heaven now
game, good, good game but we need some more update like power enhans awaking power pat ... i dikt find pat i that any i give 4 rate other wish i give 1 more star
update, more, good game but we need some more update like power enhans awaking power pat ... i dikt find pat i that any i give 4 rate other wish i give 1 more star
wish, other, good game but we need some more update like power enhans awaking power pat ... i dikt find pat i that any i give 4 rate other wish i give 1 more star
star, more, good game but we need some more update like power enhans awaking power pat ... i dikt find pat i that any i give 4 rate other wish i give 1 more star
game, popular, I should say that it is a game that can even beat shadow fight 2 which one of the most popular mobile game. It is good because of graphics, animations and wide and easily understandable gameplay. I would recommend to play this game 😃😃😃
game, mobile, I should say that it is a game that can even beat shadow fight 2 which one of the most popular mobile game. It is good because of graphics, animations and wide and easily understandable gameplay. I would recommend to play this game 😃😃😃
gameplay, wide, I should say that it is a game that can even beat shadow fight 2 which one of the most popular mobile game. It is good because of graphics, animations and wide and easily understandable gameplay. I would recommend to play this game 😃😃😃
game, good, It is a good game but they should make the game from first person shooter then the game will be better
person, first, It is a good game but they should make the game from first person shooter then the game will be better
person, shooter, It is a good game but they should make the game from first person shooter then the game will be better
game, nice, Very nice game 🥰🥰🥰
game, Nice, Nice game
game, online, This is online game
game, nice, Very nice game 🎮
game, Cool, Cool game
experience, Nice, Nice experience
items, stunning, 🔥A Legendary Action RPG With Ninja Shadow Fighting Style Offline Games!🔥 Hot Sale is here! Hurry up and get the most stunning items and unique skins for free to equip your unique hero and fight to become Shadow Legends. The beautiful and brightly world of Harmonia was a land to live of Mortal races including Human, Undead, Orc, Spirit, Dwarf, Beast man, Elf, etc. But then one day, when deep desires arose, a tragedy struck that made everything in vain darkness, irony just because of a Guilt
skins, unique, 🔥A Legendary Action RPG With Ninja Shadow Fighting Style Offline Games!🔥 Hot Sale is here! Hurry up and get the most stunning items and unique skins for free to equip your unique hero and fight to become Shadow Legends. The beautiful and brightly world of Harmonia was a land to live of Mortal races including Human, Undead, Orc, Spirit, Dwarf, Beast man, Elf, etc. But then one day, when deep desires arose, a tragedy struck that made everything in vain darkness, irony just because of a Guilt
hero, unique, 🔥A Legendary Action RPG With Ninja Shadow Fighting Style Offline Games!🔥 Hot Sale is here! Hurry up and get the most stunning items and unique skins for free to equip your unique hero and fight to become Shadow Legends. The beautiful and brightly world of Harmonia was a land to live of Mortal races including Human, Undead, Orc, Spirit, Dwarf, Beast man, Elf, etc. But then one day, when deep desires arose, a tragedy struck that made everything in vain darkness, irony just because of a Guilt
world, beautiful, 🔥A Legendary Action RPG With Ninja Shadow Fighting Style Offline Games!🔥 Hot Sale is here! Hurry up and get the most stunning items and unique skins for free to equip your unique hero and fight to become Shadow Legends. The beautiful and brightly world of Harmonia was a land to live of Mortal races including Human, Undead, Orc, Spirit, Dwarf, Beast man, Elf, etc. But then one day, when deep desires arose, a tragedy struck that made everything in vain darkness, irony just because of a Guilt
races, Mortal, 🔥A Legendary Action RPG With Ninja Shadow Fighting Style Offline Games!🔥 Hot Sale is here! Hurry up and get the most stunning items and unique skins for free to equip your unique hero and fight to become Shadow Legends. The beautiful and brightly world of Harmonia was a land to live of Mortal races including Human, Undead, Orc, Spirit, Dwarf, Beast man, Elf, etc. But then one day, when deep desires arose, a tragedy struck that made everything in vain darkness, irony just because of a Guilt
