AUX, ATTR, ADJ, NSUBJ, 
's, game, great, It, 
am, user, android, i, 
's, game, nice, It, 
been, fan, huge, I, 
is, game, fleshed, This, 
is, game, true, This, 
's, one, best, it, 
is, small, little, Everything, 
is, game, best, This, 
is, game, great, It, 
's, conversation, good, It, 
is, strategy, best, This, 
is, strategy, mobile, This, 
was, RTS, favorite, that, 
's, coh, same, It, 
's, coh, old, It, 
is, game, great, It, 
is, game, great, this, 
is, game, great, That, 
's, game, full, It, 
's, port, good, It, 
's, game, great, It, 
's, game, good, It, 
was, install, bad, it, 
's, game, hard, It, 
is, purchase, first, this, 
is, purchase, ever, this, 
is, creation, loving, it, 
's, port, great, it, 
's, fun, much, it, 
's, game, good, it, 
's, control, awful, it, 
be, game, best, It, 
's, game, involved, it, 
be, game, best, this, 
be, factions, more, their, 
is, game, cheap, This, 
is, port, excellent, This, 
's, game, good, It, 
is, game, actual, this, 
is, game, only, This, 
is, game, favorite, This, 
's, port, bad, It, 
's, game, phenomenal, it, 
is, advantage, unfair, it, 
is, company, real, This, 
'm, fan, massive, I, 
'm, fan, huge, I, 
is, replica, exact, This, 
is, game, great, this, 
is, game, original, It, 
is, game, intact, It, 
is, port, solid, this, 
be, game, good, It, 
is, adaptation, phenominal, This, 
is, game, mobile, this, 
's, game, fun, it, 
's, game, great, It, 
is, game, nice, It, 
's, game, full, it, 
's, port, great, it, 
's, game, favourite, It, 
is, experience, amazing, This, 
'm, mastermind, biggest, I, 
is, content, enough, It, 
is, phone, cheapest, which, 
is, game, great, this, 
is, port, mobile, This, 
is, game, fantastic, it, 
's, game, great, It, 
was, reason, main, that, 
is, game, best, This, 
is, title, good, this, 
's, play, amazing, It, 
be, devs, doable, that, 
be, devs, atleast, that, 
