AUX, ATTR, ADJ, NSUBJ, 
is, game, great, this, 
is, games, other, it, 
was, game, cool, it, 
is, game, fun, it, 
is, game, worth, it, 
be, game, worst, This, 
is, time, first, It, 
is, game, interesting, it, 
's, game, best, It, 
's, one, good, It, 
's, game, perfect, It, 
's, game, nice, it, 
's, game, nice, It, 
is, game, put, this, 
is, game, fun, this, 
's, game, fun, It, 
's, one, favorite, That, 
's, game, fun, it, 
is, game, first, This, 
is, game, true, This, 
's, game, best, it, 
's, game, good, it, 
is, game, great, this, 
is, game, best, This, 
was, proof, finished, it, 
's, game, fun, It, 
is, game, best, This, 
's, mechanics, simple, it, 
'm, player, regular, I, 
is, fun, much, it, 
's, game, great, It, 
's, game, great, it, 
's, game, great, It, 
is, game, simple, It, 
is, game, complex, It, 
is, time, third, This, 
is, game, phenomenal, It, 
was, challenge, good, this, 
is, game, good, This, 
am, fan, huge, I, 
is, game, only, this, 
be, thing, best, they, 
be, stars, easy, it, 
