VERB, PREP, POBJ, 
noticed, in, X, 
noticed, on, tile, 
sucks, without, paper, 
Play, on, tho, 
challenging, at, levels, 
got, for, phone, 
lovable, for, me, 
have, on, PC, 
getting, to, part, 
dying, to, it, 
play, at, %, 
love, on, phone, 
gets, with, levels, 
getting, for, 6, 
Works, on, phone, 
works, on, potato, 
changing, to, everytime, 
link, with, acc, 
add, in, settings, 
match, with, gameplay, 
compared, to, version, 
get, for, fire, 
enjoyed, for, people, 
tapping, on, screen, 
see, over, store, 
TAP, TO, RYTHEM, 
songs, on, mobile, 
work, on, mobile, 
calibrate, after, %, 
lose, on, section, 
buy, for, mobile, 
playing, on, game, 
add, to, update, 
add, to, update, 
played, on, steam, 
work, with, train, 
dance, with, faiyah, 
ask, for, this, 
come, to, gether, 
play, on, mobile, 
downloaded, on, 8th, 
happened, with, game, 
applied, with, game, 
have, with, it, 
goes, from, ms, 
dive, to, this, 
dive, in, sandwich, 
downloaded, on, mobile, 
has, as, god, 
controlling, in, rhythm, 
go, on, browser, 
click, on, build, 
takes, for, one, 
spooking, in, game, 
play, on, mobile, 
got, through, it, 
like, on, pc, 
found, about, it, 
found, on, tablet, 
Looking, to, addition, 
buying, on, mobile, 
play, with, keyboard, 
buy, on, pc, 
add, on, mobile, 
Bought, on, gplay, 
staying, on, beat, 
play, on, mute, 
makes, with, purpose, 
s, In, version, 
look, at, game, 
stay, with, game, 
Loved, on, love, 
love, on, phone, 
put, in, %, 
happen, at, %, 
play, like, pro, 
Fix, on, update, 
do, with, review, 
get, past, %, 
get, on, level, 
tap, to, rythm, 
go, with, settings, 
tap, to, rhythm, 
get, to, %, 
taping, in, rythm, 
taping, to, music, 
taping, at, all, 
get, past, %, 
get, on, level, 
Works, for, musicians, 
freaking, at, level, 
come, to, miss, 
come, to, tapping, 
tapping, at, %, 
fix, on, update, 
saw, on, media, 
played, by, that, 
comes, to, version, 
used, in, games, 
suggest, to, players, 
buy, on, steam, 
followed, on, pc, 
getting, into, genre, 
playing, on, leaderboards, 
tapping, to, rhythm, 
love, on, computer, 
get, into, game, 
playing, for, years, 
say, As, person, 
continue, on, level, 
playing, on, browser.plss, 
did, in, day, 
loved, on, pc, 
amazing, on, mobile, 
play, on, break, 
make, like, account, 
link, with, version, 
Played, on, PC, 
say, As, years, 
say, As, Mania, 
inputs, on, phones, 
playing, for, time, 
Bought, on, PC, 
played, for, hour, 
play, on, go, 
works, on, mobile, 
progress, from, world, 
progress, to, next, 
found, on, tiktok, 
bought, on, steam, 
get, on, version, 
Dude, like, this, 
addicted, to, game, 
lacking, in, game, 
saving, For, me, 
Have, on, Steam, 
lacking, in, this, 
done, with, level, 
happened, to, curve, 
work, despite, input, 
use, without, headphone, 
registered, in, time, 
satisfying, in, moment, 
had, for, day, 
Had, with, calibration, 
saw, on, tiktok, 
are, on, levels, 
found, through, tiktok, 
played, on, PC, 
matching, in, way, 
done, w, levels, 
wait, for, levels, 
needed, in, opinion, 
messing, on, part, 
messing, at, end, 
own, on, pc, 
bored, at, work, 
calibrating, to, time, 
take, to, stars, 
built, in, recorder, 
throw, across, room, 
hate, in, few, 
frustrated, beyond, belief, 
stuck, on, song, 
stick, to, game, 
struggled, with, one, 
take, to, 5, 
messing, on, part, 
messing, in, stage, 
makes, On, Android, 
makes, for, it, 
Saw, on, tiktok, 
play, in, levels, 
play, on, notes, 
played, in, while, 
saw, on, stream, 
recommend, for, kids, 
recommend, under, 10, 
play, unlike, lot, 
play, because, calibration, 
play, to, beat, 
give, on, difficulty, 
played, in, years, 
lend, to, system, 
lend, with, drum, 
builds, into, game, 
humming, during, day, 
addicting, as, hell, 
challenging, with, music, 
miss, from, PC, 
felt, at, shortness, 
added, in, while, 
got, for, birthday, 
move, through, stages, 
move, with, unforgivingness, 
complement, with, room, 
have, on, Steam, 
allow, to, saves, 
stick, with, calibration, 
enjoy, with, challenge, 
wait, for, 3, 
move, on, cause, 
trying, for, weeks, 
Waited, for, hour, 
Played, on, PC, 
jumping, over, someone?This, 
stuck, on, X, 
stuck, For, 150Times, 
Have, on, pc, 
getting, on, bare, 
playing, for, sometime, 
playing, on, cellphone, 
turn, on, head, 
wait, for, game, 
playing, since, 2014, 
played, on, steam, 
wanted, on, phone, 
enjoyed, since, Cytus, 
feels, like, reward, 
fall, into, problem, 
play, on, screen, 
plays, on, device, 
paired, with, music, 
recommend, to, anyone, 
acess, to, 12, 
make, in, version, 
Owned, on, PC, 
filled, with, nothing, 
bombard, with, advertising, 
heard, of, it, 
went, into, port, 
played, on, ver, 
want, on, mobile, 
start, from, place, 
bought, on, pc, 
learn, because, tutorials, 
Looking, to, songs, 
having, with, game, 
love, to, day, 
lends, to, platform, 
finished, on, steam, 
buy, for, phone, 
works, to, version, 
saw, about, game, 
tailored, to, gameplay, 
play, on, mobile, 
juiced, to, perfection, 
had, from, players, 
tap, to, type, 
played, on, phone, 
keep, with, beat, 
gets, in, levels, 
had, on, OP3, 
playing, for, years, 
play, with, headphones, 
faded, into, background, 
see, in, this, 
come, from, tokaku, 
added, in, updates, 
beating, during, trial, 
play, with, pen, 
spent, for, it, 
Played, on, pc, 
said, with, that, 
playing, through, game, 
compared, to, version, 
Works, with, phone, 
Followed, since, WAY, 
released, on, Android, 
become, after, update, 
play, after, update, 
have, on, phone, 
restart, into, beat, 
Ending, upon, failing, 
find, to, Devs, 
orientating, with, hearing, 
change, to, sound, 
buy, on, platform, 
came, because, hongbin, 
broken, for, me, 
broken, at, %, 
proceeding, with, beat, 
stay, in, place, 
try, for, everyone, 
increasing, by, ~0.20, 
looking, after, years, 
disappointed, on, lack, 
line, with, calibration, 
had, for, levels, 
wait, for, more, 
recommending, to, many, 
waiting, in, time, 
stuck, at, 3, 
stuck, at, 1.1x, 
add, like, mode, 
comparing, to, version, 
rely, on, visuals, 
break, into, chunks, 
get, to, point, 
share, with, people, 
played, on, Kongregate, 
looking, to, content, 
see, in, this, 
lags, on, nexus, 
getting, with, level, 
played, on, browser, 
get, in, touch, 
get, for, questions, 
struggle, with, something, 
looking, for, game, 
got, over, it, 
team, with, folks, 
playing, on, web, 
fell, in, love, 
fell, with, it, 
play, on, phone, 
play, on, pc, 
keep, like, me, 
happen, to, store, 
Getting, on, tool, 
