NOUN, ADJ, 
input, emulate, 
card, terrible, 
controls, mobile, 
game, excellent, 
controls, Horrible, 
game, other, 
game, great, 
game, Great, 
bugs, annoying, 
ascension, unlocked, 
port, Good, 
port, bad, 
version, original, 
wonky, little, 
state, current, 
game, Great, 
nuace, more, 
content, more, 
game, Great, 
game, Excellent, 
games, favorite, 
run, second, 
players, new, 
amount, perfect, 
mechanics, Phenomenal, 
fights, certain, 
game, other, 
name, save, 
response, dev, 
screen, syncing, 
😒, frustrated, 
game, Best, 
roguelike, fantastic, 
replayability, infinite, 
game, based, 
release, Great, 
release, mobile, 
balance, same, 
game, good, 
game, amazing, 
character, green, 
port, enjoyable, 
idiot, absolute, 
Crashes, amazing, 
port, amazing, 
combat, difficult, 
purchase, 2nd, 
gripe, Big, 
time, later, 
game, Amazing, 
game, good, 
content, more, 
champions, new, 
enemies, new, 
cards, new, 
modes, new, 
stuff, same, 
run, different, 
game, Great, 
difficulty, reasonable, 
issue, only, 
people, other, 
card, wrong, 
deal, big, 
game, great, 
game, designed, 
builder, amazing, 
complaint, only, 
hours, many, 
card, Bad, 
finger, fat, 
card, sticky, 
run, entire, 
games, favorite, 
money, Best, 
gaming, smartphone, 
downside, only, 
game, same, 
writing, small, 
candidate, strong, 
game, highest, 
store, mobile, 
experience, same, 
lot, replayable, 
star, entire, 
while, little, 
experience, Awesome, 
game, great, 
game, smart, 
tier, Top, 
time, long, 
time, single, 
app, android, 
bug, unlocked, 
bug, huge, 
port, great, 
games, favorite, 
port, excellent, 
port, android, 
characters, more, 
game, original, 
port, sloppy, 
gestures, new, 
times, many, 
version, Mobile, 
screen, smaller, 
annoyance, mild, 
thing, only, 
leaderboard, daily, 
greatness, same, 
game, Best, 
reason, Only, 
game, favorite, 
port, Nice, 
phones, low, 
screen, bigger, 
phones, small, 
replayability, infinite, 
game, Best, 
game, mobile, 
game, best, 
game, mobile, 
killer, great, 
game, Mobile, 
controller, external, 
Game, hard, 
card, wrong, 
game, Amazing, 
game, Great, 
game, based, 
game, Amazing, 
game, great, 
left, silent, 
card, nice, 
misplays, constant, 
game, Awesome, 
version, mobile, 
glitches, few, 
issue, Main, 
card, wrong, 
times, several, 
game, great, 
game, incredible, 
builder, like, 
game, Greatest, 
amount, decent, 
fun, much, 
game, full, 
irksome, little, 
game, best, 
bundle, humble, 
times, many, 
card, wrong, 
button, undo, 
fun, great, 
port, android, 
run, entire, 
game, great, 
game, good, 
game, Good, 
decks, more, 
game, Fantastic, 
review, full, 
issues, many, 
version, mobile, 
review, full, 
hours, Endless, 
builders, best, 
elements, nice, 
sync, online, 
port, faithful, 
support, Mod, 
replayability, endless, 
version, android, 
runs, long, 
builder, perfect, 
game, Great, 
game, Great, 
game, Great, 
port, Mediocre, 
edge, bottom, 
issues, slight, 
hand, massive, 
size, more, 
port, good, 
issue, biggest, 
bar, top, 
fingers, fat, 
tip, Pro, 
corners, bottom, 
complaint, only, 
synch, initial, 
seconds, good, 
game, Great, 
purchase, third, 
bits, fiddly, 
icon, small, 
game, Great, 
card, wrong, 
minutes, several, 
player, single, 
thing, wrong, 
card, wrong, 
game, successful, 
love, more, 
port, mobile, 
games, finest, 
hundreds, literal, 
designer, professional, 
experience, good, 
phone, duo, 
complaint, only, 
experience, reduced, 
value, more, 
mechanics, clearer, 
times, multiple, 
thing, frustrating, 
refund, complete, 
port, bad, 
devices, new, 
game, mobile, 
review, Original, 
release, initial, 
bugs, few, 
cards, tapping, 
games, better, 
game, Super, 
time, syncing, 
game, whole, 
screen, main, 
game, Good, 
game, roguelike, 
game, only, 
game, other, 
game, Great, 
gameplay, great, 
lore, interesting, 
secrets, intriguing, 
pile, draw, 
options, certain, 
bugs, Few, 
game, good, 
game, amazing, 
way, easy, 
card, different, 
card, selected, 
game, Awesome, 
player, single, 
card, great, 
polish, more, 
stuff, graphical, 
crashing, occasional, 
game, solid, 
game, Amazing, 
lore, interesting, 
game, Amazing, 
issues, few, 
load, long, 
app, Awful, 
control, terrible, 
others, many, 
game, great, 
app, poor, 
problem, same, 
runs, unsuccessful, 
farce, regular, 
port, Terrible, 
port, mobile, 
bar, top, 
concept, same, 
