AUX, ATTR, ADJ, NSUBJ, 
is, game, excellent, This, 
's, state, current, it, 
am, 😒, frustrated, I, 
's, game, based, it, 
is, game, good, It, 
's, port, great, It, 
is, port, sloppy, this, 
is, game, favorite, This, 
's, game, great, It, 
be, card, nice, that, 
's, fun, much, It, 
's, game, full, it, 
's, port, faithful, it, 
's, port, good, it, 
is, purchase, third, This, 
's, thing, frustrating, It, 
's, port, bad, it, 
's, game, good, it, 
is, game, amazing, This, 
's, Roguelike, based, It, 
is, game, solid, this, 
's, process, long, it, 
is, shame, complete, This, 
's, game, best, It, 
's, port, solid, It, 
is, port, great, this, 
's, experience, good, it, 
be, game, perfect, this, 
's, flaw, big, it, 
's, flaw, enough, it, 
is, port, miserable, This, 
is, game, amazing, This, 
's, game, fantastic, it, 
's, game, same, it, 
's, game, great, It, 
was, buy, instant, it, 
is, time, third, This, 
's, Edit, related, it, 
is, game, good, this, 
's, amount, insane, That, 
's, game, good, It, 
is, shame, real, which, 
's, game, fun, It, 
is, deal, huge, This, 
is, game, great, this, 
is, game, exact, This, 
is, game, same, This, 
's, port, direct, it, 
's, complaint, only, That, 
is, game, played, this, 
is, game, fun, This, 
's, port, good, It, 
's, game, best, It, 
's, content, same, It, 
's, issue, only, it, 
's, UI, same, it, 
's, game, great, it, 
is, port, awful, this, 
is, port, solid, This, 
's, roguelike, best, It, 
are, ones, major, These, 
is, game, amazing, this, 
is, stuff, basic, this, 
is, downside, only, that, 
's, fault, more, that, 
is, game, entertaining, This, 
is, game, mobile, This, 
is, release, recent, this, 
is, crash, rare, This, 
are, waste, complete, Some, 
's, game, great, It, 
's, states, save, it, 
is, game, great, this, 
is, loop, unplayable, It, 
is, game, perfect, This, 
's, game, great, It, 
is, buggie, little, It, 
be, stars, easy, this, 
is, time, third, This, 
's, game, perfect, It, 
's, game, mobile, It, 
Is, port, great, this, 
's, roguelite, stellar, It, 
is, step, literal, which, 
is, game, straight, this, 
is, reason, whole, which, 
is, port, good, this, 
's, UI, exact, It, 
's, UI, same, It, 
's, game, same, it, 
's, game, great, it, 
is, game, amazing, This, 
is, app, best, This, 
is, cardbuilder, first, This, 
's, rouge, good, it, 
's, game, great, It, 
's, game, inferior, It, 
's, game, great, It, 
's, game, lovely, it, 
's, port, mobile, It, 
's, way, great, it, 
's, port, terrible, It, 
's, port, mobile, It, 
is, problem, big, which, 
is, game, great, it, 
is, version, brilliant, this, 
is, game, favorite, it, 
's, issue, only, that, 
's, game, good, It, 
's, game, phenomenal, it, 
be, finicky, little, it, 
is, game, same, It, 
is, game, great, It, 
