AUX, ATTR, ADJ, NSUBJ, 
is, emulator, best, it, 
is, emulator, only, this, 
is, emulator, good, this, 
's, emulator, great, It, 
's, emulator, exact, It, 
's, emulator, same, It, 
is, emulator, Drastic, This, 
is, emulator, good, this, 
is, emulator, best, This, 
is, remake, drastic, it, 
is, creation, nintendo, it, 
's, game, fair, it, 
is, emulator, excellent, this, 
's, problem, major, it, 
is, emulator, Drastic, This, 
is, emulator, Ds, This, 
was, underneath, Drastic, This, 
is, emulator, good, This, 
was, reskin, shameless, it, 
is, copy, shameless, it, 
was, copy, shameless, it, 
be, deal, good, this, 
is, app, best, This, 
is, emulator, drastic, this, 
is, emulator, Drastic, This, 
is, emulator, best, this, 
's, emulator, good, it, 
's, lag, Cheap, it, 
is, copy, drastic, this, 
's, app, great, it, 
is, emulator, best, This, 
