VERB, PREP, POBJ, 
tried, for, black, 
put, in, pocket, 
restart, in, middle, 
going, to, settings, 
setting, to, save, 
Comes, with, bunch, 
pay, for, it, 
runs, at, framerate, 
rate, because, me, 
download, as, alternative, 
crash, in, areas, 
loading, in, spells, 
switched, to, version, 
saves, from, game, 
saves, to, game, 
fill, with, Nostalgia, 
seem, at, times, 
go, to, settings, 
save, for, game, 
works, To, people, 
works, For, me, 
going, to, info, 
using, with, ads, 
works, for, emulator, 
relive, to, app, 
ds, with, crashes, 
record, with, lags, 
run, rom, hacks, 
Works, like, charm, 
use, for, emulator, 
decided, on, one, 
act, at, time, 
crashes, for, reason, 
had, For, 1.69, 
compared, to, this, 
run, on, systems, 
play, on, DS, 
reading, for, me, 
upload, to, Drive, 
work, on, Android, 
installed, since, crashes, 
searching, for, games, 
HOPING, for, multiplayer, 
play, with, phone, 
playing, without, friends, 
crash, on, devices, 
Thank, for, reading, 
beat, for, u, 
using, for, this, 
recommend, to, others, 
link, to, one, 
do, to, you, 
look, in, files, 
playing, on, phone, 
stick, into, that, 
added, in, app, 
works, in, emulator, 
Thank, for, app, 
tried, on, store, 
worry, about, issues, 
had, with, states, 
classified, as, scam, 
get, At, point, 
Spent, for, one, 
installed, in, phone, 
loaded, from, folder, 
Refunded, after, purchase, 
experienced, with, emulators, 
work, on, application, 
provide, to, anything, 
worked, for, couple, 
decided, within, minutes, 
use, as, ABXY, 
looking, like, kid, 
looking, in, highschool, 
play, from, childhood, 
play, on, phone, 
Thank, for, app, 
works, with, game, 
play, on, it, 
hunt, to, games, 
look, for, codes, 
bought, on, whim, 
say, to, mom, 
care, about, Emulation, 
come, to, realisation, 
speed, in, way, 
catching, on, games, 
stay, to, it, 
depending, on, hardware, 
work, for, emulator, 
comes, with, cheats, 
gave, to, you, 
look, at, storage, 
find, on, it, 
used, on, android, 
s, For, dollar, 
runs, in, ways, 
changed, like, %, 
look, like, what, 
Works, like, dime, 
hiccups, like, other, 
worked, for, while, 
play, on, emulator, 
play, on, crossing, 
play, for, database, 
loaded, with, ads, 
runs, for, dollar, 
runs, with, ads, 
ask, for, refund, 
went, into, files, 
use, without, codes, 
Reccomended, for, people, 
stressed, from, day, 
recommend, to, people, 
pay, for, app, 
have, on, problem, 
left, on, pokemon, 
left, on, phone, 
left, on, app, 
go, through, everything, 
staying, with, this, 
comes, with, cheats, 
play, in, mode, 
saved, on, emulator, 
use, with, games, 
feel, like, it, 
paid, for, it, 
reccomending, to, others, 
get, for, wiimmfi, 
using, for, month, 
seem, for, price, 
try, for, dollar, 
slow, unlike, emulators, 
Love, At, Speed, 
Love, At, Time, 
Spent, In, Life, 
needed, for, emulator, 
recommend, for, pro, 
played, through, HeartGold, 
played, with, issues, 
get, on, version, 
saving, for, time, 
upload, to, Drive, 
play, with, friends, 
battle, on, Heartgold, 
makes, for, experience, 
playing, on, emu, 
total, After, hours, 
recommend, for, price, 
waiting, for, download, 
get, For, $, 
want, on, device, 
play, at, way, 
playing, with, tweaks, 
has, by, way, 
made, unlike, emulators, 
made, for, version, 
