AUX, ATTR, ADJ, NSUBJ, 
is, fun, super, this, 
's, game, good, It, 
is, example, excellent, This, 
's, game, good, It, 
's, fun, great, it, 
was, idea, fun, This, 
's, game, fun, it, 
's, game, little, it, 
're, gems, hidden, they, 
's, game, good, it, 
's, game, nice, It, 
is, game, coolest, it, 
is, version, fantastic, this, 
is, version, casual, this, 
's, game, epic, It, 
's, game, great, It, 
is, game, fun, This, 
is, path, responsible, it, 
's, games, played, it, 
is, filler, great, this, 
was, experience, linear, It, 
is, fun, much, This, 
is, game, great, This, 
been, game, decent, what, 
's, game, good, It, 
's, rts, mobile, it, 
been, experience, great, it, 
is, game, Great, yours, 
's, game, fun, It, 
is, game, worst, It, 
'm, fan, big, I, 
was, concept, good, It, 
's, game, best, It, 
is, game, made, This, 
is, game, awesome, this, 
is, game, great, This, 
's, statecraft, quite, It, 
'm, fan, old, I, 
's, starcraft, good, It, 
's, starcraft, easy, It, 
's, starcraft, mobile, It, 
's, game, great, It, 
is, RTS, fun, It, 
is, RTS, little, It, 
's, game, latest, It, 
's, game, favorite, It, 
be, tower, casual, this, 
is, game, mobile, this, 
's, behavior, most, that, 
's, behavior, unforgivable, that, 
's, game, fun, It, 
's, game, solid, it, 
is, game, ultimate, This, 
's, game, paid, It, 
's, game, full, It, 
's, game, complete, It, 
's, world, wonderful, it, 
's, world, little, it, 
's, game, bad, It, 
's, fun, much, It, 
's, game, fun, It, 
's, RTS, constructed, It, 
is, type, exact, This, 
is, app, premium, This, 
be, heir, apparent, this, 
is, game, good, this, 
