VERB, PREP, POBJ, 
Giving, because, bug, 
playing, with, time, 
resets, to, guy, 
go, into, menu, 
payed, for, game, 
work, on, mobile, 
grind, in, game, 
want, in, RTS, 
made, into, game, 
ruined, for, me, 
work, towards, levels, 
unlock, in, tree, 
looking, for, that, 
gaming, on, android, 
enjoy, about, it, 
pay, for, heros, 
recommend, FOR, DEVS, 
pay, for, characters, 
locked, For, game, 
locked, behind, paywall, 
taken, after, games, 
feels, like, game, 
baked, in, grabbers, 
TAKES, AFTER, STARCRAFT, 
seems, on, level, 
hiding, in, sight, 
work, on, phone, 
switches, to, guy, 
Stole, from, Starcraft, 
played, in, ages, 
enjoying, on, Android, 
run, to, front, 
allow, before, purchase, 
paid, for, hero, 
ask, for, refund, 
looks, like, Warhammer, 
looking, for, rts, 
reach, for, discounts, 
beat, in, days, 
got, to, it, 
were, like, it, 
were, on, mobile, 
recommend, for, anyone, 
recommend, into, games, 
costs, for, all, 
Reminds, of, wars, 
locked, behind, paywall, 
buying, for, deal, 
spent, on, game, 
beat, with, heroes, 
paid, for, game, 
pay, for, characters, 
paid, for, game, 
take, with, you, 
Waiting, for, mode, 
keep, with, styles, 
pay, for, heros, 
recommend, on, basis, 
feels, in, hand, 
Gotten, on, pass, 
feels, without, them, 
Had, with, game, 
play, as, faction, 
play, since, Rush, 
waiting, on, anything, 
waiting, for, missions, 
Had, since, start, 
playing, for, days, 
want, at, level, 
spending, for, game, 
beat, on, difficulty, 
PAY, TO, WIN, 
burning, after, years, 
locked, behind, paywall, 
do, on, diff, 
pay, to, win, 
come, to, game, 
pulled, from, store, 
locked, behind, paywall, 
locked, behind, paywall, 
add, to, frustration, 
looking, for, that, 
find, for, device, 
played, on, mobile, 
get, in, process, 
charging, for, game, 
spend, on, items, 
managed, around, map, 
selected, to, hero, 
hope, for, levels, 
balances, between, strategy, 
Thank, for, game, 
pay, for, it, 
buy, with, money, 
keeps, on, toes, 
move, on, field, 
move, like, those, 
have, in, case, 
like, as, kid, 
used, to, it, 
put, on, it, 
needs, for, paid, 
paid, for, game, 
play, for, hour, 
completed, in, time, 
Got, on, Pass, 
think, Over, all, 
expect, from, game, 
go, like, RTS, 
wait, for, chapter, 
add, for, ironhide, 
challenging, at, times, 
play, in, 🙂, 
responded, to, me, 
has, for, ways, 
known, for, greed, 
known, in, games, 
pay, for, game, 
play, for, hours, 
pay, for, game, 
buy, for, money, 
like, On, hand, 
see, in, turn, 
play, as, faction, 
paid, for, hero, 
beat, with, heroes, 
pay, for, game, 
built, in, transactions, 
redo, with, difficulty, 
make, for, it, 
pay, for, heros, 
complete, in, game, 
paying, for, anything, 
feel, to, this, 
makes, for, environment, 
grew, with, stuff, 
beaten, WITHOUT, purchases, 
make, for, greed, 
add, to, cost, 
got, to, hard, 
spend, on, games, 
mixed, with, gameplay, 
makes, for, hours, 
payed, for, what, 
recommend, to, TD, 
had, with, Starcraft, 
feels, like, choice, 
paid, for, game, 
played, in, awhile, 
having, with, game, 
rescue, to, point, 
click, on, screen, 
have, on, game, 
beat, after, upgrades, 
are, in, transactions, 
hidden, behind, paywalls, 
hidden, in, game, 
switch, After, update, 
stuck, with, guy, 
played, on, Ipad, 
go, for, play, 
spent, on, games, 
get, for, price, 
made, per, fun, 
know, of, today, 
compared, to, games, 
pay, for, game, 
locked, behind, wall, 
Reminds, of, Command, 
play, for, a, 
reminds, among, us, 
clicking, on, location, 
Simplified, for, mobile, 
put, in, way, 
get, to, mobile, 
pay, for, what, 
has, to, it, 
do, with, strategy, 
have, on, range, 
Wish, for, content, 
understand, with, units, 
worry, about, IAPs, 
keep, for, opportunities, 
stuck, in, mission, 
stuck, with, option, 
want, in, type, 
reminds, of, Starcraft, 
hoping, for, command, 
Thank, for, works, 
picking, for, job, 
Reminds, of, Dawn, 
continued, with, this, 
flooded, with, TD, 
introduces, at, pace, 
changed, on, fly, 
adapt, to, surprises, 
adapt, on, try, 
build, for, phone, 
complete, at, mode, 
reminds, of, art, 
Love, about, it, 
play, as, races, 
lead, in, maps, 
comes, to, RTS, 
complete, on, differculty, 
complete, on, avaiable, 
replaying, on, differculty, 
locked, behind, paywalls, 
caring, about, game, 
boring, after, that, 
s, to, butt, 
waiting, for, improvement, 
found, of, transactions, 
become, with, story, 
play, with, difficulty, 
play, in, order, 
unlocked, after, missions, 
buy, with, money, 
shelling, for, heroes, 
buying, with, Expansion, 
buy, with, currency, 
required, on, difficulties, 
bring, to, game, 
add, to, game, 
Waiting, for, Marines, 
win, in, experience, 
find, within, levels, 
win, in, end, 
kept, for, games, 
put, on, them, 
looking, for, what, 
remind, of, starcraft, 
looking, for, challenge, 
experience, at, state, 
looking, to, it, 
chose, between, aliens, 
win, of, game, 
ranting, about, game, 
waste, on, games, 
playing, for, times, 
designed, with, attentions, 
designed, to, graphics, 
paying, for, game, 
were, like, one, 
buying, for, money, 
move, on, that, 
move, on, map, 
gave, in, case, 
locked, behind, wall, 
run, at, 60fps, 
run, on, device, 
run, at, 60fps, 
bought, because, games, 
got, on, sale, 
come, with, review, 
care, about, bugs, 
put, into, game, 
hope, in, guys, 
complete, in, couple, 
paid, for, app, 
keep, from, star, 
Ironhide, for, life, 
put, into, it, 
paying, for, game, 
annihilate, into, hits, 
do, to, them, 
pay, for, dollars, 
do, during, hours, 
need, in, dream, 
have, from, lol, 
moving, in, time, 
waiting, for, update, 
fall, in, love, 
fall, with, it, 
won, without, any, 
won, in, purchases, 
clear, in, day, 
hit, in, way, 
give, In, update, 
playing, for, time, 
payed, for, pack, 
seems, on, side, 
combines, in, form, 
call, to, field, 
call, during, missions, 
continues, until, you, 
paid, for, heroes, 
Add, in, planet, 
take, on, fit, 
played, on, pc, 
put, from, story, 
put, to, graphics, 
rolled, into, excellent, 
build, as, profile, 
comes, with, characters, 
get, to, gameplay, 
lock, behind, microtransactions, 
got, on, sale, 
got, for, cents, 
pay, for, something, 
come, across, games, 
come, so, surprise, 
spoiled, with, saves, 
unlock, in, missions, 
level, within, game, 
pass, on, play, 
are, in, purchase, 
make, to, me, 
Reminds, of, Starcraft, 
developed, in, format, 
Looking, for, Craft, 
Looking, for, phones, 
rush, in, emotions, 
reminds, of, starcraft, 
eat, at, life, 
started, at, %, 
finished, at, %, 
think, to, me, 
recommend, to, friends, 
know, on, game, 
hoping, for, worlds, 
played, on, mobile, 
having, at, end, 
enjoyed, for, hours, 
get, to, Starcraft, 
get, on, mobile, 
build, in, way, 
go, on, game, 
make, in, game, 
expected, from, game, 
enjoy, at, work, 
improve, in, community, 
woven, through, missions, 
purchase, by, credits, 
pay, for, rest, 
Ironside, at, 5ype, 
suffers, from, problem, 
try, on, boss, 
waiting, for, one, 
see, in, future, 
fight, for, inch, 
played, on, mobile, 
reminds, of, warhammer, 
do, in, games, 
stalling, with, mode, 
riddled, with, microtransactions, 
hiding, behind, visade, 
play, with, finger, 
reminds, of, starcraft, 
payed, for, dragon, 
contacted, for, refund, 
playing, for, week, 
Thank, for, game, 
Craving, for, more, 
finished, in, week, 
finished, vs, 3, 
finished, vs, weeks, 
finished, for, Games, 
spend, on, game, 
reminds, of, warcraft, 
deal, on, time, 
go, with, games, 
were, on, mobile, 
parodying, like, fantasy, 
parodying, like, marines, 
used, for, most, 
paid, for, game, 
pay, for, ways, 
paying, for, game, 
paying, with, microtransactions, 
gain, with, research, 
killing, on, go, 
spent, on, game, 
lying, for, treaty, 
made, to, world, 
states, on, world, 
pay, for, game, 
buy, in, game, 
spend, for, sort, 
ended, on, lol, 
do, with, balance, 
lies, like, response, 
pumping, in, money, 
play, on, platform, 
working, on, difficulty, 
spent, than, price, 
reminded, of, game, 
played, with, wifi, 
gets, on, casual, 
make, like, vengence, 
grabbed, through, Pass, 
subscribe, to, Pass, 
pay, for, it, 
buy, without, motor, 
buy, without, content, 
Enjoyed, as, way, 
mix, in, themes, 
describe, like, rush, 
finished, within, days, 
satisfying, for, mobile, 
modifying, on, fly, 
made, to, game, 
left, from, mishion, 
make, on, sigon-1, 
takes, around, level, 
get, past, it, 
start, with, references, 
dealing, with, units, 
love, about, game, 
turn, in, games, 
like, about, suggestions, 
balanced, with, tactics, 
made, for, devices, 
makes, for, that, 
do, with, lines, 
Playing, from, start, 
crush, at, times, 
