AUX, ATTR, ADJ, NSUBJ, 
is, version, casual, this, 
is, thing, sad, which, 
is, kind, fun, This, 
is, kind, difficult, This, 
's, game, fun, It, 
'm, fan, big, I, 
is, bug, breaking, It, 
is, rush, best, this, 
's, Rush, good, It, 
was, game, standalone, this, 
's, stingy, little, it, 
are, design, great, they, 
's, wave, endless, it, 
's, game, great, It, 
's, deal, big, that, 
's, pressure, likely, it, 
's, pressure, corporate, it, 
am, fan, massive, I, 
are, guys, bad, these, 
is, game, solid, It, 
is, game, worth, It, 
is, game, best, This, 
's, game, good, It, 
are, dev, small, they, 
was, game, free, this, 
is, version, worst, This, 
'm, adopter, early, I, 
's, game, great, It, 
was, find, awesome, That, 
's, design, bad, It, 
was, franchise, good, it, 
is, game, great, This, 
's, challenge, nice, it, 
's, one, big, it, 
's, game, amazing, It, 
's, game, good, It, 
's, game, shorter, it, 
is, wierd, little, it, 
's, change, good, it, 
's, game, great, It, 
are, speech, same, All, 
are, speech, generated, All, 
is, addition, good, it, 
is, game, great, This, 
's, game, best, it, 
being, dps, good, them, 
is, one, favorite, this, 
is, game, best, This, 
is, graphics, fantastic, this, 
is, graphics, great, this, 
am, fans, big, I, 
is, one, best, This, 
been, fan, big, I, 
is, version, fun, It, 
is, version, worth, It, 
is, game, fantastic, it, 
'm, fan, big, I, 
is, game, great, This, 
is, game, best, This, 
am, time, so, I, 
's, series, fav, it, 
's, experience, premium, it, 
's, one, best, it, 
's, experience, best, It, 
'm, fan, big, I, 
's, formula, same, it, 
's, addition, fine, It, 
was, beacuse, hard, it, 
is, difficulty, good, -Game, 
is, game, good, It, 
is, things, many, It, 
been, fan, big, I, 
been, fan, big, I, 
is, one, best, this, 
's, game, fun, It, 
is, game, great, it, 
is, game, solid, This, 
is, game, payed, this, 
's, pay, free, It, 
is, money, worst, This, 
is, money, much, This, 
been, games, separate, this, 
are, elements, essential, that, 
's, game, good, It, 
is, game, best, This, 
is, game, great, this, 
