VERB, PREP, POBJ, 
paying, for, game, 
paying, for, game, 
play, like, this, 
went, in, direction, 
drives, down, line, 
belong, in, series, 
focused, on, mechanics, 
finished, in, days, 
finished, on, difficulty, 
asking, for, more, 
playing, since, rush, 
going, from, origins, 
paid, for, game, 
listening, to, boom, 
choose, from, challenging, 
pay, for, game, 
saw, on, store, 
get, with, clicking, 
clicking, around, map, 
go, with, guys, 
feel, like, games, 
compared, to, installments, 
get, around, one, 
making, in, purchases, 
coming, from, someone, 
beaten, on, difficulty, 
progress, after, wave, 
playing, for, years, 
have, with, eggs, 
get, like, system, 
pushing, for, fixes, 
sell, in, beginning, 
sell, before, wave, 
done, on, purpose, 
done, in, games, 
sell, for, cost, 
said, in, review, 
play, on, side, 
bring, into, battle, 
choose, unlike, origins, 
choose, from, heroes, 
get, to, it, 
Paying, for, heros, 
Playing, through, time, 
Waiting, for, chapter, 
pick, before, level, 
Start, with, tower, 
earn, for, game, 
paying, for, them, 
lost, for, reason, 
run, on, Subsystem, 
run, for, Android, 
playing, to, upgrade, 
level, in, time, 
feel, like, lot, 
Keep, at, it, 
gave, with, all, 
paid, for, game, 
pay, for, additional, 
pay, in, content, 
combined, with, towers, 
make, on, difficulty, 
jumping, from, one, 
answer, for, yourself, 
Love, like, editions, 
finish, in, level, 
playing, for, weeks, 
enjoyed, because, heroes, 
playing, for, time, 
payed, for, game, 
refund, after, days, 
buying, after, days, 
played, from, hide, 
prefer, in, way, 
pay, for, heroes, 
paid, for, game, 
add, to, game, 
wasted, on, this, 
choose, to, place, 
choose, on, level, 
upgraded, to, level, 
play, on, a12, 
playing, on, phone, 
play, as, guy, 
purchase, in, items, 
own, on, pc, 
Paid, for, game, 
are, in, purchases, 
increased, with, game, 
used, in, game, 
play, as, guys, 
wait, for, 😁, 
enter, with, towers, 
compared, to, entries, 
put, with, tutorial, 
do, with, towers, 
Come, on, guys, 
bring, for, fans, 
Compare, to, series, 
pay, for, game, 
comes, from, hide, 
buying, since, 2015, 
allows, for, customisation, 
hold, for, players, 
hidden, behind, paywall, 
give, due, fact, 
improved, from, games, 
expressed, for, attempt, 
decided, on, playthrough, 
decided, under, account, 
maximize, for, myself, 
loaded, with, cameos, 
Waiting, for, legends, 
paid, for, that, 
helped, with, issues, 
spend, on, games, 
beat, with, resources, 
beat, like, thing, 
coming, with, content, 
burned, on, games, 
playing, since, day, 
paying, for, game, 
left, in, mouth, 
included, in, tag, 
pass, on, setting, 
