NOUN, ADJ, 
defense, Cheap, 
defense, looking, 
defense, basic, 
transactions, annoying, 
transactions, micro, 
game, basic, 
options, limited, 
placements, limited, 
2D, Small, 
blobs, other, 
blobs, small, 
minute, other, 
offer, special, 
blob, coloured, 
price, low, 
games, better, 
level, Minimal, 
level, maximum, 
game, Awesome, 
game, Nice, 
scumbags, loving, 
game, Awesome, 
fun, real, 
graphics, nice, 
Lots, easy, 
time, nice, 
beast, Third, 
game, Great, 
game, little, 
sequel, great, 
game, first, 
game, constructed, 
game, good, 
graphics, nice, 
game, Amazing, 
game, Simple, 
game, Amazing, 
games, first, 
play, good, 
game, Fantastic, 
game, amazing, 
game, Best, 
job, Great, 
game, Great, 
developers, Great, 
tier, new, 
game, Great, 
country, underrated, 
game, Great, 
S7, old, 
lot, Great, 
girl, ninja, 
puzzle, kinda, 
tbh, fun, 
experience, full, 
game, Cool, 
game, Great, 
game, good, 
trash, Unbalanced, 
game, great, 
rush, Bsst, 
reviews, negative, 
sequel, great, 
game, good, 
game, challenging, 
games, most, 
game, fun, 
target, wrong, 
sets, different, 
game, great, 
game, little, 
game, Fantastic, 
hero, single, 
game, good, 
fun, Much, 
games, Special, 
memories, special, 
game, good, 
game, Perfect, 
game, Amazing, 
franchise, amazing, 
company, amazing, 
difficulties, many, 
playthroughs, many, 
graphics, great, 
story, solid, 
amount, vast, 
work, Great, 
individuals, strategic, 
game, Great, 
game, Good, 
game, Fantastic, 
strategy, good, 
challenge, real, 
game, second, 
attempts, few, 
experience, nice, 
game, great, 
games, other, 
mobs, many, 
mobs, invulnerable, 
mob, other, 
effects, Sound, 
surprises, many, 
surprises, new, 
updates, many, 
game, first, 
time, Long, 
entry, favourite, 
game, Great, 
lots, Awesome, 
game, fav, 
glitches, few, 
glitches, annoying, 
game, Perfect, 
fun, simple, 
game, first, 
problems, same, 
rate, difficult, 
game, PERFECT, 
aways, cheap, 
wine, fine, 
towers, unique, 
level, good, 
game, Good, 
game, fun, 
round, perfect, 
fun, Pretty, 
apps, Paid, 
purchases, high, 
play, Nice, 
play, good, 
play, casual, 
cataclysm, mass, 
tower, better, 
stuff, new, 
game, first, 
