AUX, ATTR, ADJ, NSUBJ, 
'm, fan, huge, I, 
is, game, hard, This, 
are, mechanics, simular, they, 
is, reason, only, that, 
is, rush, wierdest, This, 
's, game, good, It, 
's, game, excellent, It, 
's, style, unique, It, 
's, wonder, real, It, 
's, strategy, much, It, 
's, 😎, awesome, It, 
's, game, fun, It, 
is, game, best, This, 
is, con, big, this, 
is, game, mobile, it, 
're, level, same, they, 
is, installment, great, this, 
is, game, thought, It, 
's, game, amazing, It, 
's, game, mobile, It, 
is, game, excellent, This, 
are, games, only, These, 
is, game, favorite, This, 
is, Rush, first, This, 
was, idea, good, it, 
is, one, worse, this, 
is, defense, best, This, 
's, balance, right, It, 
is, time, fun, it, 
is, formula, perfect, it, 
be, challenge, good, it, 
'm, supporter, avid, I, 
's, game, good, It, 
was, game, free, it, 
'm, 😔, sad, i, 
is, compliment, huge, which, 
's, version, newer, It, 
is, game, second, This, 
is, game, favorite, This, 
be, game, honest, this, 
is, game, easiest, it, 
is, game, fun, It, 
is, game, cute, It, 
's, difficulty, artificial, it, 
'm, fan, huge, I, 
is, game, good, This, 
is, change, nice, it, 
is, game, great, This, 
is, TD, good, this, 
is, idea, same, this, 
is, idea, enjoyable, this, 
's, game, favorite, it, 
's, game, nice, it, 
's, game, premium, it, 
is, game, classic, This, 
is, game, first, this, 
's, speed, slow, It, 
is, choice, top, this, 
is, choice, notch, this, 
's, take, great, It, 
's, take, mythical, It, 
's, game, great, It, 
's, game, great, It, 
's, game, great, It, 
is, game, cool, This, 
is, game, mobile, This, 
's, game, great, It, 
was, fan, hardcore, I, 
