VERB, PREP, POBJ, 
play, for, fans, 
Uses, from, games, 
plays, like, others, 
got, in, phone, 
spent, on, game, 
get, with, combo, 
doing, in, life, 
pay, for, game, 
paid, for, game, 
Reminds, of, guy, 
Reminds, from, one, 
live, to, expectations, 
seem, For, reason, 
paying, to, download, 
locked, via, 60$+, 
playing, for, decade, 
unlock, with, currency, 
max, in, waves, 
give, with, bullets, 
search, for, setup, 
play, with, strategies, 
looking, for, challenge, 
beat, on, stars, 
hinderd, with, game, 
thought, Of, games, 
Played, in, past, 
keep, with, influx, 
thank, for, game, 
add, to, press, 
look, up, solution, 
crashes, on, time, 
engaged, in, game, 
crashed, on, Neverwonder, 
replay, through, four, 
went, After, time, 
went, on, Friday, 
bought, in, most, 
left, for, reason, 
gotten, in, weeks, 
excells, at, dps, 
tanking, despite, looks, 
wonder, Despite, all, 
wonder, Despite, quality, 
asked, for, review, 
pirchased, in, while, 
have, With, pass, 
finish, without, them, 
STAY, at, costs, 
complete, on, levels, 
did, for, PC, 
having, with, engine, 
having, after, wave, 
played, for, year, 
stuck, in, level, 
played, in, time, 
Fun, for, family, 
pay, for, anything-, 
introduced, in, story, 
made, for, heroes, 
looking, for, sequel, 
looking, since, original, 
thrilled, with, it, 
compared, to, masterpiece, 
exist, in, PlayStore, 
Thank, for, addiction, 
gets, with, game, 
gets, like, frontiers, 
played, in, day, 
recommend, With, heros, 
wait, for, heroes, 
happened, to, him, 
happened, from, king, 
playing, for, year, 
get, on, levels, 
playing, for, long, 
Reminds, of, plants, 
carried, on, line, 
hooked, on, game, 
goes, for, games, 
did, on, story, 
use, with, tons, 
messed, on, level, 
Love, from, start, 
need, for, one, 
came, across, game, 
playing, on, boy, 
fall, in, love, 
got, in, minutes, 
compared, to, rushes, 
completed, within, week, 
paid, for, Hero, 
deducted, from, account, 
work, on, tablet, 
wait, for, Vengeance, 
revisiting, with, difficulty, 
improved, in, games, 
have, on, phone, 
need, on, phone, 
have, for, fan, 
play, like, game, 
look, at, enimes, 
get, for, guys, 
makes, for, me, 
worked, for, level, 
carries, through, version, 
Based, on, games, 
freezing, on, device, 
need, with, heroes, 
buy, with, stars, 
Take, into, it, 
get, after, while, 
