NOUN, ADJ, 
game, Best, Best block game
game, tgis, I love tgis game and have been playing for 3years
way, only, Worth my money, as its fun to play with friends. The reason i gave it 4 stars thoight, is beacuse you need "minecoins" for almost everything, and the only way to get them is by spending money. Please give starter players at lease 200 minecoins to start with, beacuse we have already paid fpr the game, why do we need to play for the curency to? untill then my review stays the same.😐
players, starter, Worth my money, as its fun to play with friends. The reason i gave it 4 stars thoight, is beacuse you need "minecoins" for almost everything, and the only way to get them is by spending money. Please give starter players at lease 200 minecoins to start with, beacuse we have already paid fpr the game, why do we need to play for the curency to? untill then my review stays the same.😐
game, stupid, this is stupid game just fix some bugs u idiot mojang
game, Best, Best game ever. MINECRAFT is the game you must play. PLAY survival To Survive. Or creative Where you build a dirt house or dirt mansion or with diamonds or netherite. I have an update idea the ender update where the end has more life than before Download now if you have money Thanks Mojang. 🙂
life, more, Best game ever. MINECRAFT is the game you must play. PLAY survival To Survive. Or creative Where you build a dirt house or dirt mansion or with diamonds or netherite. I have an update idea the ender update where the end has more life than before Download now if you have money Thanks Mojang. 🙂
game, best, The best game ever
game, awesome, Is very awesome game in multiplayer
game, great, This is a great game, i have been playing it for 7 and a half years and i love it, but the thing is whenever i try to add a new server, i sometimes crash and also when my render distance goes to 20 it lags. Please fix this🙏
server, new, This is a great game, i have been playing it for 7 and a half years and i love it, but the thing is whenever i try to add a new server, i sometimes crash and also when my render distance goes to 20 it lags. Please fix this🙏
server, outdated, Why cant my friend join? It says "outdated server". Please fix this bug or error. Thanks.
mods, good, Pls put some good mods free allso even Java is better becouse it has real mods but this one has table that has player shadow down and it moves😤
becouse, better, Pls put some good mods free allso even Java is better becouse it has real mods but this one has table that has player shadow down and it moves😤
mods, real, Pls put some good mods free allso even Java is better becouse it has real mods but this one has table that has player shadow down and it moves😤
food, more, Can you add more food like 🥧🍓🍟?
cooooooool, very, Sick this so cool this game have a mode in google play and very cooooooool
game, Best, Best game I ever played.
game, Best, Best game in the world it's better than free fire,pubg and gta 5
fire, free, Best game in the world it's better than free fire,pubg and gta 5
game, Nice, Nice game but it is a paid game I love it
game, paid, Nice game but it is a paid game I love it
game, Good, Good game
game, nice, Very nice and cool game install it now you will love it 🙂🙂
game, Awesome, Awesome game! Really like it! But in the recent update multiple player is impossible, 😔servers work though. Over all this game is awesome it has something for everyone! 😀
player, recent, Awesome game! Really like it! But in the recent update multiple player is impossible, 😔servers work though. Over all this game is awesome it has something for everyone! 😀
player, multiple, Awesome game! Really like it! But in the recent update multiple player is impossible, 😔servers work though. Over all this game is awesome it has something for everyone! 😀
servers, 😔, Awesome game! Really like it! But in the recent update multiple player is impossible, 😔servers work though. Over all this game is awesome it has something for everyone! 😀
update, New, New update coming soon today
teamate, bad, I want a refund and sometime I team up with bad teamate and troll people plz give me a refund
game, Cool, Cool game and I see nether upgrade is best update in minecraft and my favourite game for all time Edit It is still the best game I've ever played!! Thanks Notch Edit 1.18 is amazing
update, best, Cool game and I see nether upgrade is best update in minecraft and my favourite game for all time Edit It is still the best game I've ever played!! Thanks Notch Edit 1.18 is amazing
game, favourite, Cool game and I see nether upgrade is best update in minecraft and my favourite game for all time Edit It is still the best game I've ever played!! Thanks Notch Edit 1.18 is amazing
game, best, Cool game and I see nether upgrade is best update in minecraft and my favourite game for all time Edit It is still the best game I've ever played!! Thanks Notch Edit 1.18 is amazing
lore, dark, I like it's dark lore. Keeps having sign in troubles though. Like a Piglin error and such.
joystick, virtual, It's Minecraft on your phone, which is awesome. I only wish there was an option for a virtual joystick, because the D-pad feels so clunky. Great game though, with endless creative fun. Well worth the price.
game, Great, It's Minecraft on your phone, which is awesome. I only wish there was an option for a virtual joystick, because the D-pad feels so clunky. Great game though, with endless creative fun. Well worth the price.
fun, endless, It's Minecraft on your phone, which is awesome. I only wish there was an option for a virtual joystick, because the D-pad feels so clunky. Great game though, with endless creative fun. Well worth the price.
fun, creative, It's Minecraft on your phone, which is awesome. I only wish there was an option for a virtual joystick, because the D-pad feels so clunky. Great game though, with endless creative fun. Well worth the price.
gmae, Good, Good gmae
link, famliy, Sorry minecraft i cant download it cuz of famliy link i sneaked and download it
fix, Recent, Recent bug fix broke the structure block
game, best, Its the best game ever. All i have to say
game, Best, Best game ever
mob, hostile, Add sharks not as a hostile mob but a peaceful mob that you can tame with meat of any kind. also make poison potatoes be able to make ez potions. (crafting recipe) Poison potato×8 glass bottle×1
mob, peaceful, Add sharks not as a hostile mob but a peaceful mob that you can tame with meat of any kind. also make poison potatoes be able to make ez potions. (crafting recipe) Poison potato×8 glass bottle×1
glass, crafting, Add sharks not as a hostile mob but a peaceful mob that you can tame with meat of any kind. also make poison potatoes be able to make ez potions. (crafting recipe) Poison potato×8 glass bottle×1
game, best, The best game forever
WORLD, BIG, THIS GAME IS REALLY OP SURVIVAL CREATIVE BIG WORLD WHEN 1.18 RELEASE TE TODAY PLZZZ TELL I AM SO EXCITED 💓💓😍😍😍😍😍😍
game, Best, Best game ever and im waiting for 1.18 update
minecraft, amazing, I have no words for how amazing minecraft is. Also sub to weekend nick lol.
game, Best, Best game forever just mojang fix bugs
game, best, The best game in the world. The world is so beautiful and the graphics are amazing.
thing, first, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
table, crafting, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
thing, second, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
world, creative, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
beta, newest, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
beta, version(Not, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
thing, third, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
times, numerous, Please fix this problem..the first thing is I can't get the stuff I made in the crafting table because it will disappear deliberately like the game is crashing when my world are getting bigger... the second thing, I can't spawn almost all the monster eggs in the creative world although I has update the game to the newest version(Not beta)... The third thing is I have delete the minecraft a numerous times but the problem is still there..
world, normal, The game is great but the market place is the absolute worst. the market place is a place of scam, no achievements, no access to the mod, no refund. better to just play normal world, i got everything in hard-mode normal world and all i got from market place is regret.
mode, hard, The game is great but the market place is the absolute worst. the market place is a place of scam, no achievements, no access to the mod, no refund. better to just play normal world, i got everything in hard-mode normal world and all i got from market place is regret.
world, normal, The game is great but the market place is the absolute worst. the market place is a place of scam, no achievements, no access to the mod, no refund. better to just play normal world, i got everything in hard-mode normal world and all i got from market place is regret.
update, new, I love the game i cant wait for the new update tomarow
game, Best, Best game ever!!! Especially good controls in mobile
controls, good, Best game ever!!! Especially good controls in mobile
game, Best, Best game
game, Best, Best game ever
life, real, I rate this a five star cause it's like real life but we need to know the secrets of Minecraft
bugs, serious, I love this game and all but it has some serious bugs like I can't even play on servers even tho I have a Mincrofts acc and it really annoying pls pls pls fix this bug then I would give the game a 5 star review so I hope u will FIX THIS BUG pls and thx.
boiiiiiiiii, Good, Good game boiiiiiiiii
world, new, 👏AMAZING GAME 👏 but there's one problem one time I made a new world and when I hit mobs they flew and slowly fell down. But I definitely recommend this game 🎮🕹 and one more thing when you sign in can there not be so many sites? I'm sorry about my behavior it's just I'm kind of mad because my mom has this app that which blocks sites and I need permission from her.
sites, many, 👏AMAZING GAME 👏 but there's one problem one time I made a new world and when I hit mobs they flew and slowly fell down. But I definitely recommend this game 🎮🕹 and one more thing when you sign in can there not be so many sites? I'm sorry about my behavior it's just I'm kind of mad because my mom has this app that which blocks sites and I need permission from her.
game, fun, this is a fun game my daughter always plays it it's just shes always mad that something cost money and she spends all her allowance on it so just saying but yea to keep the kids busy totally!
thing, whole, I signed into my Microsoft acount on 2 devices and now the whole thing is broken
game, best, I love this game because it so fun and cool it the best game ever get this game it so super fun you can play with your friends and cousin get this game is super cool and you can get texture and Mob i love this game it the best
fun, super, I love this game because it so fun and cool it the best game ever get this game it so super fun you can play with your friends and cousin get this game is super cool and you can get texture and Mob i love this game it the best
brilliant, absolute, Game absolute brilliant
game, good, Its a good game, I've had it for a year now and everything's amazing. However, I wish Java edition was available on phones, because it just seems better than bedrock from what I've seen.
time, long, If been play minecraft for a long time and I needed a way to calm my self after sports camp, 10/10
game, Cool, Cool game To play
game, great, Its kind a boat type because you have boats great game :] :) :D
game, Good, Good game
game, Good, Good game
game, ultimate, This is it. The ultimate mobile game. Great port, too; well optimized.
game, mobile, This is it. The ultimate mobile game. Great port, too; well optimized.
port, Great, This is it. The ultimate mobile game. Great port, too; well optimized.
opinion, professional, My professional opinion? Ten out of ten! I have been playing this game since mobile grasped it. It is so fun to just goof around with your friends!
game, Great, Great game can't wait till 1.19.0
game, best, Minecraft this is the best game for my opinion I love it thank u it brings memories :)
game, best, This is by far the best game I have ever played. I love to play it online and offline. It's a great game to play with ur friends and family.
game, great, This is by far the best game I have ever played. I love to play it online and offline. It's a great game to play with ur friends and family.
