AUX, ATTR, ADJ, NSUBJ, 
is, game, favourite, It, It is my favourite game.
is, game, best, This, This is the best game
was, something, wrong, something, Wow this works where i want to be well now exactly i wanted a pocket edition minecraft i thought this was the pocket edition but they wasn't but i still enjoyed it was so great but something was clearly something wrong with yours i don't know but it looks kind of weird but it is a live it is minecraft so i won't judge
's, game, cool, It, It's a cool game
is, game, creative, it, This game is awesome for many reasons, but my main resason is that it is a very creative and family friendly game that is easy to control and mess with (sometimes it gets very glitchy and even crashes.)
is, game, friendly, it, This game is awesome for many reasons, but my main resason is that it is a very creative and family friendly game that is easy to control and mess with (sometimes it gets very glitchy and even crashes.)
was, game, best, This, This was the best game of my childhood.
's, 😒, dumb, it, I like it buuuuuut I only have 2 games on my tablet 😞 I had 8 but I had to update Minecraft now I am sad 😞😔😔☹️☹️😢 but it isn't your fault it's the dumb tablet 😠😒 but amazing game 😁#missingalofmygames✌️😑😔 and also can we have furniture plz more dog breeds and realistic mc for iPad/tablet/phone/any device plz and a chisel please. (And also with the furniture I WILL still be creative) (hold on I have ADHD soooo I'm already creative) if you do that all of us will be HAPPY 😁 thx.
's, port, amazing, It, It's an amazing port
is, game, best, This, This is the best game ever but I just wish it can just accept every single add-ons like curseforge and other one
's, game, good, it, It's hard on mobile but it's a good game nonetheless
is, 😎, cool, it, it is cool😎
is, experience, great, It, It is a great experience! Its amazing
was, stuff, fine, it, Minecraft is in my opinion one of the best games out there, but, there's a bug or something in the mobile version. I bought this and was really excited to play it, because I can't play when someone else is using the tv or while my computer is broken. When I opened it up, it was fine, normal Minecraft stuff, But when I made and joined a survival world, I couldn't do even so much as make sticks, splitting a stack isn't working and even another user was confused as to why it wouldn't split.
was, stuff, normal, it, Minecraft is in my opinion one of the best games out there, but, there's a bug or something in the mobile version. I bought this and was really excited to play it, because I can't play when someone else is using the tv or while my computer is broken. When I opened it up, it was fine, normal Minecraft stuff, But when I made and joined a survival world, I couldn't do even so much as make sticks, splitting a stack isn't working and even another user was confused as to why it wouldn't split.
's, game, great, It, It's great game
is, app, great, It, It is a great app but it would be great if you could add more breeds of dogs, at least a pug dog. But also it is not letting my friends join, it says im not on
is, app, amazing, This, This is an amazing app it is one of my top 10 favorite games i hope in future updates it gets a lot more better with new mobs
is, game, favorite, it, Wow where do I start, I've been playing minecraft for as long as I can remember and it is still my favorite game and will always be. I just love it, there are so many things that you can do like build whatever you want, explore the world, fight monsters and travel to a different dimension and explore it . There are just a few things that I would love to be added to this legendary game like Excalibur, new bosses, new portals and dimensions and last but not least new mobs mojang thank you so much!
is, game, best, This, This is the best game ever! It keeps me entertained and I can use my imagination as free! Because all those rip-offs of Minecraft have ads and u can barely play on the rip-offs! Thank God for Minecraft being made!!!!!! And I love the axolotls and goats thanks Mojang for adding the axolotls and goats 🐐!
's, game, best, It, It's the best game I discovered
is, thing, only, It, It is ok the only thing that surprised me was that you don't have to buy it if you what to us it on a other computer
is, game, great, this, When I undownloaded and download minecraft back all my worlds were gone even when I went to external storage. Now I lost my whole survival world and all of my creative worlds where I built lots and lots of hard and time consuming builds. But overall this is a great game and very fun.
is, game, interesting, It, It is very interesting game
's, app, great, It, It's a really great app, but it usaully kickes me put of my acconts! Please thix this... 🥺
's, game, best, It, It's the best game in the world no joke. I love the gameplay and everything, however, (Mojang if you're seeing this) can you patch up the glitch that makes my pets disappear? It happened twice in my world and it's really depressing.
is, game, amazing, This, This is such an amazing sandbox game i've ever played!! Never get tired of it, it just too good! Thanks mojang for making this beatiful game!!
was, game, favourite, This, A very very nice game but difficult to play on pc using emulator. This was my favourite game until something strange happened in java edition. When the dragon was over and i was returning to my world i read the story that came infront of me after reading half of it some words started flickering. I was very scared and did not played java edition since then. And i also got a blood moon in the same version that day.
