VERB, PREP, POBJ, 
리니지, 몇일, 봤는데, Disappointing..딱 리니지 향수 있는사람만 할만한 게임.  하도 리니지 리니지 해서 몇일 해 봤는데.. 별 재미가.. 이전에 리니지 하셨던분은 향수로 좋아하실지도 모르지만... 2017년 20년전 게임을 그대로 올려놓으니.. 요즘 나오는 게임에 비해 게임성. 컨트롤. 컨텐트..그래픽.. 모든게 뒤떨어지고 현재에 맞지 않음..
played, for, period, I have played many NC's games for a long period of time but I couldnt even try to play Lineage ONE, because of its old fashined graphic, control and movement. But if you study and read all references during your playing, you can realize how lucky you are and see the REAL WORLD through this game. I will give my five stars out of five.
try, because, graphic, I have played many NC's games for a long period of time but I couldnt even try to play Lineage ONE, because of its old fashined graphic, control and movement. But if you study and read all references during your playing, you can realize how lucky you are and see the REAL WORLD through this game. I will give my five stars out of five.
read, during, playing, I have played many NC's games for a long period of time but I couldnt even try to play Lineage ONE, because of its old fashined graphic, control and movement. But if you study and read all references during your playing, you can realize how lucky you are and see the REAL WORLD through this game. I will give my five stars out of five.
see, through, game, I have played many NC's games for a long period of time but I couldnt even try to play Lineage ONE, because of its old fashined graphic, control and movement. But if you study and read all references during your playing, you can realize how lucky you are and see the REAL WORLD through this game. I will give my five stars out of five.
brought, to, life, What did yall expect? It is an old game from twenty years ago brought to life as a mobile version.
brought, as, version, What did yall expect? It is an old game from twenty years ago brought to life as a mobile version.
waited, for, days, I have waited this game for much days!!!! Butttttt! This game is really terrible! First quest does not pass!! I really do the mission perfectly! And much error during playing games! It s not good than I expected!
이런개판이, 캐릭생성, 어쩌자는, 개판중에 이런개판이 있나 사전등록의미를 상실시켜 버리네 안타라스서버 1 캐릭생성 막아버리면 어쩌자는 거임? 기존에 사전등록자들을 우선적으고 캐릭생성 해주던가 생각 전혀안하고 게임만들었나보네. 20년전에 20년전에 초딩때 했던 추억으로 다른 서버 들어가서 플레이 해보니깐 겁나 재미없더라 안한다. 그래픽도 조금 업을 시키던가 스타크래프크 캐릭들만 그래픽 다시 살려서 나오듯이 디테일 다듬어서 올리던지 20년전 리니지에서 멈춰있는걸 모바일로 가져온거 뿐이 더되나. 망작이다. 평점 3점이 말해주네 3점도 아깝다
답답하네요, 계정, 사전에, 계정 연동했는데 사전에 등록한 서버 접속이 안되는 이유가 뭔지 참으로 답답하네요
답답하네요, 계정, 안되는, 계정 연동했는데 사전에 등록한 서버 접속이 안되는 이유가 뭔지 참으로 답답하네요
