AUX, ATTR, ADJ, NSUBJ, 
is, game, great, it, 
is, game, fun, this, 
is, game, best, it, 
's, game, short, it, 
's, game, brilliant, It, 
is, entry, great, this, 
is, game, best, This, 
is, game, great, It, 
's, game, great, it, 
's, game, great, it, 
is, game, best, This, 
is, game, best, this, 
was, thing, best, it, 
be, limit, ridiculous, it, 
is, game, good, It, 
'm, person, creative, I, 
was, account, same, it, 
's, game, favorite, it, 
was, game, best, it, 
is, game, fun, It, 
be, buggy, little, it, 
is, game, best, it, 
's, game, good, It, 
's, game, great, It, 
is, game, fun, this, 
's, game, cool, it, 
is, game, fun, This, 
is, use, easy, it, 
is, game, best, This, 
is, game, good, This, 
's, game, fun, It, 
is, game, best, This, 
is, time, first, this, 
is, game, best, This, 
is, game, favorite, This, 
is, game, good, It, 
is, step, massive, It, 
's, idea, paragon, it, 
is, game, favorite, this, 
is, game, best, this, 
is, game, best, It, 
is, game, awesome, This, 
's, game, fun, It, 
is, game, good, It, 
's, game, amazing, It, 
's, game, good, It, 
's, game, good, that, 
's, fun, amazing, It, 
's, game, fun, It, 
's, game, interesting, It, 
was, playing, hard, it, 
is, thing, greatest, this, 
is, mobile, greatest, this, 
is, one, best, this, 
's, game, good, It, 
is, game, good, It, 
'm, player, old, I, 
is, game, great, This, 
's, game, great, It, 
's, defence, fun, It, 
is, game, great, It, 
is, idea, good, This, 
is, game, great, It, 
is, animation, good, this, 
is, game, best, It, 
's, game, best, It, 
's, game, solid, It, 
is, game, good, This, 
been, game, good, this, 
is, download, good, it, 
is, game, perfect, This, 
is, game, cool, It, 
is, game, good, This, 
is, game, good, It, 
is, game, fun, It, 
's, 😄, fun, It, 
's, 😄, 😄, It, 
's, 😄, 😄, It, 
's, game, amazing, It, 
is, game, new, it, 
is, game, favorite, it, 
is, game, great, It, 
is, game, amazing, it, 
is, app, entire, all, 
's, game, good, It, 
is, 10/10, amazing, It, 
been, game, amavinging, It, 
is, game, amazing, This, 
is, game, amazing, This, 
