NOUN, ADJ, 
sequel, full, 
game, dumbest, 
way, nice, 
game, nice, 
thing, same, 
challenge, new, 
quotes, many, 
game, simple, 
game, challenging, 
thing, Same, 
thing, kinda, 
lol, difficult, 
controls, better, 
occupations, multiple, 
game, best, 
game, Easiest, 
game, Great, 
experience, same, 
physics, same, 
game, Superb, 
learning, hard, 
motions, exact, 
motions, same, 
reactions, several, 
reactions, different, 
version, mobile, 
AF, frustrating, 
reviews, low, 
game, overall, 
game, amazing, 
killer, wonderful, 
killer, little, 
port, mobile, 
obstacle, first, 
version, mobile, 
Edit, wildly, 
controls, mobile, 
game, good, 
view, wide, 
times, multiple, 
reaso, random, 
טוב, המשחק, 
controls, done, 
game, frustrating, 
experience, Great, 
metal, red, 
rocks, other, 
annoyance, forced, 
game, awesome, 
man, perfect, 
curve, steep, 
use, great, 
controls, Horrible, 
obstacles, annoying, 
quotes, painful, 
game, perfect, 
game, worst, 
game, great, 
game, fun, 
curve, learning, 
games, challenging, 
game, bad, 
section, vertical, 
hour, half, 
game, amazing, 
controls, awful, 
controls, worst, 
lol, large, 
masterpiece, Amazing, 
masterpiece, absolute, 
detail, much, 
sections, creative, 
experience, whole, 
game, damn, 
game, nice, 
layer, unnecessary, 
port, decent, 
sense, false, 
progress, forward, 
lesson, valuable, 
game, fantastic, 
fun, Hard, 
fun, stressful, 
game, Hard, 
case, durable, 
game, Amazing, 
game, fun, 
types, different, 
types, different, 
people, same, 
people, same, 
players, hardcore, 
game, decent, 
stuff, more, 
quality, good, 
player, mobile, 
game, bad, 
coll, pretty, 
players, mobile, 
game, Gud, 
fun, Super, 
version, mobile, 
people, calm, 
game, Good, 
time, hard, 
movement, dast, 
movement, sporadic, 
game, mobile, 
choices, poor, 
game, stupid, 
fingers, giant, 
stylist, damn, 
man, top, 
game, first, 
way, good, 
batter, much, 
thing, only, 
finger, £, 
finger, uking, 
version, mobile, 
controlls, bad, 
guy, annoying, 
LOL, Good, 
update, last, 
experience, best, 
technologies, new, 
opinion, personal, 
game, good, 
challenge, fun, 
combination, perfect, 
type, certain, 
setup, convenient, 
youtuber, fav, 
game, difficult, 
ways, best, 
probley, Ill, 
game, mad, 
game, good, 
game, unique, 
sailing, smooth, 
people, many, 
game, amazing, 
game, good, 
game, Amazing, 
game, fun, 
game, good, 
game, good, 
time, same, 
kids, sour, 
banays, Busrikadevelopergsnays, 
daddy, harder, 
game, Good, 
control, weird, 
🏻, 🏻, 
fun, frustrating, 
game, best, 
rate, ill, 
reason, only, 
days, last, 
SCREEN, CRACKED, 
SCREEN, CRACKED, 
game, hard, 
bird, flappy, 
game, better, 
game, horrible, 
grab, obvious, 
developer, bad, 
controls, bad, 
mountain, same, 
time, first, 
13min, average, 
mouse, better, 
levels, high, 
enjoyment, full, 
quote, many, 
game, Amazing, 
vibe, weird, 
controls, awful, 
difficulty, overall, 
game, good, 
💯, 😊, 
reviews, negative, 
device, good, 
butvit, beginning, 
distress, mental, 
game, great, 
game, nice, 
game, great, 
gameeeeeeee, bad, 
experience, astounding, 
time, entire, 
game, nice, 
game, good, 
aspects, philosophical, 
screen, past, 
game, Pretty, 
game, fun, 
controls, good, 
reviews, other, 
game, great, 
stars, easy, 
peaks, tallest, 
sentance, historical, 
lag, little, 
time, big, 
analog, loose, 
movements, precise, 
complaint, biggest, 
game, mobile, 
parts, certain, 
direction, opposite, 
game, Good, 
Way, easy, 
device, different, 
account, same, 
game, Best, 
respect, Mad, 
team, mobile, 
game, Super, 
game, tough, 
cus, mad, 
word, sed, 
rage, much, 
game, Great, 
gem, Absolute, 
challenge, Great, 
quote, patronising, 
failure, big, 
game, phenomenal, 
times, multiple, 
culture, digital, 
phone, good, 
games, bigger, 
words, degrading, 
controls, better, 
version, mobile, 
kids, hobby, 
part, first, 
bastard, Sadistic, 
game, fun, 
port, mobile, 
take, unique, 
game, mobile, 
:), epic, 
review, Early, 
CONTROLS, DIFFICULT, 
CONTROLS, GOOD, 
people, most, 
controls, horrible, 
coult, hoy, 
controls, ugly, 
game, good, 
rating, low, 
option, same, 
reviews, poor, 
game, good, 
aspects, certain, 
people, intelligent, 
type, particular, 
climbs, hard, 
shooter, 3D, 
man, blind, 
becouse, Upset, 
tree, first, 
time, good, 
game, Great, 
game, best, 
game, Dumb, 
concentration, intense, 
mind, steady, 
person, calm, 
test, Fantastic, 
problem, real, 
lines, written, 
quotes, more, 
weirdness, crazy, 
game, Worst, 
pahle, main, 
game, main, 
isliye, teen, 
game, worst, 
version, mobile, 
time, first, 
spot, same, 
fine, little, 
quotes, stupid, 
game, annoying, 
game, horrible, 
game, hard, 
problem, biggest, 
game, Good, 
alot, Great, 
moments, hard, 
😎, good, 
adjustments, minute, 
diagnol, first, 
times, many, 
experience, worst, 
game, awesome, 
way, Great, 
game, good, 
game, mechanic, 
support, vague, 
support, emotional, 
things, unimportant, 
climb, easy, 
😡, 😡, 
nope, fat, 
sickle, big, 
game, other, 
way, painful, 
way, tragic, 
challenge, good, 
way, satisfying, 
way, possible, 
commentary, Beautiful, 
hahaha, free, 
hahaha, lol, 
part, first, 
fun, extra, 
game, Hardest, 
game, amazing, 
game, fun, 
game, boring, 
game, good, 
thing, different, 
game, bad, 
bit, little, 
movement, precise, 
games, mobile, 
work, Excellent, 
suck, old, 
game, Awesome, 
failure, new, 
time, first, 
relief, great, 
game, stupid, 
game, called, 
company, stupid, 
game, worthless, 
space, digital, 
game, fun, 
👦, 😡, 
game, stressful, 
game, good, 
place, special, 
light, little, 
easyer, more, 
time, great, 
people, Many, 
thing, annoying, 
game, Best, 
phone, crazy, 
challenge, big, 
graphics, great, 
experience, overall, 
experience, great, 
meaningless, Worst, 
garbage, Pointless, 
platforms, other, 
complaints, common, 
nervouse, more, 
device, other, 
tree, huge, 
textures, amazing, 
series, unique, 
game, good, 
mess, Pro, 
mess, tip, 
journey, new, 
getting, new, 
game, Best, 
game, great, 
level, extra, 
difficulty, added, 
game, hard, 
gamer, casual, 
gamer, mobile, 
game, fun, 
game, little, 
game, stressful, 
game, Simple, 
progress, previous, 
amount, large, 
opinion, personal, 
game, great, 
settings, lowest, 
lmao, right, 
movements, minor, 
movements, massive, 
sensitivity, minimal, 
mode, joystick, 
pain, mental, 
person, new, 
game, decent, 
purpose, simple, 
game, Great, 
risk, High, 
reward, higher, 
games, certain, 
bruh, lile, 
screen, using, 
setback, huge, 
track, new, 
game, hard, 
type, best, 
game, Great, 
game, easiest, 
game, Best, 
game, good, 
game, frustrating, 
mood, whole, 
game, Good, 
journey, fun, 
end, higher, 
time, same, 
people, other, 
concept, whole, 
level, 2nd, 
interface, better, 
graphics, good, 
game, mobile, 
doses, small, 
landmarks, new, 
years, few, 
morning, good, 
taste, aquired, 
game, new, 
game, favorite, 
game, Good, 
game, Hard, 
game, great, 
phone, new, 
version, mobile, 
control, more, 
game, great, 
swipe, wrong, 
asf, Hard, 
games, intresting, 
game, stupid, 
game, stupid, 
game, Best, 
way, only, 
time, first, 
controls, such, 
controls, simple, 
situations, such, 
situations, dynamic, 
addition, great, 
game, Great, 
game, Worst, 
way, Best, 
mistakes, big, 
experience, best, 
game, Great, 
game, cool, 
thing, only, 
thing, bad, 
game, great, 
sensitivity, highest, 
input, high, 
experience, excruciating, 
game, perfect, 
games, more, 
game, extreme, 
pc, mobile, 
PLAY, CRAZY, 
kind, perfect, 
question, main, 
todne, Saman, 
controls, Bad, 
meaning, deep, 
play, first, 
game, Worst, 
job, good, 
game, Good, 
days, past, 
port, interesting, 
controls, bad, 
hammer, controlled, 
goal, main, 
game, good, 
game, Unforgiving, 
port, good, 
frustrations, inherent, 
frustrations, extra, 
frustrations, due, 
game, Worst, 
game, best, 
game, diffucal, 
fun, so, 
experience, Best, 
experience, mobile, 
anger, much, 
love, nice, 
GAME, HARD, 
reviews, bad, 
platforms, different, 
game, Great, 
game, Hard, 
controls, better, 
fun, pretty, 
version, good, 
concept, original, 
design, nice, 
game, Good, 
game, fun, 
attempts, unsuccessfull, 
construction, impossible, 
water, infinate, 
mechanics, simple, 
goal, singular, 
beratement, constant, 
charm, unique, 
stars, bad, 
game, Nice, 
section, first, 
game, nice, 
person, patient, 
degree, great, 
mistake, slightest, 
game, bad, 
pros, many, 
game, nice, 
problem, personal, 
help, hard, 
level, first, 
controls, fixed, 
move, single, 
person, angry, 
complaint, only, 
game, Interesting, 
luck, blind, 
man, mad, 
pixels, few, 
distance, great, 
games, most, 
game, frustrating, 
mother, try, 
mother, satisfying, 
mother, f'ing, 
map, new, 
type, particular, 
time, same, 
games, stupid, 
game, fun, 
game, enraging, 
game, free, 
game, quick, 
people, other, 
game, great, 
challenge, ultimate, 
game, Nice, 
fun, still, 
games, frustrating, 
port, perfect, 
progress, much, 
game, hardest, 
greatness, Solid, 
settings, low, 
game, best, 
try, first, 
game, Cool, 
systems, Terrible, 
devices, mobile, 
goot, pretty, 
time, same, 
fun, so, 
way, same, 
input, same, 
time, same, 
option, joystick, 
controls, Bad, 
part, lantern, 
chunk, big, 
chunk, slippery, 
rock, small, 
tunnel, lantern, 
tunnel, vertical, 
game, good, 
time, same, 
nuts, absolute, 
game, painful, 
game, Great, 
story, great, 
map, small, 
☆, ☆, 
hours, many, 
experience, horrible, 
lol, mobile, 
game, frustating, 
philosophy, good, 
game, horrible, 
game, awesome, 
game, full, 
game, frustrating, 
game, cool, 
good, frustrating, 
good, overall, 
fun, kinda, 
game, hard, 
players, bad, 
game, Stupid, 
game, Good, 
performance, phenomenal, 
crack, slightest, 
rating, bad, 
pass, much, 
time, best, 
😁, hard, 
game, easy, 
pc, exact, 
time, same, 
game, dumb, 
times, many, 
way, only, 
way, excellent, 
hml, lmfao, 
￼, bloody, 
pain, whole, 
stream, live, 
form, only, 
relationship, bad, 
noodlecake, half, 
concept, Absolute, 
concept, brilliant, 
iv, complete, 
thumb, own, 
game, best, 
setup, whole, 
game, good, 
bar, red, 
game, Awesome, 
noobs, salty, 
lol, raw, 
bit, Little, 
hole, small, 
game, Brilliant, 
part, second, 
master, drunken, 
thanks, special, 
game, Awesome, 
ratings, bad, 
game, hardest, 
fan, massive, 
times, many, 
graphics, lowest, 
phone, new, 
