AUX, ATTR, ADJ, NSUBJ, 
is, sequel, full, All, 
's, challenge, new, it, 
is, times, multiple, their, 
is, game, awesome, it, 
is, game, perfect, this, 
is, game, great, It, 
is, game, fun, It, 
is, game, bad, it, 
's, lesson, valuable, It, 
is, game, bad, it, 
's, game, unique, It, 
was, sailing, smooth, it, 
's, game, good, it, 
're, developer, bad, you, 
is, game, great, This, 
's, game, nice, It, 
's, game, mobile, it, 
's, game, fun, it, 
be, game, good, they, 
's, Game, hard, it, 
is, game, worst, this, 
's, sickle, big, that, 
's, challenge, good, it, 
is, game, fun, it, 
's, game, stressful, It, 
Is, thing, annoying, this, 
's, game, good, it, 
was, game, fun, It, 
was, game, little, It, 
was, game, stressful, It, 
's, game, decent, it, 
is, game, great, this, 
's, game, great, it, 
's, way, only, it, 
is, port, interesting, This, 
is, goal, main, which, 
is, game, good, It, 
's, GAME, HARD, It, 
is, problem, personal, This, 
'm, person, angry, I, 
's, game, frustrating, it, 
is, mother, try, It, 
is, mother, satisfying, It, 
is, mother, f'ing, It, 
is, game, enraging, This, 
is, game, great, this, 
was, goot, pretty, it, 
is, game, painful, This, 
's, game, horrible, It, 
is, game, easy, it, 
is, form, only, this, 
'm, fan, massive, I, 
's, game, good, it, 
'm, critic, harsh, I, 
's, game, fun, it, 
is, game, hard, This, 
is, game, great, This, 
