VERB, PREP, POBJ, 
recommend, to, anyone, 
dealing, with, failure, 
beaten, on, PC, 
Getting, Over, it, 
Getting, With, Foddy, 
used, to, mouse, 
switching, from, keyboard, 
switching, to, controller, 
bought, to, torture, 
pride, in, quiting, 
gets, to, top, 
taking, in, cauldron, 
rip, on, occupations, 
feels, like, journey, 
feel, like, what, 
stick, to, PC, 
put, on, controls, 
GET, OVER, FRIST, 
taks, to, long, 
get, into, idea, 
Keep, in, mind, 
get, past, obstacle, 
compared, to, version, 
stick, to, version, 
got, for, phone, 
started, in, this, 
played, on, PC, 
turned, into, something, 
think, for, point, 
compared, to, rocks, 
born, in, pot, 
swings, for, reason, 
climbing, to, space, 
done, with, game, 
controll, on, screen, 
play, with, cotroller, 
Gave, because, commentary, 
go, without, me, 
Burn, in, B@##$, 
calming, at, all, 
noticed, from, Markiplier, 
feel, for, them, 
listen, to, people, 
complaining, about, controls, 
put, into, piece, 
hits, with, line, 
improve, with, run, 
found, As, someone, 
make, past, section, 
make, after, hour, 
based, on, speed, 
pass, on, it, 
tells, from, start, 
got, from, it, 
go, with, it, 
get, to, top, 
get, to, orange.i, 
get, to, wonder, 
get, to, bucket, 
put, on, :), 
play, on, mobile, 
locked, to, hammer, 
got, because, controls, 
got, to, buildings, 
complain, about, games, 
Playing, On, Computer, 
Playing, On, Mobile, 
freezes, to, time, 
talking, about, cons, 
suck, for, player, 
gotten, over, barrels, 
play, with, all, 
had, with, controls, 
input, like, movement, 
infuriated, with, game, 
have, with, one, 
lead, to, choices, 
paid, for, game, 
paid, for, someone, 
play, with, stylist, 
getting, over, it, 
prove, to, yourself, 
watching, on, youtube, 
make, to, man, 
downloaded, with, bugs, 
cooperate, with, finger, 
push, to, bottom, 
have, unlike, version, 
fly, to, beginning, 
forgot, about, game, 
needed, with, technologies, 
falls, in, world, 
Played, for, minutes, 
enjoy, on, PC, 
spin, in, circles, 
sit, for, hours, 
do, on, S8, 
broken, for, mouseless, 
do, to, IM, 
got, over, it, 
got, on, pc, 
attempted, in, ways, 
spend, on, something, 
Took, over, year, 
become, with, completion, 
launching, across, room, 
get, over, game, 
see, in, Foddy, 
paid, for, this, 
work, on, mobile, 
wish, in, direction, 
raging, over, game, 
stick, to, it, 
raging, on, game, 
raging, over, skills, 
waste, on, game, 
PLAY, WITH, SCREEN, 
remove, from, store, 
take, to, pieces, 
give, on, mobile, 
porting, to, mobile, 
work, on, mobile, 
play, like, you, 
play, on, pc, 
beat, on, mobile, 
beat, on, pc, 
getting, over, it, 
support, to, creator, 
reward, with, 430rs, 
add, to, games, 
stuck, in, ground, 
wased, on, game, 
listen, to, reviews, 
recommend, to, anyone, 
recommend, without, issues, 
lag, in, butvit, 
payed, for, this, 
listin, to, others, 
love, 👌, 😁, 
work, from, nothing, 
expect, from, game, 
expect, on, mobile, 
make, like, analog, 
get, past, parts, 
launched, in, direction, 
pay, for, this, 
bought, on, device, 
Shout, to, team, 
came, to, mobile, 
trying, for, year, 
boil, after, failure, 
used, to, words, 
rigged, on, mobile, 
loosing, on, part, 
Getting, over, it, 
pissed, over, it, 
playing, for, week, 
playing, at, time, 
get, over, it, 
optimized, on, mobile, 
beat, on, PC, 
try, on, mobile, 
talking, about, what, 
go, into, game, 
complain, about, aspects, 
falling, as, part, 
made, for, type, 
get, past, tree, 
recommend, to, enemies, 
get, because, this, 
swing, with, bucket, 
slept, on, ice, 
