AUX, ATTR, ADJ, NSUBJ, 
is, game, favorite, this, 
is, game, best, This, 
's, game, fun, It, 
's, game, great, it, 
is, game, offline, this, 
is, game, first, this, 
's, game, big, It, 
am, one, only, i, 
is, bug, terrible, this, 
's, game, refreshing, It, 
's, game, intresting, It, 
's, reason, only, That, 
is, build, key, this, 
is, game, best, this, 
is, game, full, it, 
is, device, multi, it, 
is, device, tasking, it, 
is, port, great, this, 
is, game, great, This, 
am, human, excited, I, 
's, game, great, it, 
's, game, great, It, 
are, battle, last, you, 
's, game, fun, It, 
is, favorite, absolute, this, 
is, time, first, This, 
's, game, great, it, 
's, game, first, It, 
's, game, purchased, It, 
'm, fan, big, I, 
am, fan, massive, I, 
are, features, awesome, These, 
is, plant, usual, that, 
's, game, fun, It, 
's, game, good, it, 
is, game, great, This, 
's, port, perfect, It, 
's, game, ported, it, 
is, game, nice, It, 
is, game, great, Its, 
's, game, great, it, 
's, games, good, It, 
's, games, ported, It, 
's, slice, relaxing, It, 
be, game, mobile, this, 
is, copy, 4th, This, 
's, offline, playable, It, 
is, port, great, This, 
is, way, preferred, This, 
is, time, first, this, 
's, game, decent, it, 
's, game, crafting, it, 
