VERB, PREP, POBJ, 
deleted, off, phone, 
deleted, in, case, 
go, to, bed, 
waste, on, this, 
waiting, for, sale, 
went, on, sale, 
sunk, in, hours, 
do, in, game, 
spent, for, games, 
compete, with, anyone, 
hope, in, future, 
grinding, on, game, 
take, of, farming, 
befriend, with, Cons, 
crashing, in, phone, 
living, in, city, 
living, like, me, 
redo, to, ingame, 
connect, to, account, 
sold, in, pack, 
understand, for, outfits, 
put, into, them, 
given, on, things, 
wait, for, ️, 
contacted, on, page, 
takes, from, storage, 
controls, on, Pixel, 
optimized, for, phone, 
work, on, Android, 
Works, on, Android, 
seems, like, game, 
work, with, controller, 
support, in, future, 
interact, with, Arlo, 
reinstall, with, data, 
waiting, for, support, 
posted, to, phone, 
included, in, version, 
looking, at, controller, 
looking, at, screen, 
paid, on, games, 
play, with, friends, 
play, in, places, 
add, in, update, 
play, despite, crashes, 
playing, with, controls, 
cramping, after, minutes, 
bought, for, lite, 
commented, about, voice, 
gone, after, month, 
Bought, on, steam, 
Bought, on, moblie, 
missing, for, moblie, 
play, on, mobile, 
added, from, this, 
added, to, consel, 
support, as, whole, 
have, Without, gimmicks, 
rely, on, experience, 
Sims, like, these, 
waiting, for, Time, 
work, for, game, 
consuming, for, weeks, 
hunted, down, people, 
turn, to, them, 
talking, to, them, 
get, to, person, 
talk, to, mayor, 
play, with, pace, 
focusing, In, default, 
focus, on, things, 
keeping, after, mark, 
become, After, while, 
started, without, expectatiom, 
spent, on, game, 
breaking, with, one, 
attached, to, game, 
go, to, ruins, 
stuck, at, screen, 
get, for, hours, 
do, with, money, 
keeps, to, standards, 
obsessed, with, storyline, 
turn, for, minutes, 
ran, across, farm, 
ran, for, ducks, 
play, on, tablet, 
getting, on, phone, 
do, on, ride, 
selling, at, shops, 
cook, with, it, 
lags, on, tablet, 
try, in, future, 
start, at, water, 
run, on, Android, 
adapted, for, controls, 
plays, on, mobile, 
plays, in, opinion, 
played, on, One, 
looked, like, bugs, 
resolved, on, mobile, 
finished, in, days, 
added, On, update, 
wait, for, support, 
released, on, android, 
play, on, Note, 
compared, to, controller, 
bought, at, steam, 
