AUX, ATTR, ADJ, NSUBJ, 
's, laggy, little, It, 
is, game, cool, this, 
is, game, amazing, This, 
's, game, good, it, 
's, way, nice, It, 
'm, level, same, I, 
's, game, great, it, 
was, game, fun, it, 
is, game, great, this, 
is, time, first, This, 
's, game, good, it, 
is, game, good, This, 
is, dollar, best, This, 
's, game, great, It, 
is, game, good, this, 
is, game, worth, this, 
is, game, best, This, 
is, game, best, This, 
's, experience, better, it, 
is, fun, much, this, 
's, screen, black, it, 
's, game, good, it, 
's, game, nice, it, 
's, experience, beautiful, It, 
's, game, good, it, 
is, kick, right, which, 
ca, game, good, we, 
's, screen, black, it, 
's, game, nice, It, 
's, game, pretty, it, 
am, fan, big, I, 
is, game, good, this, 
been, player, big, I, 
's, notch, top, it, 
's, glitchy, super, it, 
's, game, great, It, 
's, game, great, It, 
's, game, fun, It, 
's, game, good, It, 
been, screen, black, it, 
is, idea, fantastic, which, 
was, screen, black, all, 
's, game, great, it, 
's, label, unbeatable, it, 
's, label, white, it, 
's, label, worse, it, 
's, game, good, it, 
is, game, great, this, 
's, games, best, it, 
's, language, tonal, it, 
is, game, great, this, 
was, amout, small, it, 
's, love, great, It, 
's, gaem, best, It, 
's, game, good, It, 
is, UwU, amazing, it, 
is, tap, perfect, This, 
is, purchase, 3rd, This, 
's, game, good, It, 
's, songs, several, it, 
's, game, good, it, 
's, game, lovely, It, 
's, game, easy, It, 
is, game, fun, this, 
is, app, Chinese, It, 
's, case, extreme, that, 
's, reason, only, that, 
is, lmao, unpopular, that, 
is, dollar, best, this, 
was, time, first, This, 
is, imo, great, This, 
is, game, best, this, 
's, style, unique, it, 
is, game, fine, This, 
Is, Game, Good, This, 
is, game, fun, This, 
is, screen, black, All, 
's, game, overall, It, 
's, game, amazing, it, 
's, game, amazing, It, 
are, note, useful, they, 
is, option, atleast, It, 
is, game, bad, This, 
