VERB, PREP, POBJ, 
add, FOR, GAME, 
have, behind, paywall, 
Changed, to, stars, 
login, with, account, 
login, for, days, 
play, for, mobile, 
interact, with, characters, 
buy, on, sale, 
Uninstalled, due, problems, 
changed, in, game, 
spinning, For, real, 
combined, with, art, 
buy, until, gameplay, 
returning, to, menu, 
stuck, at, screen, 
Planned, from, version, 
play, on, go, 
put, on, level, 
logged, into, account, 
takes, on, phone, 
crashes, on, note, 
crashes, for, lot, 
look, In, meantime, 
look, on, twitter, 
paid, for, Planned, 
start, from, beginning, 
m, in, love, 
asked, for, refund, 
paid, for, that, 
download, for, game, 
look, at, anime, 
sync, with, steam, 
sync, at, moment, 
leave, in, screen, 
Lost, with, songs, 
Lost, on, it, 
login, into, it, 
play, on, account, 
play, from, beginning, 
Played, on, PC, 
get, on, go, 
have, With, headphone, 
log, with, acc, 
logged, to, account, 
replaced, with, save, 
override, with, file, 
start, from, level, 
play, on, mobile, 
occur, on, devices, 
working, on, tablet, 
sync, between, devices, 
waiting, for, crossover, 
playing, for, time, 
took, to, it, 
login, to, account, 
allowed, for, reason, 
spent, on, game, 
login, with, account, 
used, to, it, 
select, from, lvl, 
m, on, lvl, 
Planned, for, week, 
go, to, app, 
go, on, Google, 
have, in, platforms, 
love, on, three, 
sends, to, store, 
check, for, updates, 
add, in, F3, 
recommend, to, everyone, 
changed, to, earrape, 
login, with, ಠωಠ, 
rate, because, issue, 
sync, through, FB, 
played, with, thumbs, 
kill, in, commutes, 
having, with, app, 
log, in, updates, 
log, to, account, 
Removed, over, level, 
play, with, %, 
Bought, on, steam, 
getting, at, it, 
stuck, on, screen, 
works, for, me, 
dash, after, this, 
dash, with, Miku, 
used, to, sync, 
Played, for, touhou, 
play, on, mobile, 
run, into, problems, 
sync, between, PC, 
bought, on, mobile, 
bought, like, me, 
pay, for, it, 
pay, on, PC, 
work, for, me, 
experience, in, games, 
setting, to, lmao, 
took, to, FC, 
took, in, lv, 
supports, than, 70fps, 
login, via, account, 
broke, in, update, 
hit, before, note, 
goes, into, it, 
goes, without, animation, 
happen, with, notes, 
had, with, ones, 
FIXED, FOR, TABLET, 
disappears, from, inventory, 
battle, with, players, 
recommended, to, friends, 
having, in, update, 
hit, after, that, 
recommended, for, those, 
m, to, unlock, 
read, in, others, 
had, for, year, 
had, on, LGk1, 
upgraded, to, Samsung, 
got, from, friend, 
check, in, game, 
bought, on, PC, 
buy, on, mobile, 
have, in, game, 
have, on, Steam, 
seems, like, kind, 
set, in, account, 
stays, on, screen, 
playing, with, 🤤, 
cause, on, devices, 
play, from, ones, 
turning, at, Settings, 
do, about, it, 
freezes, at, start, 
Played, on, pc, 
Played, for, time, 
looking, to, adaptation, 
load, for, reason, 
buy, for, reason, 
play, with, fingers, 
show, on, mobile, 
keep, on, beat, 
keep, with, enemies, 
log, into, game, 
Have, on, mobile, 
buying, of, packs, 
chilling, at, work, 
waiting, for, stuff, 
recommend, to, those, 
challenging, on, difficulties, 
bought, at, steam, 
register, from, time, 
switch, to, version, 
fails, with, synchronisation, 
log, to, account, 
streaming, for, crime, 
play, with, normaly, 
play, on, phone, 
play, on, phone, 
going, on, lol, 
fun, after, years, 
planned, on, platforms, 
buy, in, version, 
pay, for, thing, 
recommend, without, that, 
pander, to, p*dos, 
obtained, in, version, 
pull, despite, versions, 
own, on, version, 
choose, from, difficulty, 
seems, on, phone, 
profit, from, game, 
downloaded, for, phigros, 
makes, for, reason, 
said, to, Google, 
Played, on, songs, 
beat, on, each, 
get, into, games, 
Loving, on, steam, 
loving, on, omggg, 
hit, in, middle, 
hit, with, lock, 
display, on, duo, 
missing, on, sides, 
buy, from, Steam, 
buy, for, PC, 
run, on, device, 
log, in, account, 
put, like, bcus, 
put, of, rock, 
think, From, characters, 
hoping, for, something, 
purchases, in, pc, 
purchases, in, 😭, 
hope, in, future, 
did, to, me, 
bought, on, steam, 
buy, on, switch, 
comes, to, games, 
had, for, days, 
pay, for, game, 
shows, on, phone, 
have, for, reference, 
paid, for, game, 
play, in, pc, 
dropped, to, lvl, 
dropped, to, whyyyyyy, 
changed, to, another, 
works, for, time, 
run, in, time, 
stuck, at, screen, 
link, to, play, 
playing, for, idk, 
try, to, games, 
