AUX, ATTR, ADJ, NSUBJ, 
's, complaint, old, It, 
's, game, good, it, 
's, game, ok, it, 
's, strategy, nice, It, 
's, magic, pure, It, 
is, game, underrated, This, 
be, game, perfect, it, 
's, playing, disorienting, It, 
is, game, favorite, This, 
is, game, good, This, 
is, day, sad, it, 
is, moment, dull, which, 
is, game, fantastic, this, 
's, game, great, It, 
's, value, great, It, 
's, problem, only, that, 
's, game, amazing, It, 
IS, ISSUE, REPEATING, THIS, 
's, game, good, It, 
is, game, good, It, 
are, side, right, They, 
be, time, fourth, This, 
's, cute, extra, it, 
is, model, recent, which, 
's, game, good, it, 
's, system, alright, it, 
