VERB, PREP, POBJ, 
build, for, fun, 
appealing, to, me, 
appealing, with, effects, 
see, in, menu, 
running, at, 20fps, 
running, in, note, 
played, By, one, 
get, with, plenty, 
runs, like, charm, 
trying, out, game, 
zoomed, after, update, 
come, during, day, 
follow, into, battle, 
stood, in, front, 
fell, across, land, 
play, in, times, 
detects, for, coop, 
feel, like, support, 
tie, on, game, 
introduced, in, update, 
goes, to, tree, 
Add, in, option, 
Add, for, trees, 
go, to, tab, 
explain, to, you, 
get, from, upgrades, 
adjust, in, menu, 
ran, into, bug, 
move, on, map, 
love, for, pc, 
change, for, reason, 
change, on, phone, 
play, for, time, 
add, for, multiplayer, 
playing, on, phone, 
appear, as, dots, 
appear, as, arrows, 
increase, since, update, 
stuck, in, mode, 
see, on, phone, 
purchased, except, one, 
Runs, on, rog, 
Have, across, platforms, 
play, in, coop, 
REALLY, like, game, 
Love, to, game, 
have, At, point, 
found, on, store, 
Own, in, switch, 
works, in, game, 
intrigued, to, reviews, 
play, on, it, 
stucked, on, king, 
stucked, in, horse, 
stucked, in, middle, 
resulting, in, loss, 
bought, for, phone, 
meant, In, game, 
discover, without, game, 
spend, in, place, 
lowered, to, 3, 
lowered, for, issues, 
changed, into, end, 
charging, for, updates, 
pay, for, game, 
drains, like, business, 
do, around, trees, 
do, for, cutting, 
mark, for, cutting, 
feels, on, mobile, 
hurt, from, tinyness, 
compare, to, campign, 
have, on, phone, 
fit, in, phone, 
change, from, 1x, 
change, to, 2x, 
purchased, on, 👌, 
pirate, from, website, 
playing, for, while, 
thank, for, developer, 
wait, for, DLC, 
paid, in, game, 
paid, on, Android, 
facing, in, directions, 
communicating, to, player, 
lead, into, territory, 
occupied, with, example, 
walk, beyond, docks, 
revised, from, 2, 
play, on, phone, 
like, about, game, 
play, in, screen, 
plays, on, size, 
go, to, island, 
Hoping, for, update, 
continue, on, Steam, 
had, with, it, 
halving, in, landscape, 
play, on, ends, 
makes, on, mobile, 
own, on, PC, 
use, with, game, 
gets, in, way, 
gets, into, graphics, 
work, on, zoom, 
works, for, reason, 
happens, on, islands, 
pay, like, money, 
go, to, experience, 
Love, on, console, 
reach, without, answer, 
put, in, surface, 
Fall, onto, ground, 
made, for, what, 
playing, on, switch, 
playing, for, years, 
paying, for, upgrades, 
tap, above, characters, 
light, because, this, 
playing, on, lite, 
helps, with, fix, 
working, on, phone, 
get, on, mobile, 
sink, into, gem, 
Works, on, S10, 
work, for, coins, 
throwing, on, ground, 
is, on, Samsung, 
compared, to, lands, 
Works, on, S10, 
downloaded, on, steam, 
get, to, screen, 
play, on, system, 
work, on, achievements, 
found, about, this, 
spend, on, this, 
left, as, choice, 
is, For, example, 
goes, to, fans, 
comes, to, terms, 
lags, on, device, 
works, for, Xbox, 
works, for, Controls, 
exploring, on, top, 
played, on, phone, 
put, in, something, 
starts, Like, lag, 
starts, after, while, 
find, to, day, 
put, in, campfire, 
has, On, positive, 
works, in, it, 
assigned, to, buildings, 
run, to, right, 
running, for, equipment, 
running, during, attack, 
wandering, around, loop, 
have, with, forest, 
have, on, island, 
go, for, equipment, 
wandering, toward, wall, 
waiting, for, equipment, 
spend, on, games, 
move, from, island, 
played, on, xbox, 
dealing, with, lot, 
love, beyond, words, 
added, to, game, 
name, for, information, 
Thank, for, experience, 
played, on, xbox, 
play, with, controller, 
hate, on, game, 
sticking, with, Land, 
becomes, on, winter, 
waiting, to, end, 
get, from, package, 
stay, with, game, 
play, with, friends, 
connecting, In, setup, 
connecting, to, screen, 
put, at, direction, 
placing, over, table, 
go, to, player, 
play, with, controller, 
install, on, tablet, 
prove, for, case, 
did, on, PC, 
thank, for, game, 
having, in, it, 
got, in, form, 
turns, from, time, 
turns, over, time, 
running, on, android, 
help, with, problem, 
run, With, tag, 
run, on, phone, 
waiting, for, one, 
waiting, for, year, 
playing, for, hours, 
keeps, For, price, 
occupied, for, months, 
love, about, game, 
think, with, time, 
downloaded, for, me, 
play, with, some, 
realized, before, purchasing, 
play, with, bf, 
Kept, for, weeks, 
played, in, years, 
tried, In, beginning, 
drop, on, ground, 
sucks, for, hours, 
sucks, at, time, 
seems, in, regard, 
look, at, this, 
recommend, to, fan, 
expected, from, franchise, 
become, to, laggy, 
tell, for, game, 
change, to, 2, 
own, on, switch, 
qualifies, as, game, 
convey, to, player, 
's, On, top, 
play, without, lag, 
gets, on, phone, 
playing, with, friends, 
play, for, time, 
shown, from, go, 
like, For, example, 
walk, past, amount, 
waiting, for, this, 
playing, in, phone, 
play, into, game, 
put, into, game, 
play, without, screen, 
play, on, device, 
played, in, time, 
play, with, someone, 
play, on, screen, 
started, with, issues, 
put, in, builds, 
tap, on, circles, 
try, with, fingers, 
work, for, me, 
have, For, example, 
remain, in, mode, 
playing, as, characters, 
playing, by, myself, 
hold, in, way, 
keep, to, mode, 
thank, for, release, 
lagging, on, phone, 
looks, with, style, 
get, on, Pro, 
go, In, game, 
go, about, it, 
go, in, way, 
improving, from, last, 
comes, with, versions, 
packed, in, one, 
zoomed, in, camera, 
see, until, right, 
going, through, kingdom, 
going, with, line, 
putting, on, screen, 
putting, from, settings, 
connect, to, Play, 
fixing, in, future, 
Tested, on, Phone, 
invest, in, buildings, 
looks, like, Crowns, 
defending, against, monsters, 
play, with, people, 
play, on, touchscreen, 
play, with, someone, 
sitting, opposite, you, 
sitting, at, table, 
sitting, on, device, 
came, for, Android, 
нельзя, с, другом, 
waiting, for, this, 
having, from, get, 
