AUX, ATTR, ADJ, NSUBJ, 
'm, lol, thrilled, I, 
is, time, first, this, 
's, game, great, It, 
's, game, wonderful, it, 
is, game, good, This, 
was, 4, solid, It, 
was, feel, lmfao, that, 
was, game, great, It, 
were, help, much, they, 
be, ending, bad, It, 
is, game, favourite, This, 
're, levels, own, you, 
're, song, own, you, 
's, game, favorite, it, 
's, mechanic, annoying, It, 
's, game, best, it, 
is, game, first, This, 
was, player, avid, I, 
is, game, best, this, 
is, game, best, This, 
is, game, best, This, 
is, story, loving, it, 
is, game, paid, it, 
is, game, phenomenal, it, 
's, screen, black, it, 
's, game, fun, it, 
is, screen, black, all, 
's, app, great, it, 
's, time, 3rd, It, 
's, game, great, It, 
's, storage, efficient, It, 
's, game, amazing, it, 
am, one, only, i, 
was, game, good, It, 
is, Joe, favorite, He, 
is, characters, main, he, 
is, DD, bad, This, 
's, song, more, it, 
is, story, incredible, This, 
's, game, great, it, 
is, game, great, This, 
's, game, good, It, 
's, game, great, It, 
be, love, amazing, that, 
is, fun, much, This, 
's, game, wonderful, it, 
's, game, great, it, 
's, game, great, it, 
is, game, best, this, 
's, one, best, it, 
was, game, absolute, This, 
was, game, favorite, This, 
was, game, mobile, This, 
's, move, bad, It, 
was, play, straight, all, 
is, experience, Unique, This, 
's, game, amazing, It, 
's, game, cool, it, 
's, game, paced, it, 
's, release, early, it, 
is, time, second, This, 
is, game, good, This, 
is, games, favorite, This, 
's, game, good, it, 
is, game, best, This, 
is, game, bad, this, 
's, game, good, It, 
is, game, favourite, this, 
was, game, favourite, This, 
're, songs, fantastic, they, 
's, game, great, It, 
's, game, great, It, 
's, game, great, it, 
's, optimization, bad, it, 
's, state, current, it, 
was, one, sad, This, 
'm, one, only, I, 
was, untill, amazing, it, 
was, update, last, it, 
's, something, magical, It, 
's, game, Great, It, 
's, content, extra, it, 
is, take, own, This, 
is, game, favorite, This, 
is, game, heavy, it, 
's, game, nice, It, 
's, game, good, it, 
's, screen, black, it, 
is, game, great, it, 
's, game, fun, It, 
is, game, favorite, This, 
is, game, only, this, 
