AUX, ATTR, ADJ, NSUBJ, 
is, game, good, It, It is a very good game
's, problem, only, That, The game is what you expect to buy a family surviving the apocalypse and playing the game on your phone. What I didn't expect when I brought the game is everytime when you start your game and gather supplies it would lag pretty bad. That's only problem I had and the pretty good at that point. I still don't know if it my phone or the games problem and would like to solve it.
's, game, good, It, It's a really good game I know it was made a really long time ago but I just bought like 3 weeks ago and it's like I can't stop playing it I just played it 5 hours straight.
is, fun, great, It, It is a great game fun and adventure and puzzle BUY THE GAME
was, dollars, good, That, It's ok, cool and good time killer but sometimes it can be so boring. Not only that but my brother deleted the game, I've been trying to download it ever since. It's letting me review it but either I want to be allowed to play it or at least refund me. That was a good 4 dollars.
's, part, best, That, Very fun got to think about how to survive man a lot of hard thinking sometimes to make sure you out live your other play throughs. Never know how it's going to end! That's the best part about the game very addicting in good ways! Keep the great work up!
's, game, good, It, It's a very good game! I really enjoyed it. There is a lot of endings that you can get!
was, work, fun, it, I did all the challenges and it was really fun good work
was, work, good, it, I did all the challenges and it was really fun good work
's, game, good, It, It's a really good game but you really need to use your brain or else you'll fail
is, game, favorite, nothing, LOVE IT nothing is wrong with it its my favorite game ever! Get it get it now!!!!
is, game, great, This, This is a great game! I would 100% recommend it, Lots of ways to play the Game with challenges, survival Scavenging and full on apocalypse! The Easy, normal and hard modes are also pretty balanced! Cons: Sometimes movement in the house can be glitchy makeing it slightly hard to get stuff, Costs money (but I personally think its worth it) I could go on about this game but ill leave you with this,
's, fun, good, It, It's pretty good fun
is, game, easy, it, Pretty cool game. A lot of endings. Although, it takes brain. You really must think through your choices, it's not just random. The game is unpredictable most of the time but that's what makes it fun, wondering would could happen next! You really gotta think about who you're gonna send out and think about endings! Honestly, it is not an easy game. It's actually quite hard. I think my only complaint really is the entertainment I get out of it. It does get boring , sometimes I fail after I get really far and then try again and again. After so many tries, the game can get *so* boring, a lot of reading has to be done too. I'm fully aware that this game Is *not* new, yet , I don't think it's changed much.
's, app, amazing, it, Hey it's an amazing app! But I want to refund it cus I uninstalled it but I can't refund. Its not showing the button to . So help :]
is, game, fun, It, It is a fun game to pass the time
was, way, easier, their, Its good but i wish their was an easier way to get mutant mary jane
's, game, great, It, It's a great game on PC but on mobile the beginning 60 seconds of a game needs such precise movement sometimes that it's very difficult to get a good run on mobile, wouldn't recommend on mobile but on PC 100% fine and 5 outta 5 game
's, game, funny, It, It's a funny game I just wish you had a little more time
's, game, good, It, It's a good game but just not the game for me 🙂 I still rate it 4 stars
