VERB, PREP, POBJ, 
suffers, from, flaw, 
died, from, controls, 
was, to, it, 
spawn, in, house, 
level, from, spots, 
level, to, four, 
do, with, bugs, 
playing, on, phone, 
used, to, them, 
highlighted, in, white, 
become, after, while, 
turn, on, Chromebook, 
play, on, pc, 
gets, at, times, 
play, on, rides, 
saw, from, YouTubers, 
won, like, champ, 
smiling, at, end, 
recommended, to, anyone, 
addicting, in, ways, 
break, on, collision, 
agree, with, others, 
tasked, with, scavenging, 
end, with, anything, 
play, with, modes, 
died, to, cats, 
get, through, game, 
allow, for, time, 
grab, at, start, 
getting, in, bunker, 
reintroduced, as, REATOMIZED", 
reintroduced, as, ......, 
updated, in, year, 
pay, for, game, 
play, for, trip, 
take, on, phone, 
pay, for, game, 
reccomend, to, everyone, 
running, on, computer, 
get, on, mobile, 
walking, on, ice, 
do, with, joystick, 
has, by, end, 
Stayed, on, screen, 
left, in, dust, 
miss, on, anything, 
beat, on, try, 
did, on, boy, 
get, into, bunker, 
scavenging, like, version, 
play, as, kids, 
make, at, game, 
happens, to, characters, 
play, with, challenges, 
go, about, game, 
leave, with, this, 
fell, in, love, 
fell, with, it, 
installed, for, her, 
download, on, laptop, 
payed, for, it, 
think, through, choices, 
think, about, endings, 
get, After, tries, 
lived, without, anything, 
live, for, days, 
buy, because, apocalypse, 
play, on, page, 
controls, for, scavenging, 
stuck, on, things, 
stuck, around, scavenging, 
bump, into, them, 
play, on, mode, 
make, past, days, 
dying, from, something, 
download, for, devices, 
read, in, guess, 
leave, at, that, 
hit, in, front, 
stick, to, it, 
trying, in, game, 
entertaing, at, school, 
use, for, part, 
have, for, beginning, 
get, after, while, 
played, in, heart, 
update, in, update, 
send, outside, you, 
look, at, bottom, 
Fun, for, hours, 
recommend, on, mobile, 
control, on, phone, 
download, for, desktop, 
play, on, cell, 
act, in, drill, 
contacted, for, refund, 
located, throughout, house, 
used, on, side, 
having, on, device, 
using, on, cromebook, 
PRONOUNCE, ON, OMGGGGGGGGGGGGGGGG, 
navigate, with, way, 
