NOUN, ADJ, 
fun, much, So much fun. You can beat levels and you can download the soundtracks you Can Also BUILD LIKE Minecraft it is so fun trust me.
game, Best, Best game. Best community. Bestttt
community, Best, Best game. Best community. Bestttt
game, fun, Really fun game. There are a few bugs that cause rage but apart from that, really good game.
game, good, Really fun game. There are a few bugs that cause rage but apart from that, really good game.
message, first, To be honest I grew up with it to and this was from the first message that is on the top same and yes it's kinda hard but fun :)
aswell, good, FnF is better but this is good aswell
level, first, All I can say is.. bad. I love geometry dash, but when I got it on this phone, I opened it and one of the permissions as make and manage phone calls? I don't think that is needed. And, once I tried to play, it wouldn't register my taps, and I KNOW I tapped the screen correctly. Is this because I turned off one permission? What? I'm so confused. I could only get to about 56% of the first level before I stopped to think about this. Robtop, please, do atleast SOMETHING about this! Please!
game, Awesome, Awesome game
experience, fun, Really fun gaming experience, offers a simple way of just tapping your screen/mouse to get through levels that range from the difficulty of Stereo Madness to user levels like Firework and Slaughterhouse. Would recommend for sure if you want a fun relax, the music is really good. If you want to stay motivated to beat harder levels, make jumps but not to big jumps, like Sakupen hell to Kenos (I'm looking at you SpeedyMuffin). There are many great content creators on YouTube and Twitch. Have fun!
way, simple, Really fun gaming experience, offers a simple way of just tapping your screen/mouse to get through levels that range from the difficulty of Stereo Madness to user levels like Firework and Slaughterhouse. Would recommend for sure if you want a fun relax, the music is really good. If you want to stay motivated to beat harder levels, make jumps but not to big jumps, like Sakupen hell to Kenos (I'm looking at you SpeedyMuffin). There are many great content creators on YouTube and Twitch. Have fun!
levels, harder, Really fun gaming experience, offers a simple way of just tapping your screen/mouse to get through levels that range from the difficulty of Stereo Madness to user levels like Firework and Slaughterhouse. Would recommend for sure if you want a fun relax, the music is really good. If you want to stay motivated to beat harder levels, make jumps but not to big jumps, like Sakupen hell to Kenos (I'm looking at you SpeedyMuffin). There are many great content creators on YouTube and Twitch. Have fun!
jumps, big, Really fun gaming experience, offers a simple way of just tapping your screen/mouse to get through levels that range from the difficulty of Stereo Madness to user levels like Firework and Slaughterhouse. Would recommend for sure if you want a fun relax, the music is really good. If you want to stay motivated to beat harder levels, make jumps but not to big jumps, like Sakupen hell to Kenos (I'm looking at you SpeedyMuffin). There are many great content creators on YouTube and Twitch. Have fun!
creators, many, Really fun gaming experience, offers a simple way of just tapping your screen/mouse to get through levels that range from the difficulty of Stereo Madness to user levels like Firework and Slaughterhouse. Would recommend for sure if you want a fun relax, the music is really good. If you want to stay motivated to beat harder levels, make jumps but not to big jumps, like Sakupen hell to Kenos (I'm looking at you SpeedyMuffin). There are many great content creators on YouTube and Twitch. Have fun!
creators, great, Really fun gaming experience, offers a simple way of just tapping your screen/mouse to get through levels that range from the difficulty of Stereo Madness to user levels like Firework and Slaughterhouse. Would recommend for sure if you want a fun relax, the music is really good. If you want to stay motivated to beat harder levels, make jumps but not to big jumps, like Sakupen hell to Kenos (I'm looking at you SpeedyMuffin). There are many great content creators on YouTube and Twitch. Have fun!
game, awesome, Its an awesome game I love it so much I like the levels and how you can make your own levels but you can't add the spike on the hook like in most of the levels so I wanted to make sure that you knew so you could maybe fix it please and thank you 😊 And also I will beat all the levels so yeah bye thank you for making this app robtop gaming
levels, own, Its an awesome game I love it so much I like the levels and how you can make your own levels but you can't add the spike on the hook like in most of the levels so I wanted to make sure that you knew so you could maybe fix it please and thank you 😊 And also I will beat all the levels so yeah bye thank you for making this app robtop gaming
game, cool, Very cool game for reaction practice.
game, Cool, Cool game
data, previous, The game is great but for me it's a bug that doesn't save previous data that I played today but please fix the bug.
kid, little, I loved this game when I was a little kid BUT I realized that you have to start ALL OVER so 5 star to 4 star
game, Good, Good game I really enjoy it
