AUX, ATTR, ADJ, NSUBJ, 
is, trust, fun, it, 
is, aswell, good, this, 
is, one, only, which, 
was, kid, little, I, 
is, game, great, This, 
's, game, good, It, 
's, game, great, it, 
's, tech, high, it, 
is, game, hard, it, 
's, display, full, It, 
is, infuriating, kinda, who, 
is, game, good, It, 
's, game, good, It, 
is, game, great, This, 
is, game, best, This, 
is, game, amazing, This, 
's, ang, good, It, 
is, version, mobile, it, 
is, joy, pure, it, 
is, game, favorite, It, 
is, game, best, this, 
is, game, mobile, this, 
's, game, amazing, It, 
is, game, sick, This, 
was, help, much, it, 
is, game, favorite, This, 
's, game, fun, it, 
's, fun, much, it, 
is, game, hard, it, 
Is, bug, known, this, 
's, game, best, it, 
's, game, good, it, 
is, game, good, this, 
's, level, ugly, it, 
is, game, good, It, 
is, game, good, this, 
's, game, good, It, 
is, rhythm, fun, This, 
is, game, best, this, 
's, game, good, it, 
'm, play, mobile, I, 
is, game, fun, This, 
is, game, good, This, 
's, game, great, it, 
is, game, best, this, 
is, game, worth, this, 
are, level, insane, that, 
is, game, good, This, 
is, game, dashing, This, 
's, graphics, fabulous, it, 
's, game, best, it, 
is, game, favorite, This, 
is, game, mobile, This, 
is, game, favourite, This, 
is, butt, fun, It, 
's, fun, much, It, 
is, game, big, it, 
's, test, great, it, 
is, offline, fun, It, 
is, game, good, This, 
's, screen, full, it, 
's, part, good, it, 
is, game, mental, it, 
is, game, best, this, 
is, game, mobile, this, 
is, game, best, This, 
's, game, fun, it, 
's, star, terrible, it, 
is, game, best, it, 
's, game, fantastic, It, 
's, one, good, it, 
'm, deviants, Lovely, I, 
'm, deviants, official, I, 
's, game, fun, it, 
'm, player, famous, I, 
's, game, only, it, 
is, game, fantastic, It, 
is, game, good, This, 
is, game, good, This, 
