VERB, PREP, POBJ, 
grew, with, it, 
got, on, phone, 
get, to, %, 
think, about, this, 
wait, for, 2.2, 
rid, of, one, 
get, through, levels, 
range, from, difficulty, 
make, like, hell, 
make, to, Kenos, 
looking, at, you, 
add, on, hook, 
add, in, most, 
start, to, star, 
transfer, from, pc, 
transfer, to, mobile, 
wait, for, 2.2, 
playing, for, years, 
occupied, for, time, 
say, for, it, 
say, for, it, 
played, for, years, 
waiting, for, 2.2, 
waiting, for, years, 
updated, in, while, 
put, on, it, 
plays, on, phone, 
like, As, person, 
work, with, type, 
Turned, into, femboy, 
add, to, Library, 
CAUSE, TO, JUMP, 
show, in, play, 
got, after, days, 
ask, for, much, 
using, from, settings, 
played, for, years, 
playing, for, time, 
went, to, levels, 
reduced, to, tears, 
payed, for, game, 
had, on, them, 
bought, with, orbs, 
get, for, example, 
say, With, Beaten, 
dying, in, way, 
love, for, myself, 
get, at, one, 
playing, for, week, 
destroyed, in, site, 
click, in, player, 
waiting, for, 2.2, 
make, on, own, 
coming, in, october, 
grew, with, it, 
using, from, creator, 
put, in, ID, 
put, for, song, 
see, to, review, 
play, on, mobile, 
went, to, computer, 
went, to, support, 
working, for, days, 
happen, to, account, 
playing, for, alot, 
agree, on, that, 
grow, around, platform, 
get, to, game, 
had, for, years, 
grown, with, it, 
Try, For, use, 
waiting, on, 2.2, 
waiting, like, everyone, 
use, on, Steam, 
wait, for, update, 
loved, from, day, 
have, on, day, 
deadlocked, on, mobile, 
says, for, reason, 
wait, to, 2.2, 
Bringing, with, ratings, 
play, with, friends, 
challenge, with, levels, 
meet, along, way, 
had, with, game, 
playing, for, years, 
played, like, year, 
miss, with, game, 
played, from, start, 
see, on, version, 
pauses, for, bit, 
wait, till, 2.2, 
make, on, account, 
lost, of, skins, 
suck, at, it, 
commented, on, game, 
SUCK, 'cause, 1, 
requests, for, refund, 
regret, with, app, 
deleted, from, devices, 
downloaded, on, device, 
built, for, version, 
blend, into, background, 
paid, for, game, 
playing, for, years, 
becomes, with, practice, 
had, with, it, 
rated, in, hopes, 
had, since, release, 
play, For, reason, 
played, for, years, 
get, from, missions, 
type, into, bar, 
comes, with, nothing, 
improved, with, practice, 
recommend, to, anyone, 
fix, In, dollar, 
click, on, level, 
hurls, at, obstacle, 
does, on, attempt, 
reset, unlike, people, 
do, with, me, 
works, with, android, 
coming, with, idea, 
helps, with, memory, 
installed, on, device, 
take, to, 2.2, 
play, on, mobile, 
sucks, as, flaws, 
work, on, Clubstep, 
playing, for, years, 
signed, into, account, 
signed, on, device, 
get, at, Idols, 
get, like, music, 
playing, with, apps, 
get, at, alot, 
browse, through, levels, 
playing, for, years, 
keep, with, gameplay, 
play, on, phone, 
installing, on, phone, 
want, for, time, 
want, with, one, 
saw, in, inbox, 
sent, to, noob, 
work, for, us, 
do, with, it, 
make, in, business, 
work, for, us, 
work, at, moment, 
👍, for, us, 
wait, for, 2.2, 
get, for, future, 
have, on, game, 
waiting, for, 2.2, 
sign, into, account, 
put, in, more, 
put, on, phone, 
Spent, on, game, 
beging, for, game, 
put, into, game, 
have, on, pixel, 
create, to, consent, 
logged, into, account, 
made, on, store, 
recommend, to, anybody, 
challenging, with, levels, 
played, on, tablet, 
signed, on, tablets, 
wait, for, 2.2, 
Robtop, with, games, 
pretending, on, YouTube, 
say, to, you, 
get, at, times, 
go, from, 1, 
waiting, for, 2.2, 
playing, for, days, 
log, to, account, 
play, on, account, 
responding, to, emails, 
played, for, years, 
got, into, account, 
Went, to, star, 
Went, to, star, 
sign, into, Play, 
trying, for, year, 
work, for, fact, 
playing, for, years, 
beat, after, month, 
pick, with, music, 
helps, with, levels, 
know, in, life, 
get, into, levels, 
added, to, it, 
download, for, reason, 
download, on, book, 
GOT, IN, DAY, 
played, for, years, 
used, in, levels, 
logging, into, account, 
looking, for, game, 
has, from, perspective, 
create, with, colors, 
get, from, me, 
wait, For, update, 
love, for, years, 
played, in, while, 
played, in, time, 
playing, for, years, 
come, on, robtop, 
spent, on, level, 
spent, for, glitch, 
taken, for, glitch, 
think, because, glitch, 
wait, for, 2.2, 
go, to, coming, 
unlock, on, door, 
unlock, on, tolls, 
do, in, game, 
play, on, mobile, 
plying, on, platform, 
play, as, kid, 
played, for, years, 
say, without, doubt, 
download, to, 2.2, 
got, to, most, 
seen, in, life, 
install, on, computer, 
love, on, mobile, 
build, in, 1.9, 
help, on, this, 
playing, for, years, 
using, with, lots, 
comes, with, it, 
change, with, gaps, 
sign, for, tha, 
playing, since, 2015, 
do, at, time, 
play, for, hours, 
realease, on, android, 
allowed, for, use, 
hop, onto, game, 
get, past, upside, 
playing, for, straight, 
save, for, more, 
wanted, from, shop, 
going, through, episode, 
put, in, levels, 
stuck, on, screen, 
love, for, dollars, 
have, with, levels, 
received, since, 2017, 
go, on, phone, 
go, on, attempt, 
go, at, speed, 
wait, till, 2.2, 
pumped, for, ekkkkkkkk, 
attack, in, bed, 
allowed, for, use, 
playing, on, mobile, 
add, like, portals, 
transforming, into, thing, 
get, on, mobile, 
playing, for, year, 
go, to, levles, 
rely, on, google, 
got, on, force, 
becomes, after, that, 
work, on, pixel, 
put, to, game, 
started, to, beginning, 
died, at, %, 
Getting, at, it, 
say, except, games, 
optimized, for, OS, 
play, in, time, 
played, since, 2017, 
look, at, creators, 
wait, for, 2.2, 
wait, for, mobile, 
apply, to, me, 
happens, on, mobile, 
lost, on, levels, 
lost, as, result, 
save, on, account, 
give, for, way, 
throw, across, room, 
save, to, cloud, 
upload, to, public, 
gave, for, 2.2, 
love, by, way, 
talked, in, this, 
