AUX, ATTR, ADJ, NSUBJ, 
's, sailing, smooth, it, Had some issues starting a new game but it's been resolved. Going to start play soon and see if it's smooth sailing from here.
is, state, current, this, One Step Forward, Three Steps Back The new features are good, however the overall experience has been a hot mess. Performance issues where none used to exist with prior FMMs, a bold, if not harsh, UI color scheme, and my frustrations that the app still can't fill to screen highlight my overall dissatisfactions at this point with the app. As someone who sinks both dollars and hours into this game yearly, it just feels frustrating that this is the current "final state".
is, state, final, this, One Step Forward, Three Steps Back The new features are good, however the overall experience has been a hot mess. Performance issues where none used to exist with prior FMMs, a bold, if not harsh, UI color scheme, and my frustrations that the app still can't fill to screen highlight my overall dissatisfactions at this point with the app. As someone who sinks both dollars and hours into this game yearly, it just feels frustrating that this is the current "final state".
's, idea, good, it, First it have me options of an in game editor or rich chairman. It wouldn't connect to purchase them. Thought it's probably a good idea not to get involved with that so onto the next page. Couldn't even get the first name and last name. I would click the box, I get the prompt to your my name which I did. Then it still asked me for first name. Also with the second. Cannot get any further now so I've refunded it.
is, issue, known, this, I'm giving this game 1 star atm because I have literally just purchased the game & started my career to find that I have £0 money to spend on transfers for a Premier league team. I don't know if this is a known issue or its supposed to be that way but half of the fun of the game is to buy players & I can't.
's, same, exact, it, love the game but it's the exact same as last year
are, colour, similiar, they, Not impressed with the game play, wen 2-0 up at h/t most times u end up drawing 2-2 or losing 3-2 and nearly every game conceding in 90th min, I'm impressed with the work done on transfers, something needs to be done about the greens on player positions as they are too similiar colour, the colours need to be more defined like last year's version
is, version, first, this, I love football manager games and I buy the latest one every year. I always have a Samsung phone and it works really well. My son has a Motorola phone and this is the first version he has ever tried to play and it does not work. The layout is weird, you cannot see a lot of the screen and therefore can't access certain parts of the game! Can this be fixed? He is a footy mad 11 year old who wants to play the game I love so much! Thanks 👍
is, old, mad, He, I love football manager games and I buy the latest one every year. I always have a Samsung phone and it works really well. My son has a Motorola phone and this is the first version he has ever tried to play and it does not work. The layout is weird, you cannot see a lot of the screen and therefore can't access certain parts of the game! Can this be fixed? He is a footy mad 11 year old who wants to play the game I love so much! Thanks 👍
's, way, best, it, Please Sega can you add more countries trainable especially in Europe like " Moldova , Kazakhstan Iceland , Romania etc.. " and Asian countries " Syria , Saudi Arabia , Iran , Australia , Japan " The experience is very incomplete alot of people would like to train their countries or start with small countries . I will rise my feedback to 5 if any update come out for this. Thanks " Update " i have refund the game it's the best way to show the company that you don't like the way they are behaving
was, version, best, It, Basic......dont like it. I can't believe the is no FM22 Touch version. It was by far the best version for Tablets. Will it make a comeback?
's, 😤, frustrating, that, we still have issues of players that don't get approached even when they've been transfer listen for the whole season....that's very frustrating 😤
