VERB, PREP, POBJ, 
finished, at, utd, 
keeps, In, game, 
crashing, at, time, 
play, in, screen, 
try, in, detail, 
loved, as, killer, 
improved, After, hours, 
working, On, hand, 
getting, on, sell, 
seems, For, me, 
miss, on, buzz, 
play, on, device, 
comparing, to, 21, 
load, due, message, 
fill, in, clubs, 
started, to, crash, 
started, at, time, 
valued, at, million, 
put, for, 25, 
come, for, players, 
been, for, while, 
go, on, search, 
appear, in, searchbar, 
ask, for, refund, 
crashing, during, matches, 
have, with, photos, 
pick, without, photo, 
Going, from, screen, 
Going, to, screen, 
jump, to, time, 
working, until, yesterday, 
add, as, feel, 
have, due, job, 
do, at, time, 
look, into, this, 
freeze, at, time, 
finish, to, time, 
proceed, to, match, 
freeze, at, match, 
goes, to, time, 
goes, after, time, 
start, from, save, 
get, for, players, 
paid, for, game, 
worked, for, matches, 
shuts, through, match, 
get, past, it, 
Seems, after, season, 
replying, to, me, 
missing, from, game, 
look, at, text, 
jumps, to, time, 
proceed, to, page, 
like, from, game, 
load, from, country, 
return, to, game, 
running, in, background, 
run, towards, area, 
keeps, on, freezing, 
went, into, settings, 
sacked, within, season, 
load, on, s5e, 
load, with, updwte, 
crashing, at, time, 
crashing, in, match, 
valued, at, m, 
valued, at, m, 
go, above, m., 
wait, to, 2023, 
make, as, youngster, 
using, on, lite, 
Playing, on, pixel, 
get, past, game, 
enter, at, phase, 
go, into, games, 
tell, during, half, 
sign, from, teams, 
shows, after, game, 
stats, for, reason, 
remove, in, list, 
taking, to, processing, 
exist, with, FMMs, 
fill, to, screen, 
sinks, into, game, 
feels, As, someone, 
demanding, between, 700k, 
demanding, per, week, 
come, with, application_support, 
go, about, this, 
showing, on, versions, 
create, in, drive, 
loading, into, fm, 
crashes, during, save, 
resulted, in, goal, 
show, with, club, 
stuck, on, Dec, 
stuck, in, game, 
go, beyond, date, 
crashes, Despite, update, 
lost, to, break, 
freezes, through, match, 
losing, throughout, save, 
encountering, on, S10, 
played, through, season, 
play, at, time, 
Spent, for, nothing, 
starting, for, time, 
compering, with, FM21, 
shown, on, list, 
play, in, silence, 
goes, to, time, 
continue, after, that, 
start, in, editor, 
reset, to, 0, 
addicted, to, game, 
related, to, battery, 
find, with, ability, 
changed, into, ability, 
involved, with, that, 
involved, onto, page, 
get, to, name, 
asked, for, name, 
played, in, 2012, 
click, on, it, 
show, as, role, 
ask, for, refund, 
ask, for, refund, 
miss, on, players, 
adjust, from, transfer, 
need, for, example, 
need, like, fmm21, 
play, for, touch, 
touch, on, switch, 
