NOUN, ADJ, 
localization, Chinese, 
dialog, quirky, 
school, middle, 
tone, serious, 
mode, fast, 
time, real, 
experience, interesting, 
time, real, 
game, 2nd, 
story, nice, 
story, little, 
flashbacks, pleasant, 
Adventure, Own, 
books, old, 
purposes, learning, 
vocabulary, new, 
line, Super, 
idea, Great, 
game, Best, 
comments, good, 
experience, good, 
stories, immersive, 
game, Absolute, 
game, amazing, 
equivalent, metric, 
classic, underrated, 
game, Amazing, 
purchases, past, 
game, fun, 
character, new, 
😄, other, 
concept, awesome, 
story, enjoyable, 
phone, new, 
moon, alone, 
game, own, 
character, main, 
story, amazing, 
stories, amazing, 
app, favorite, 
money, fantastic, 
concept, interesting, 
character, likeable, 
games, top, 
games, mobile, 
games, worth, 
criticism, onyl, 
experience, limited, 
adventure, Great, 
adventure, based, 
sounds, awesome, 
sounds, atmospheric, 
way, amazing, 
qualities, unique, 
fish, big, 
things, amazing, 
school, high, 
storyline, Original, 
music, moody, 
dialogue, snappy, 
mishaps, many, 
decisions, different, 
mode, fast, 
art, great, 
endings, Multiple, 
character, main, 
people, depressed, 
story, fascinating, 
delays, intended, 
game, fresh, 
hope, real, 
game, additional, 
game, new, 
trailer, live, 
dollar, Best, 
minutes, few, 
days, beginning, 
day, last, 
presents, beautiful, 
sighs, few, 
times, multiple, 
music, relaxing, 
game, Great, 
players, blind, 
friend, blind, 
time, great, 
criticism, Only, 
end, very, 
people, other, 
players, blind, 
speakers, multiple, 
experiences, best, 
experiences, mobile, 
time, real, 
character, fictional, 
experience, thrilling, 
story, Great, 
screen, ending, 
options, more, 
info, more, 
concept, cool, 
iteration, particular, 
times, many, 
work, previous, 
games, favorite, 
concept, Great, 
writing, terrific, 
game, best, 
time, long, 
gender, non, 
time, first, 
games, new, 
version, android, 
game, great, 
period, long, 
writing, good, 
experience, different, 
storyline, beautiful, 
decisions, difficult, 
time, faux, 
time, real, 
job, Great, 
game, amazing, 
story, extraordinary, 
series, whole, 
game, interesting, 
thing, whole, 
while, long, 
story, Great, 
gameplay, fun, 
game, Fantastic, 
game, Great, 
game, based, 
complaint, only, 
times, wait, 
game, Great, 
dreams, weird, 
time, first, 
game, based, 
adventure, own, 
sooo, awsome, 
telling, good, 
games, driven, 
one, awesome, 
story, good, 
game, second, 
story, great, 
game, Best, 
epic, great, 
plot, good, 
choices, fun, 
whiny, little, 
character, whole, 
mode, fast, 
mode, fast, 
system, delayed, 
experience, intended, 
kid, imaginary, 
interface, only, 
interface, intermittent, 
game, Best, 
thriller, little, 
story, good, 
stuff, Amazing, 
story, short, 
way, half, 
course, own, 
time, Real, 
game, Great, 
support, more, 
Adventure, Own, 
character, written, 
character, main, 
effect, significant, 
choices, most, 
periods, extended, 
effort, much, 
game, Fantastic, 
experience, great, 
simple, Fantastic, 
adventure, own, 
story, Fantastic, 
story, interactive, 
way, great, 
one, next, 
experience, Amazing, 
plots, enticing, 
lifelines, other, 
experience, short, 
sessions, short, 
choices, clear, 
choices, poor, 
story, simple, 
purchases, past, 
games, Many, 
games, more, 
story, Fantastic, 
fun, much, 
time, first, 
person, real, 
time, real, 
level, whole, 
level, new, 
app, unique, 
experience, crazy, 
end, other, 
lifeline, new, 
line, interesting, 
time, real, 
days, first, 
decisions, many, 
attempt, second, 
game, based, 
ways, many, 
installment, next, 
person, real, 
complaint, only, 
game, short, 
game, Amazing, 
game, Excellent, 
one, next, 
game, last, 
try, first, 
coach, good, 
job, good, 
times, many, 
story, Great, 
story, great, 
schedule, busy, 
burst, short, 
time, much, 
titles, most, 
experience, stunning, 
advice, bad, 
idea, Great, 
story, great, 
fun, Pretty, 
fun, good, 
time, free, 
design, Bad, 
endings, multiple, 
price, half, 
trial, free, 
