AUX, ATTR, ADJ, NSUBJ, 
is, story, nice, This, 
is, story, little, This, 
is, game, fun, It, 
is, concept, interesting, this, 
is, way, amazing, This, 
is, one, awesome, this, 
's, story, short, it, 
's, experience, great, It, 
is, story, simple, This, 
is, level, whole, this, 
is, level, new, this, 
's, game, short, it, 
'm, coach, good, I, 
's, game, excellent, It, 
's, game, amazing, It, 
's, idea, interesting, It, 
was, take, welcome, it, 
was, take, new, it, 
are, stories, good, they, 
be, story, solid, this, 
was, game, EXCELLENT, This, 
is, game, best, it, 
is, game, based, it, 
was, game, good, This, 
was, game, great, it, 
was, game, interesting, it, 
was, ending, great, it, 
's, fun, cheap, it, 
is, midget, boorish, He, 
is, midget, mental, He, 
was, fun, real, it, 
is, type, normal, this, 
is, story, fantastic, This, 
is, game, great, This, 
's, game, great, It, 
's, game, little, It, 
was, game, good, This, 
is, game, simple, This, 
's, version, digital, It, 
's, part, best, that, 
's, way, cool, It, 
is, reminder, great, it, 
is, story, interactive, It, 
's, premise--, cool, It, 
was, game, interesting, It, 
is, experience, interactive, This, 
is, experience, personal, This, 
is, game, good, This, 
was, playthrough, enjoyable, It, 
's, game, great, It, 
is, game, excellent, This, 
being, experience, best, it, 
was, game, heartwrenching, This, 
was, experience, counterintuitive, It, 
is, game, based, This, 
is, game, awesome, This, 
am, people, disappointed, I, 
is, game, awesome, This, 
's, game, great, it, 
is, game, great, It, 
is, game, telltale, It, 
is, time, first, This, 
is, game, good, This, 
is, interruption, constant, this, 
been, sucker, absolute, I, 
's, story, wonderful, It, 
is, game, great, This, 
is, game, great, This, 
is, game, best, It, 
was, experience, immersive, It, 
's, game, fast, It, 
's, adventure, own, it, 
was, game, cool, This, 
was, cheesy, pretty, some, 
is, adventure, fantastic, It, 
is, game, amazing, This, 
is, story, multiple, This, 
is, story, structured, This, 
's, start, slow, it, 
is, story, amazing, This, 
's, game, amazing, It, 
's, game, amazing, It, 
was, story, best, This, 
are, chance, only, you, 
's, game, timed, it, 
is, buy, definite, this, 
was, person, real, it, 
is, game, best, This, 
is, concept, great, This, 
is, distraction, great, it, 
is, distraction, minor, it, 
'm, comma, cheap, I, 
is, game, great, This, 
's, game, unrealistic, it, 
's, gaps, long, it, 
am, while, short, I, 
is, way, fantastic, This, 
is, game, fantastic, This, 
is, game, unique, This, 
's, game, great, it, 
's, game, gripping, It, 
was, job, great, I, 
was, experience, wonderful, It, 
be, time, first, This, 
'm, reader, avid, I, 
's, text, only, it, 
is, game, excellent, this, 
is, game, emotional, this, 
was, fun, much, That, 
is, game, usual, this, 
'm, man, sexy, I, 
is, download, best, it, 
