VERB, PREP, POBJ, 
lasts, for, hours, 
post, without, that, 
post, for, all, 
talk, like, this, 
talk, in, situation, 
write, in, school, 
work, on, smartwatches, 
play, from, watch, 
waiting, in, time, 
progresses, in, time, 
go, to, sleep, 
communicating, with, someone, 
gave, to, books, 
playing, in, German, 
feel, like, person, 
feels, like, collection, 
standing, in, line, 
wait, past, point, 
waiting, with, suspense, 
reply, with, signal, 
talking, to, system, 
glued, to, game, 
show, in, library, 
show, for, purchases, 
go, to, mode, 
Reduced, from, 1, 
install, on, phone, 
paid, for, game, 
die, on, moon, 
die, with, attitude, 
worrying, about, character, 
recommend, to, friends, 
playing, for, day, 
read, about, it, 
read, on, article, 
check, on, him, 
limited, to, game, 
providing, with, opportunity, 
Interacting, with, subject, 
reccomend, to, anyone, 
got, to, games, 
pause, between, gameplay, 
heightens, within, game, 
Died, as, result, 
get, to, end, 
get, without, mishaps, 
try, on, mode, 
becomes, after, while, 
spend, with, them, 
playing, with, delays, 
do, for, guys, 
spend, on, entertainment, 
looking, for, game, 
draw, for, minutes, 
draw, in, days, 
draw, to, hours, 
draw, on, day, 
force, into, suit, 
helps, with, immersion, 
played, with, friend, 
explain, to, friend, 
grow, on, you, 
cared, about, character, 
recommend, to, everyone, 
spent, on, this, 
scroll, to, bottom, 
scroll, to, bottom, 
had, on, edge, 
invested, in, this, 
played, in, time, 
played, for, time, 
trapped, in, planet, 
trapped, in, story, 
play, on, wear, 
play, os, device, 
appears, in, watch, 
stays, for, period, 
written, as, story, 
made, at, turn, 
love, about, it, 
thought, in, fact, 
Played, after, while, 
Love, within, game, 
prevent, in, hour, 
Felt, like, interactive, 
looking, to, rest, 
play, through, story, 
bought, in, 2016, 
was, on, Play, 
feels, like, film, 
think, in, end, 
adds, to, character, 
fail, at, mission, 
play, at, will, 
invested, in, kid, 
invested, with, interface, 
matter, through, game, 
Choose, at, best, 
playing, through, it, 
buy, for, story, 
developed, with, quality, 
delivered, in, way, 
cried, on, Day, 
Saving, for, one, 
had, on, edge, 
play, in, sessions, 
given, at, times, 
given, at, choices, 
finished, after, years, 
talking, to, person, 
feels, like, experience, 
crawls, for, days, 
goes, on, decisions, 
gave, before, attempt, 
going, to, spire, 
beat, in, days, 
playing, till, game, 
made, to, end, 
asking, for, refund, 
gets, at, time, 
play, for, burst, 
play, in, control, 
playing, unlike, titles, 
feels, at, price, 
feels, like, version, 
get, to, eventuality, 
care, for, person, 
see, in, game, 
cared, about, Taylor, 
Starts, without, mode, 
escape, from, landing, 
escape, on, moon, 
Got, on, recommendation, 
reaponded, to, Taylor, 
did, for, games, 
played, in, while, 
looking, to, more, 
happened, to, him, 
goes, on, device, 
goes, past, bottom, 
detracts, from, allot, 
connected, to, character, 
addicting, with, games, 
attached, to, protagonist, 
work, with, watch, 
select, through, it, 
made, through, play, 
notify, through, OS, 
take, with, Taylor, 
sucked, into, story, 
attached, to, this, 
stare, at, phone, 
goes, for, days, 
Interacting, with, Taylor, 
happen, to, him, 
persevering, through, jokes, 
play, with, ratio, 
think, for, himself, 
tried, on, personality, 
stuck, to, style, 
got, to, ship, 
got, at, end, 
make, with, consequences, 
Love, for, game, 
looking, in, fun, 
keeps, on, edge, 
going, on, lol, 
do, in, case, 
depending, on, choice, 
added, to, suspense, 
see, at, crossroad, 
spend, at, redbox, 
entertain, for, hours, 
entertained, for, days, 
coming, to, conclusion, 
get, through, step, 
invested, in, success, 
wait, for, messages, 
become, after, play, 
Bear, in, mind, 
Love, on, 2nd, 
based, on, choices, 
played, at, time, 
feel, on, fact, 
drove, to, death, 
required, for, playthrough, 
make, for, Taylor, 
looking, for, icon, 
returned, for, interaction, 
receive, from, him, 
left, in, limbo, 
start, in, case, 
refuses, after, day, 
uninstalled, After, days, 
narrating, in, time, 
reaching, for, food, 
reaching, with, contraption, 
get, past, gymnastics, 
typing, at, time, 
struggles, with, decisions, 
whining, about, whittle, 
get, into, game, 
found, During, playthrough, 
communicating, with, me, 
crossed, during, events, 
are, For, example, 
goes, on, tangents, 
goes, on, jokes, 
tells, for, minute, 
feel, for, character, 
cared, about, Taylor, 
got, to, safety, 
read, as, she, 
put, on, character, 
feel, like, choices, 
got, into, it, 
cared, about, Taylor, 
hear, from, Taylor, 
looking, for, adventure, 
introduced, to, game, 
had, with, Tyler, 
guessing, about, safety, 
felt, for, character, 
saved, on, first, 
had, for, while, 
work, on, gear, 
Thank, for, this, 
invested, in, story, 
recomend, to, everyone, 
contextualized, through, text, 
lacks, in, choice, 
makes, in, character, 
Gets, after, while, 
make, to, craft, 
begin, before, voyage, 
talking, to, person, 
feel, for, him, 
care, about, character, 
got, on, which, 
discussing, in, which, 
remembered, about, adventure, 
recommend, to, anyone, 
related, to, decisions, 
played, for, game, 
think, about, move, 
invested, in, characters, 
talking, to, character, 
saw, as, a, 
care, for, Taylor, 
felt, in, scene, 
getting, to, it, 
talking, to, him, 
got, to, safety, 
connected, to, Taylor, 
looking, at, phone, 
comes, to, games, 
captured, like, this, 
talking, to, someone, 
talking, to, chap, 
marooned, in, middle, 
hope, for, games, 
get, For, 1, 
Waiting, for, necromorph, 
care, about, character, 
work, on, OS, 
go, through, story, 
got, to, ship, 
made, in, while, 
think, about, consequences, 
detracts, from, game, 
reminds, of, choose, 
read, as, kid, 
play, during, lecture, 
ran, on, phone, 
leads, to, it, 
went, At, point, 
went, for, attempts, 
play, at, pace, 
dying, for, more, 
dying, with, style, 
looking, to, adventure, 
played, on, phone, 
lead, to, endings, 
drawn, in, much, 
hooked, from, start, 
Saved, on, run, 
get, into, games, 
continue, with, story, 
work, on, watch, 
had, on, edge, 
waiting, for, replies, 
saved, on, attempt, 
Haha, at, part, 
runs, down, corridor, 
beat, to, ship, 
stared, at, phone, 
sent, to, death, 
have, on, edge, 
wait, between, action, 
crashed, on, planet, 
choose, via, conversations, 
takes, in, time, 
hear, from, them, 
tell, in, threads, 
wait, for, reply, 
say, Because, this, 
lasts, for, 2, 
relied, on, story, 
worked, on, Wear, 
attached, to, Taylor, 
wanted, to, game, 
wanted, for, sooo, 
hate, of, games, 
play, through, p.s, 
felt, for, him, 
cried, with, relief, 
DID, ON, PLAYTHROUGH, 
add, to, notifications, 
recommend, to, me, 
puts, in, hands, 
goes, on, Taylor, 
cause, to, point, 
purchasing, from, author, 
play, for, thing, 
get, into, story, 
loved, as, kid, 
say, As, fan, 
Had, on, edge, 
Had, at, edge, 
having, with, notifications, 
pop, on, phone, 
play, on, mode, 
played, for, days, 
attached, to, Taylor, 
care, for, protagonist, 
care, in, games, 
thought, for, Lifeline, 
thought, over, options, 
remember, to, day, 
used, for, this, 
sent, through, messages, 
sent, without, me, 
recommend, In, all, 
played, in, time, 
going, in, days, 
make, after, infinity, 
cared, about, character, 
stuck, to, it, 
stuck, in, 10secs, 
cut, at, bottom, 
downloaded, on, whim, 
checking, for, notification, 
played, through, times, 
install, on, Wear, 
communicating, with, astronaught, 
get, at, time, 
go, on, app, 
got, to, peak, 
died, of, attack, 
Fall, in, love, 
played, in, time, 
cared, about, fate, 
beginning, to, end, 
talking, about, what, 
love, at, times, 
feel, for, character, 
doing, on, Varia, 
seems, like, way, 
sit, in, front, 
wait, for, answers, 
engaging, for, text, 
played, in, periods, 
return, to, it, 
Reminds, of, days, 
used, throughout, play, 
typed, on, review, 
deleted, in, summary, 
played, in, time, 
drive, through, story, 
coursing, with, energy, 
made, on, try, 
taking, on, experience, 
immersed, in, story, 
get, into, it, 
respond, in, ways, 
getting, of, games, 
cut, in, messages, 
annoying, with, notifications, 
Waiting, for, responses, 
brings, in, you, 
brought, as, player, 
attached, to, Taylor, 
recommend, to, anyone, 
Looking, to, adventure, 
died, from, inconveniences, 
read, on, messages, 
rescue, on, try, 
goes, at, pace, 
feels, like, books, 
play, for, fans, 
get, until, end, 
formed, of, opinion, 
formed, by, time, 
disagree, with, choice, 
adds, to, character, 
happen, during, pauses, 
happen, in, story, 
played, through, this, 
keeping, with, story, 
consists, of, stories, 
