AUX, ATTR, ADJ, NSUBJ, 
was, game, good, this, 
's, game, great, it, 
's, game, great, It, 
is, game, terrific, This, 
's, game, fun, It, 
's, game, good, It, 
is, way, best, this, 
's, nothing, major, it, 
's, game, best, it, 
is, port, faithful, this, 
be, game, great, it, 
been, port, perfect, what, 
been, port, android, what, 
is, experience, true, it, 
's, game, favorite, it, 
's, game, good, it, 
is, game, absolute, This, 
is, game, favorite, This, 
's, experience, full, It, 
is, port, exact, this, 
is, game, best, this, 
's, game, overall, it, 
's, game, fun, it, 
's, game, favorite, It, 
is, port, good, This, 
's, X, best, It, 
is, games, best, This, 
's, criticism, only, that, 
's, criticism, real, that, 
's, title, large, it, 
's, port, complete, It, 
was, person, first, it, 
been, game, splendid, it, 
is, port, best, this, 
's, game, exact, it, 
's, game, same, it, 
's, game, tedious, it, 
's, price, small, that, 
is, port, good, this, 
's, game, solid, it, 
's, way, good, it, 
's, killer, great, it, 
's, game, decent, it, 
is, game, big, it, 
is, game, full, This, 
is, microtransactions, extra, This, 
is, part, key, he, 
is, port, loaded, this, 
is, game, fantastic, it, 
is, game, hard, It, 
's, port, functional, It, 
is, time, first, this, 
is, crashes, sometime, it, 
is, port, shoddy, this, 
is, game, amazing, this, 
is, game, great, It, 
is, fun, much, This, 
's, port, good, It, 
is, game, great, this, 
's, introduction, good, it, 
is, game, decent, This, 
was, time, first, It, 
was, game, free, it, 
be, deal, big, it, 
be, issues, reoccurring, this, 
is, interpretation, good, this, 
is, interpretation, modern, this, 
's, game, ported, It, 
was, alil, easier, it, 
was, game, based, it, 
is, game, great, This, 
was, map, different, it, 
's, one, specific, that, 
is, port, good, this, 
's, game, real, it, 
's, screen, black, It, 
'm, money, wasted, I, 
is, game, best, This, 
is, game, tactical, This, 
was, game, perfect, It, 
's, port, great, It, 
's, game, real, it, 
's, Port, old, It, 
's, version, dumbed, It, 
's, xcom, good, it, 
's, xcom, ol', it, 
is, game, awesome, It, 
be, loss, huge, it, 
is, version, best, this, 
's, port, great, it, 
is, game, epic, This, 
's, mechanic, hood, it, 
is, mods, new, this, 
's, port, full, It, 
's, game, great, it, 
is, example, prime, This, 
'm, fan, big, I, 
'm, fan, com, I, 
being, game, tactical, this, 
was, game, first, This, 
