AUX, ATTR, ADJ, NSUBJ, 
's, trial, mindless, it, 
was, experience, charming, It, 
's, game, okay, It, 
's, thing, bad, that, 
's, gameplay, pure, It, 
is, software(as, free, it, 
is, game, favorite, This, 
is, game, mobile, This, 
is, game, best, This, 
be, game, logic, This, 
's, time, confusing, It, 
's, hours, few, It, 
are, value, great, this, 
's, experience, good, It, 
was, game, pretentious, this, 
's, truth, brutal, that, 
's, game, relaxing, It, 
's, game, fun, It, 
's, game, fun, you, 
's, game, fun, it, 
is, game, great, it, 
is, game, gorgeous, This, 
is, game, beautiful, This, 
is, time, 5the, it, 
's, game, logical, It, 
's, game, great, It, 
's, game, amazing, It, 
is, game, fun, This, 
's, game, beautiful, it, 
is, game, cute, This, 
is, game, little, This, 
was, game, best, That, 
's, game, fun, It, 
's, game, creative, it, 
's, fun, much, it, 
been, challenge, huge, it, 
is, game, AMAIZING, this, 
is, game, geometric, this, 
is, game, stunning, This, 
is, game, cool, This, 
is, game, immersive, It, 
is, franchise, great, This, 
is, sooo, peacful, it, 
is, game, favorite, this, 
is, game, mobile, this, 
is, definition, real, this, 
is, game, favourite, this, 
is, game, great, This, 
is, way, grate, This, 
is, beauty, ultimate, It, 
is, way, short, it, 
's, experience, wonderful, It, 
's, game, beautiful, it, 
's, game, free, it, 
's, game, amazing, It, 
is, one, only, this, 
's, game, good, It, 
is, game, beautiful, This, 
is, game, beautiful, This, 
's, reliever, fun, it, 
IS, GAME, AMAZING, THIS, 
is, game, best, this, 
is, game, mobile, this, 
is, game, phenomenal, this, 
's, experience, amazing, It, 
's, game, made, It, 
is, game, amazing, This, 
is, game, beautiful, This, 
is, game, based, This, 
's, game, cool, It, 
's, game, stunning, It, 
is, time, second, This, 
is, 1.50, extra, which, 
is, game, best, it, 
is, game, great, It, 
is, game, favorite, it, 
's, game, good, It, 
was, game, beautiful, It, 
be, game, second, It, 
is, game, bad, It, 
's, experience, neat, It, 
is, game, amazing, This, 
's, game, premium, it, 
is, game, great, This, 
is, game, sweet, This, 
is, game, little, This, 
is, game, favourite, This, 
is, game, mobile, This, 
