VERB, PREP, POBJ, 
watch, at, end, 
rotate, in, tutorial, 
works, in, Valley, 
described, as, work, 
Working, through, level, 
look, at, things, 
look, from, perspective, 
play, in, toilet, 
beat, in, hrs, 
spent, on, games, 
put, into, game, 
blew, through, them, 
made, per, suggestion, 
Hoping, for, 3rd, 
pay, for, levels, 
pay, for, more, 
agree, with, reviews, 
included, in, level, 
looking, for, game, 
work, on, CalyxOS, 
finish, in, day, 
imitated, to, death, 
completed, in, days, 
coming, with, levels, 
played, for, time, 
stands, as, favorite, 
played, on, store, 
stayed, with, my, 
stayed, for, years, 
see, with, eyes, 
see, in, order, 
had, at, price, 
had, at, o, 
use, for, games, 
blowing, at, time, 
s, on, list, 
challenging, at, times, 
Respect, for, masterpiece, 
wait, until, Monument, 
play, with, internet, 
paid, for, thing, 
know, about, update, 
Thank, for, update, 
left, of, forests, 
go, into, software, 
borders, on, bizarre, 
borders, for, some, 
spend, for, it, 
unwind, from, day, 
Finished, in, hour, 
went, through, levels, 
Finished, in, sitting, 
holds, As, game, 
forget, about, stress, 
▶, over, PLAY, 
played, with, headphones, 
play, after, months, 
play, after, stroke, 
helping, with, problem, 
buy, for, that, 
rotating, in, minds, 
engaging, for, stars, 
pay, for, games, 
invested, in, story, 
think, in, all, 
look, To, Moon, 
put, into, game, 
pay, for, game•, 
filled, with, conundrums, 
feel, after, while, 
sound, after, levels, 
loading, at, page, 
connenting, to, server, 
check, for, errors, 
take, for, anything, 
PLAYED, IN, LIFE, 
Reminds, of, beginning, 
Reminds, with, oragami, 
moves, like, magic, 
create, for, fairy, 
play, after, class, 
mentioned, in, interview, 
mentioned, as, inspiration, 
care, about, story, 
frustrated, in, way, 
buy, by, developer, 
play, for, time, 
tinkering, with, object, 
playing, with, awareness, 
playing, in, way, 
play, on, inch, 
play, in, Chromebook, 
play, through, Games, 
looks, on, screen, 
find, in, menu, 
Reminds, of, Fez, 
taking, in, artwork, 
get, to, point, 
played, on, mobile, 
resolved, in, hours, 
working, in, phone, 
passed, on, one, 
registered, with, play, 
begin, from, beginning, 
get, to, goal, 
add, to, scam, 
played, through, times, 
hoping, for, Monument, 
finished, in, minutes, 
made, into, game, 
combined, with, complexity, 
rid, of, one, 
give, on, part, 
challenging, in, game, 
develop, like, this, 
was, in, chapter, 
go, through, that, 
think, outside, box, 
delivered, in, way, 
bending, at, times, 
DISSAPOINTED, Like, others, 
thought, For, game, 
finish, in, hour, 
breezed, through, puzzles, 
PAY, TO, WAY, 
challenging, at, parts, 
look, at, perspectives, 
come, on, developers, 
add, to, library, 
look, at, walk, 
wait, for, one, 
grew, with, father, 
stare, at, those, 
paying, for, game, 
pay, for, chapters, 
beat, between, dinner, 
say, on, price, 
makes, for, it, 
fascinates, in, sleep, 
play, for, nights, 
play, for, longer, 
playing, for, long, 
Finished, in, days, 
Finished, with, minutes, 
need, on, play, 
pay, for, game, 
spending, on, play, 
feel, In, fact, 
beat, in, hour, 
listen, to, it, 
listen, for, hours, 
Thank, for, fun, 
opening, to, up, 
attached, to, box, 
go, through, them, 
Storytelling, before, Souls, 
progressing, through, kind, 
done, after, that, 
done, for, day, 
had, in, mind, 
took, With, levels, 
complete, in, life, 
pay, for, amount, 
play, to, finish, 
played, for, Makin, 
played, through, game, 
think, in, ways, 
think, in, order, 
puts, to, rest, 
go, through, it, 
fall, in, love, 
play, with, me, 
has, to, it, 
built, upon, architecture, 
's, On, top, 
finish, in, hours, 
challenging, for, me, 
pay, for, game, 
completed, under, 2h, 
had, with, games, 
beat, in, days, 
make, with, dlcs, 
based, on, illusion, 
relaxing, for, people, 
play, without, that, 
play, during, flight, 
tried, in, mode, 
failed, due, lack, 
impressed, with, mechanics, 
beat, in, hours, 
Look, to, more, 
played, on, time, 
got, into, game, 
led, into, corridors, 
think, in, which, 
playing, on, tablet, 
Played, on, Pass, 
fell, in, love, 
pay, for, game, 
finish, in, sitting, 
make, for, it, 
find, at, time, 
playing, from, journey, 
learn, from, it, 
detailed, with, puzzles, 
put, into, game, 
moved, to, MV2, 
moved, after, extras, 
add, on, levels, 
do, with, levels, 
beat, in, day, 
completed, in, time, 
completed, in, day, 
searching, for, other, 
had, for, anyone, 
played, on, platform, 
played, in, time, 
went, to, orange, 
went, to, one, 
went, with, kid, 
went, in, door, 
bought, in, series, 
wait, for, one, 
pushed, to, game, 
think, outside, box, 
completed, within, couple, 
purchase, for, price, 
adds, to, enjoyment, 
play, for, hours, 
sort, for, video, 
have, On, top, 
Thank, for, game, 
playing, for, periods, 
based, on, perspective, 
made, because, inventiveness, 
used, in, Curriculum, 
used, in, programs, 
fulfilling, in, nature, 
Thumbs, from, me, 
theank, about, puzzles, 
passed, by, times, 
play, for, ages, 
encourage, As, teacher, 
play, for, ingenuity, 
get, after, while, 
felt, With, exception, 
made, in, future, 
lasted, for, years, 
get, through, them, 
price, for, amount, 
done, in, hours, 
played, through, times, 
live, in, Valley, 
finished, in, seating, 
find, on, Spotify, 
loves, with, me, 
completed, in, days, 
rated, under, star, 
obsessed, with, game, 
went, into, all, 
wrap, around, it, 
got, after, couple, 
die, in, minecraft, 
bring, to, life, 
loved, for, challenge, 
played, on, psp, 
feels, like, box, 
played, on, android, 
worked, for, masterpiece, 
worked, for, Thanks, 
played, for, minutes, 
challenges, at, times, 
recommend, to, everyone, 
has, over, weekend, 
Finished, in, sitting, 
recommend, to, anyone, 
paying, for, Pass, 
played, with, old, 
captivating, with, graphics, 
described, to, friends, 
feeling, like, poem, 
WAIT, FOR, MORE, 
played, in, time, 
feels, like, puzzles, 
Goin, up, stairs, 
goin, down, stairs, 
reminds, of, Fez, 
reminds, minus, frustration, 
played, by, mile, 
ask, for, money, 
think, for, 4, 
Finished, in, hours, 
played, besides, cod, 
finished, in, hour, 
messed, with, mind, 
forced, like, pace, 
playing, through, levels, 
developed, for, charity, 
donated, to, shelter, 
paying, for, levels, 
Got, through, it, 
Got, in, hour, 
hoping, for, something, 
brought, to, tears, 
benefits, from, interface, 
executed, in, detail, 
played, in, bed, 
connected, for, level, 
have, with, game, 
click, on, it, 
think, in, dimensions, 
look, into, it, 
aspire, to, what, 
leave, for, game, 
finish, in, minutes, 
finish, IN, UPDATE, 
found, in, level, 
enchanting, At, times, 
go, on, sale, 
expecting, for, price, 
turning, of, objects, 
turning, in, mind, 
use, to, advantage, 
enjoy, for, entertainment, 
limit, to, ten, 
love, for, story, 
is, of, story, 
cried, over, totem, 
Relaxing, at, time, 
thinking, outside, box, 
drive, due, puzzles, 
continuing, to, end, 
playing, through, content, 
looking, to, MV2, 
play, in, mobile, 
play, in, year, 
looking, for, games, 
quit, in, all, 
get, on, store, 
buying, for, price, 
bored, with, it, 
addicted, to, them, 
wait, for, second, 
buy, for, hour, 
gone, into, game, 
goes, for, Vally, 
using, for, platforms, 
according, to, game, 
have, with, it, 
created, for, play, 
created, in, mind, 
recommend, for, anyone, 
looking, for, puzzles, 
looking, despite, downsides, 
got, through, thing, 
got, in, hour, 
were, for, 4, 
looking, at, angles, 
recommend, to, anyone, 
get, around, them, 
got, Within, days, 
got, from, Google, 
manipulate, to, points, 
looking, at, titles, 
wander, in, world, 
use, for, logic, 
pay, for, what, 
pay, for, DLC, 
paying, for, content, 
short, for, price, 
played, for, hour, 
think, outside, box, 
contributed, to, creation, 
went, through, game, 
went, in, week, 
travel, through, desert, 
run, for, money, 
complaints, about, price, 
go, to, theater, 
Thank, for, game, 
play, as, treat, 
finished, in, days, 
was, for, $, 
put, Unlike, nothing, 
engages, after, day, 
made, through, labor, 
donate, to, someone, 
play, on, it, 
challenging, for, adults, 
