AUX, ATTR, ADJ, NSUBJ, 
's, stage, regular, it, 
's, knockoff, boring, it, 
was, game, complete, that, 
's, game, enjoyful, It, 
is, game, favourite, It, 
be, pay, big, it, 
's, NOTHING, like, it, 
am, player, F2P, i, 
's, game, good, it, 
's, game, great, It, 
's, game, fun, it, 
's, gacha, generic, It, 
's, game, good, It, 
was, grace, saving, that, 
is, weapons, normal, All, 
's, nothing, amazing, it, 
's, rpg, good, It, 
's, game, good, it, 
's, gamd, butiful, it, 
's, game, hard, It, 
is, draw, big, that, 
's, game, good, it, 
's, game, full, it, 
is, game, complex, This, 
is, box, white, all, 
is, time, first, This, 
's, game, nice, It, 
is, game, better, this, 
is, game, active, this, 
is, game, good, This, 
is, game, good, this, 
are, writer, great, you, 
's, game, amazing, it, 
is, game, good, This, 
were, weapons, same, those, 
are, odds, lowest, They, 
's, update, new, it, 
's, experience, amazing, it, 
's, killer, fun, it, 
's, rpg, fun, it, 
's, game, good, It, 
was, moving, free, that, 
's, game, good, it, 
is, game, good, this, 
's, game, decent, it, 
is, game, complete, it, 
is, name, set, It, 
's, game, great, it, 
is, game, good, this, 
is, blow, REALLY, which, 
is, blow, low, which, 
'm, XD, real, I, 
's, way, good, it, 
was, roam, free, it, 
's, game, different, It, 
was, reason, only, Which, 
were, company, american, this, 
's, game, good, it, 
is, game, standard, This, 
is, game, complete, This, 
is, game, amazing, This, 
is, claim, bold, which, 
is, tier, SSR(best, which, 
was, game, different, it, 
's, game, amazing, It, 
's, advertisement, false, that, 
's, game, great, it, 
's, anime, strange, it, 
is, laziness, pure, which, 
's, guys, addictive, it, 
's, guys, good, it, 
was, game, actual, it, 
's, pay, kinda, that, 
's, game, fun, it, 
be, hands, free, I, 
're, advertising, false, you, 
is, masterpiece, regular, that, 
is, game, phenomenal, this, 
is, advertising, false, This, 
is, game, fun, this, 
is, game, final, this, 
is, 👏, amazing, this, 
be, game, nice, It, 
's, RPG, good, it, 
is, pay, lame, this, 
's, rip, stupid, it, 
's, rpg, great, it, 
's, game, paid, it, 
's, game, good, It, 
's, game, fun, it, 
's, game, great, it, 
be, experience, amazing, it, 
's, game, made, It, 
was, style, f2p, it, 
's, fantasy, medieval, it, 
's, fantasy, classic, it, 
's, fantasy, final, it, 
's, version, fun, it, 
's, rank, highest, that, 
