VERB, PREP, POBJ, 
match, with, ad, 
tricked, with, gameplay, 
comparing, to, monsters, 
killed, on, YouTube, 
gotten, off, characters, 
gotten, than, rate, 
gotten, than, characters, 
playing, on, console, 
m, like, game, 
keep, for, char, 
updating, in, char, 
Stop, with, advertisments, 
removed, from, store, 
wasted, for, Astrid, 
bombarded, with, that, 
Report, because, advertising, 
earning, for, summons, 
went, from, evolving, 
went, to, 18, 
went, to, evolving, 
summon, for, monsters, 
turned, into, contest, 
compared, to, games, 
saw, from, them, 
stolen, from, game, 
Use, in, ads, 
look, like, game, 
bored, into, game, 
mf, With, dumb, 
shows, in, commercials, 
put, on, top, 
see, for, game, 
presenting, as, version, 
saw, for, it, 
saw, on, YouTube, 
look, like, type, 
getting, into, it, 
is, Like, apps, 
purchasing, via, unlocks, 
acquired, from, source, 
buy, in, life, 
get, for, roll, 
saving, from, wrath, 
saving, from, me, 
made, of, money, 
turned, into, Roro, 
bother, with, game, 
playing, for, awhile, 
reminds, of, Pokémon, 
do, after, boss, 
clones, like, times, 
focus, on, characters, 
get, through, stage, 
left, with, nothing, 
keep, for, longer, 
looking, for, game, 
heals, to, health, 
upgrading, in, game, 
PAY, for, it, 
drop, to, SSR, 
get, to, game, 
get, for, reason, 
Have, on, 👌, 
move, in, act, 
Spent, on, game, 
challenging, to, degree, 
had, after, bit, 
promote, from, materials, 
get, through, story, 
starts, as, game, 
done, with, mode, 
burning, for, character, 
locked, behind, payments, 
paying, for, it, 
got, at, 10x, 
seeing, in, Homepage, 
replaced, with, mode, 
compared, to, ones, 
do, for, me!Thx, 
rate, in, half, 
thought, through, hard, 
like, about, game, 
play, for, year, 
save, for, pulls, 
stuck, at, 5/24, 
had, with, it, 
had, for, day, 
marked, to, 1, 
marked, for, ads, 
spend, on, it, 
got, to, waifu, 
playing, for, time, 
advertise, on, YouTube, 
adjust, to, time, 
spent, in, game, 
waste, for, nothing, 
appearing, in, game, 
need, pf, them, 
need, to, awaken, 
have, because, crystal, 
prepared, for, memories, 
put, because, stories, 
Prefect, like, things, 
play, for, hours, 
get, for, me, 
move, in, story, 
quit, with, progress, 
Finished, without, numbers, 
downloading, for, resources, 
speak, to, stuff, 
Lost, due, update, 
spent, on, game, 
spent, for, nothing, 
feel, like, type, 
find, in, game, 
guarantee, on, banner, 
Lead, to, scenes, 
shaft, on, summons, 
look, at, rates, 
verything, about, system, 
pulled, from, pool, 
locked, behind, gems, 
shown, in, ads, 
get, into, story, 
rally, on, character, 
rally, from, people, 
rally, on, character, 
have, In, gacha, 
log, into, game, 
seperated, into, two, 
share, to, friends, 
done, with, story, 
feel, with, much, 
drops, from, drop, 
characters, after, summon, 
follow, on, Twitter, 
Kiss, of, event, 
displaying, in, game, 
ends, on, 11/11/2021, 
get, over, advertising, 
treat, like, pit, 
paid, for, game, 
catch, in, start, 
ends, with, campaign, 
show, to, much, 
complaining, about, characters, 
use, for, guarantee, 
knock, to, star, 
CAME, FROM, ADS, 
SPEND, ON, GAME, 
GETS, OVER, TIME, 
compared, to, gachas, 
went, through, hell, 
know, so, devs(developers, 
playing, at, store, 
playing, for, time, 
Uses, on, Facebook, 
collecting, with, logins, 
need, for, chance, 
progress, in, story, 
looking, for, game, 
seeing, on, game, 
go, for, something, 
advertised, as, horror, 
reminds, of, Pokémon, 
working, after, update, 
stuck, with, sr, 
comes, to, soul, 
comes, to, summoning, 
use, in, inventory, 
say, in, wiki, 
updated, after, post, 
do, like, game, 
compete, with, players, 
show, in, trailers, 
look, like, something, 
Turned, into, fox, 
went, to, character, 
looks, like, Rizette, 
have, in, game, 
wanted, for, Mysha, 
done, with, this, 
separate, from, ones, 
immersed, on, it, 
give, in, moment, 
saved, for, weeks, 
saved, for, this, 
runs, on, phone, 
spending, on, it, 
win, on, top, 
win, with, devs, 
paying, for, characters, 
paying, with, chance, 
do, as, player, 
interact, with, players, 
Spent, for, gems, 
went, to, summons, 
have, for, chapter, 
advertise, as, game, 
Thank, for, work, 
having, with, it, 
moving, around, overworld, 
used, to, it, 
imagining, in, game, 
drain, into, it, 
advance, after, point, 
spending, in, game, 
awsome, on, ch, 
built, on, lies, 
play, with, style, 
read, for, characters, 
kicks, after, lines, 
traumatized, with, ads, 
waiting, for, long, 
better, in, way, 
changed, at, drop, 
go, through, story, 
grind, with, monsters, 
dump, in, game, 
breaking, like, system, 
used, within, times, 
expected, from, jrpg, 
engaging, like, games, 
ruining, between, waifus, 
showing, in, middle, 
delete, from, units, 
use, as, unit, 
advertised, on, YouTube, 
crashing, in, while, 
talking, about, what, 
playing, for, while, 
recomend, to, lovers, 
reminds, of, games, 
seen, on, game, 
Mixing, in, weapons, 
given, for, player, 
gets, after, mode, 
gets, to, point, 
goes, For, exmple, 
Let, via, story, 
play, for, minute, 
pick, for, teams, 
fall, for, guys, 
s, during, events, 
going, through, story, 
Playing, For, Women, 
wait, for, arc, 
spiraled, with, it, 
showing, as, horror, 
stopped, on, phone, 
playing, due, size, 
recommend, As, investor, 
cared, about, us, 
sent, for, contact, 
lost, in, playing, 
playing, for, hours, 
summon, for, time, 
enjoy, Besides, that, 
keep, until, act, 
focus, on, story, 
proceeded, in, mode, 
had, for, crystals, 
enjoy, for, time, 
advertised, as, game, 
challenging, at, point, 
click, on, spot, 
Wait, for, fountain, 
according, to, game, 
getting, into, it, 
update, with, information, 
