AUX, ATTR, ADJ, NSUBJ, 
is, game, fun, this, 
is, game, long, this, 
was, inning, 9th, It, 
's, game, great, it, 
is, replayability, favorite, this, 
is, replayability, fun, this, 
is, replayability, great, this, 
's, game, good, It, 
's, game, great, It, 
's, game, adictive, It, 
was, bucks, best, it, 
'm, fan, big, I, 
be, problem, moderate, This, 
'm, fan, huge, I, 
is, game, fun, It, 
is, game, only, it, 
's, game, good, It, 
is, game, great, This, 
's, neeew, whole, It, 
is, annoyance, huge, This, 
was, baseball, pro, this, 
's, advice, only, That, 
