VERB, PREP, POBJ, 
makes, after, couple, 
lock, in, position, 
runs, at, fps, 
runs, on, galaxy, 
like, about, company, 
want, from, me, 
mispelled, on, purpose, 
m, on, newgame+, 
making, like, this, 
making, like, this, 
played, for, weeks, 
invested, in, players, 
came, in, clutch, 
Addicting, as, hell, 
Addicting, with, transactions, 
play, in, tournaments, 
use, in, game, 
look, at, batting, 
playing, for, years, 
go, with, any, 
threw, like, land, 
get, in, game, 
lost, to, game, 
creates, by, company, 
making, into, game, 
knocking, with, games, 
start, from, 0, 
buy, for, fans, 
feel, like, XP, 
gain, from, training, 
had, across, playthroughs, 
look, up, time, 
move, through, dialog, 
hurry, with, everything, 
play, as, players, 
had, with, game, 
challenging, at, times, 
made, for, it, 
made, with, graphics, 
purchased, on, store, 
playing, during, series, 
Beating, in, time, 
make, For, game, 
listened, on, request, 
made, with, animations, 
be, for, game, 
relate, to, anime, 
addicted, as, game, 
learn, to, types, 
learn, with, dumbells, 
learn, by, field, 
Buy, at, risk, 
ask, for, review, 
continue, into, sports, 
pay, for, it, 
glued, to, phone, 
do, with, hockey, 
play, in, burst, 
took, in, beginning, 
took, in, difficult, 
stayed, on, game, 
playing, on, train, 
comes, in, game, 
stuck, to, guns, 
placed, in, purchases, 
get, in, game, 
get, to, levels, 
seem, In, ups, 
comes, to, bunting, 
used, to, things, 
tie, in, baseball, 
go, from, school, 
go, to, MLB, 
go, as, coach, 
play, with, lot, 
loved, by, Kairosoft, 
disappointed, with, game, 
launch, on, shield, 
works, on, phone, 
fixed, on, tablet, 
bring, on, game, 
spend, on, game, 
come, with, version, 
let, in, mind, 
go, with, games, 
expected, from, kairosoft, 
get, through, play, 
want, from, simulation, 
Reminds, of, time, 
get, with, players, 
start, as, C, 
train, for, years, 
do, in, renditions, 
has, In, year, 
striving, for, what, 
face, in, playoffs, 
expect, from, kairo, 
come, For, people, 
come, as, freshman, 
Using, for, boost, 
gone, in, years, 
get, at, times, 
get, with, players, 
leaving, around, experience, 
love, since, game, 
listened, about, game, 
wanted, in, English, 
cost, in, realm, 
hooked, with, this, 
hooked, for, days, 
complaining, about, years, 
come, as, years, 
hit, during, bottom, 
Agreing, with, others, 
Agreing, about, players, 
Reminds, of, games, 
Reminds, with, mechanics, 
locked, in, orientation, 
flip, to, orientation, 
playing, with, it, 
have, for, years, 
waiting, for, one, 
translated, to, english, 
buy, without, reserve, 
port, from, game, 
came, for, english, 
