NOUN, ADJ, 
transactions, micro, 
game, cute, 
game, Cute, 
game, casual, 
game, mobile, 
village, own, 
mechanics, new, 
games, similar, 
experience, worth, 
game, Great, 
items, many, 
details, little, 
game, awesome, 
game, little, 
twiddler, made, 
game, fun, 
popups, many, 
improvements, ergonomic, 
pick, top, 
style, sim, 
games, rewarding, 
games, themed, 
growth, Consistent, 
screen, black, 
game, paced, 
experience, charming, 
experience, laid, 
game, Excellent, 
game, mobile, 
Lots, addictive, 
game, enjoyable, 
years, several, 
way, easy, 
challenge, enough, 
characters, original, 
map, first, 
sim, little, 
killer, Great, 
progression, steady, 
game, Good, 
game, great, 
heroes, little, 
types, more, 
game, good, 
game, nice, 
waster, Enjoyable, 
simulator, fun, 
help, more, 
sim, robust, 
feel, overall, 
design, sound, 
set, same, 
game, good, 
game, actual, 
weeks, few, 
play, more, 
system, fun, 
games, best, 
games, mobile, 
joy, much, 
things, little, 
content, much, 
games, other, 
developer, same, 
game, awesome, 
games, best, 
game, good, 
game, passing, 
characters, unique, 
gameplay, fun, 
dope, Pretty, 
maps, multiple, 
detail, more, 
systems, other, 
game, Great, 
game, Great, 
game, easy, 
recommend, good, 
characters, favorite, 
game, cute, 
system, good, 
game, Great, 
loads, deep, 
times, multiple, 
game, great, 
way, good, 
improvement, complete, 
adventurers, more, 
games, many, 
games, similar, 
games, free, 
game, first, 
game, second, 
ways, faster, 
fun, Amazing, 
sequel, great, 
gameplay, expanded, 
popups, Pretty, 
popups, fun, 
variety, nice, 
wave, constant, 
wave, tidal, 
game, awesome, 
things, fun, 
towns, multiple, 
game, little, 
minutes, few, 
about, little, 
game, fun, 
game, fun, 
transactions, micro, 
upgrade, direct, 
variables, many, 
variables, different, 
blend, beautiful, 
adventurers, little, 
reason, only, 
ups, many, 
lol, plenty, 
game, mobile, 
game, deep, 
purchases, additional, 
game, Great, 
game, Great, 
messages, Constant, 
popups, certain, 
game, full, 
transactions, micro, 
fun, super, 
days, straight, 
spender, compulsive, 
game, best, 
improvement, definite, 
game, Great, 
game, Great, 
up, Excellent, 
game, Casual, 
game, Great, 
popups, many, 
games, Great, 
games, nice, 
game, addictive, 
ads, damn, 
game, good, 
game, second, 
concept, same, 
one, first, 
cost, low, 
push, challenging, 
playthrough, second, 
game, developed, 
notifications, many, 
combinations, different, 
fun, Good, 
game, first, 
play, casual, 
issues, micro, 
notifications, near, 
notifications, constant, 
notifications, pop, 
chore, real, 
game, good, 
notifications, repetitive, 
way, great, 
game, Great, 
fun, Great, 
value, Great, 
game, Great, 
game, easy, 
game, great, 
menus, many, 
game, late, 
game, Great, 
game, entertaining, 
sequel, great, 
features, added, 
charm, much, 
way, Great, 
game, great, 
games, paid, 
version, dumbed, 
transcations, micro, 
games, addictive, 
games, mobile, 
time, long, 
monsters, adorable, 
time, fun, 
waster, Super, 
game, Nice, 
fun, Pretty, 
time, good, 
game, fun, 
game, better, 
game, Great, 
game, Great, 
games, best, 
builder, simple, 
builder, charming, 
elements, fun, 
game, enjoyable, 
game, full, 
game, entertaining, 
game, available, 
transactions, micro, 
game, engaging, 
game, fun, 
characters, great, 
time, good, 
developer, best, 
developer, mobile, 
balance, perfect, 
jobs, more, 
gameplay, streamlined, 
depth, more, 
game, first, 
zones, new, 
fighters, best, 
town, new, 
game, new, 
file, same, 
things, new, 
value, much, 
gripe, only, 
game, good, 
game, little, 
love, Great, 
expansion, wonderful, 
game, first, 
fun, much, 
options, Info, 
options, parsing, 
filter, real, 
lists, long, 
time, Good, 
game, great, 
years, few, 
game, great, 
game, Great, 
purchase, small, 
management, little, 
jump, Definite, 
fun, much, 
time, great, 
manager, little, 
game, Great, 
game, offline, 
game, fun, 
game, Great, 
occasion, rare, 
game, mobile, 
sink, excellent, 
game, Great, 
game, little, 
game, simple, 
game, engaging, 
money, spending, 
money, real, 
game, great, 
game, little, 
time, good, 
graphics, Low, 
game, mini, 
notifications, annoying, 
game, complex, 
graphics, cute, 
game, Great, 
game, addictive, 
fun, Pretty, 
game, fun, 
game, little, 
things, Few, 
things, new, 
game, last, 
game, Great, 
tutorials, more, 
game, Great, 
game, Best, 
game, mobile, 
time, long, 
reminder, good, 
games, mobile, 
game, good, 
popups, many, 
balance, fun, 
balance, perfect, 
lol, Addictive, 
game, Great, 
game, first, 
game, worth, 
stuff, fun, 
game, fun, 
humor, expansive, 
humor, good, 
job, Nice, 
game, Great, 
version, first, 
towns, multiple, 
limit, previous, 
game, Great, 
ups, many, 
control, more, 
progression, Enjoyable, 
progression, long, 
pockets, many, 
feature, save, 
frustrating--, most, 
hours, Many, 
attention, constant, 
game, good, 
builder, fun, 
builder, complex, 
ups, many, 
number, ridiculous, 
game, good, 
game, best, 
player, single, 
transactions, micro, 
one, first, 
hahaha, addictivr, 
game, best, 
game, normal, 
transactions, micro, 
game, great, 
game, fun, 
version, new, 
game, good, 
content, good, 
time, Good, 
gameplay, addictive, 
game, good, 
games, good, 
rpg, much, 
management, much, 
game, Simple, 
game, fun, 
game, awesome, 
game, nice, 
game, little, 
time, spare, 
game, Great, 
game, great, 
game, fun, 
way, Fantastic, 
game, Great, 
progression, Good, 
town, first, 
releases, more, 
months, several, 
game, paid, 
device, same, 
concern, big, 
game, nice, 
micromanagement, little, 
game, interesting, 
game, good, 
grab, constant, 
challenge, much, 
game, Great, 
crowd, younger, 
players, casual, 
killer, Fantastic, 
fun, Good, 
game, addictive, 
games, best, 
game, first, 
game, deep, 
banger, Absolute, 
value, good, 
game, Nice, 
ages, first, 
game, free, 
friends, cool, 
rpg, idle, 
idea, Great, 
game, Excellent, 
games, favorite, 
developers, favorite, 
one, 1st, 
way, entertaining, 
rating, high, 
game, idle, 
game, fun, 
game, fkn, 
work, good, 
popups, less, 
game, great, 
town, first, 
one, next, 
improvement, Decent, 
towns, several, 
game, great, 
game, idle, 
transactions, micro, 
game, lovely, 
time, calm, 
game, Great, 
game, good, 
tutorial, confusing, 
tutorial, short, 
games, other, 
improvement, big, 
games, better, 
years, recent, 
game, old, 
time, little, 
waster, Neat, 
game, Pretty, 
game, fun, 
game, casual, 
game, good, 
game, hard, 
game, good, 
fun, Good, 
game, 1st, 
game, great, 
game, Good, 
time, bad, 
game, Best, 
game, mobile, 
town, 3rd, 
content, added, 
themes, different, 
game, simple, 
company, same, 
lot, available, 
stakes, real, 
village, little, 
game, Good, 
game, sure, 
fun, Amazing, 
fun, good, 
town, first, 
towns, more, 
game, Super, 
game, clean, 
game, Great, 
game, good, 
game, worth, 
bit, little, 
hours, few, 
ups, constant, 
game, great, 
game, passer, 
upgrades, unique, 
system, old, 
type, same, 
version, upgraded, 
expansion, second, 
town, cramped, 
time, long, 
purpose, more, 
job, nice, 
reason, original, 
additions, enough, 
game, Great, 
game, Amazing, 
rpg, little, 
option, More, 
sequel, stellar, 
village, Loved, 
sequel, great, 
town, first, 
dialog, silly, 
notification, many, 
annoys, kind, 
notification, less, 
game, great, 
fun, Brilliant, 
fun, great, 
village, full, 
variation, much, 
transactions, micro, 
stakes, Low, 
notifications, many, 
popups, many, 
packs, Gifting, 
game, Good, 
game, worth, 
RPGs, best, 
👌, Excellent, 
improvement, great, 
game, Great, 
game, Amazing, 
fan, big, 
occasions, several, 
hours, actual, 
gameplay, old, 
game, adorable, 
amount, Surprising, 
way, best, 
improvement, Actual, 
game, Fantastic, 
game, Wonderful, 
game, fun, 
game, little, 
additions, Many, 
additions, new, 
game, Nice, 
game, happy, 
boss, first, 
time, first, 
design, bad, 
design, bad, 
way, reasonable, 
experience, Fantastic, 
experience, overall, 
graphics, nice, 
graphics, pixel, 
time, great, 
killer, Simple, 
game, great, 
money, best, 
popups, constant, 
game, great, 
game, worth, 
monsters, cute, 
game, great, 
time, Great, 
content, extra, 
game, Best, 
games, most, 
game, infested, 
creators, other, 
game, first, 
features, neat, 
features, little, 
one, third, 
game, Awesome, 
maps, different, 
minutes, several, 
game, fun, 
fun, Super, 
game, charming, 
thing, only, 
game, buy, 
game, solid, 
village, first, 
one, best, 
game, fun, 
cost, small, 
day, first, 
game, Nice, 
things, other, 
gaming, mobile, 
game, great, 
game, Pretty, 
game, fun, 
way, easier, 
title, new, 
goal, own, 
game, Overall, 
