AUX, ATTR, ADJ, NSUBJ, 
is, game, cute, This, 
's, game, awesome, It, 
's, game, little, It, 
is, twiddler, made, it, 
is, experience, charming, This, 
is, experience, laid, This, 
's, game, good, it, 
's, game, cute, It, 
's, game, great, it, 
is, improvement, complete, this, 
is, game, awesome, This, 
'm, spender, compulsive, I, 
's, game, best, it, 
's, game, good, It, 
's, game, little, It, 
is, game, great, this, 
's, game, fun, It, 
is, game, fun, it, 
is, game, little, it, 
's, game, fun, It, 
is, game, normal, This, 
is, game, great, This, 
's, game, deep, it, 
was, game, free, it, 
is, improvement, big, this, 
's, game, casual, It, 
's, game, good, It, 
's, game, worth, It, 
is, sequel, great, this, 
's, annoys, kind, it, 
is, game, great, this, 
is, design, bad, this, 
is, design, bad, this, 
's, game, fun, It, 
is, thing, only, which, 
is, thing, good, which, 
is, sink, fantastic, This, 
's, game, entertaining, It, 
're, fan, big, you, 
is, upgrade, huge, This, 
's, one, good, it, 
's, sink, total, it, 
is, game, fun, This, 
is, game, interactive, This, 
's, improvement, huge, It, 
is, game, amazing, This, 
's, sink, cute, It, 
's, sink, fun, It, 
was, game, first, it, 
be, game, best, this, 
's, game, fun, It, 
is, game, good, This, 
's, set, interesting, It, 
's, set, different, It, 
is, game, fantastic, This, 
is, pairing, winning, this, 
's, upgrade, solid, It, 
's, game, great, It, 
'm, fan, huge, I, 
's, concept, simple, it, 
is, way, fun, This, 
's, fun, good, it, 
been, fan, huge, I, 
's, way, great, It, 
's, game, same, It, 
