VERB, PREP, POBJ, 
returning, to, it, 
invested, in, game, 
comparing, to, games, 
lying, around, ground, 
lying, for, minute, 
changed, in, years, 
changed, for, games, 
running, in, background, 
optimized, like, champ, 
supporting, for, years, 
play, with, challenge, 
gives, from, farming, 
gives, outside, visitors, 
get, from, ship, 
Played, through, map, 
playing, for, bit, 
engrossing, with, progression, 
made, to, original, 
logged, in, hours, 
logged, in, week, 
doing, for, adventurers, 
plays, like, game, 
played, before, pay, 
load, for, me, 
left, for, weeks, 
put, into, experience, 
try, from, developer, 
Thank, for, game, 
immersed, in, game, 
sped, Towards, end, 
going, through, ranks, 
go, with, kairosoft, 
clicked, on, times, 
asked, As, bonus, 
asked, for, rating, 
asked, in, gameplay, 
feel, like, annoyance, 
give, for, reason, 
buy, after, time, 
sticks, to, one, 
glue, to, screen, 
glue, for, hours, 
get, to, end, 
get, to, end, 
mixes, into, blend, 
rate, for, stars, 
give, without, question, 
turn, of, popups, 
playing, for, days, 
buy, in, future, 
played, in, while, 
get, to, stars, 
play, without, ads, 
does, with, progression, 
find, at, push, 
find, as, playthrough, 
whiz, through, it, 
whiz, with, ease, 
pass, with, Game, 
looking, for, something, 
appreciated, on, off, 
feel, near, end, 
spending, on, transcations, 
played, in, time, 
start, with, one, 
recommended, for, tag, 
win, with, characters, 
did, in, game, 
take, with, everything, 
shocked, by, depth, 
get, for, money, 
lacking, on, lists, 
spent, on, it, 
spent, on, game, 
put, into, game, 
engaging, in, game, 
hidden, behind, simple, 
stands, for, quality, 
has, with, games, 
added, from, game, 
played, in, time, 
sucked, for, hours, 
expect, from, Kairosoft, 
extends, beyond, limit, 
sit, with, application, 
lose, in, days, 
save, in, spot, 
require, so, game, 
have, on, side, 
playing, for, days, 
check, on, it, 
notifying, of, stuff, 
feels, like, game, 
get, through, it, 
hope, on, mobile, 
gotten, in, while, 
playing, through, day, 
want, from, game, 
keep, in, mind, 
play, in, time, 
spent, in, total, 
sink, into, that, 
Looking, to, releases, 
reinstall, after, months, 
reinstall, for, game, 
recover, in, device, 
seen, For, example, 
Love, to, pieces, 
put, into, game, 
get, like, game, 
get, along, way, 
do, than, one, 
feels, like, game, 
gotten, to, stars, 
moving, to, one, 
pays, in, end, 
Turns, to, game, 
run, in, background, 
makes, for, time, 
reminded, of, game, 
play, for, hours, 
played, in, background, 
