AUX, ATTR, ADJ, NSUBJ, 
's, game, cool, It, 
's, choice, good, it, 
is, playthrough, 5th, this, 
's, game, fun, It, 
is, game, fun, This, 
is, game, little, This, 
is, game, original, This, 
is, game, simple, This, 
's, game, fun, It, 
's, way, great, It, 
is, game, solid, it, 
is, game, best, This, 
is, game, simple, This, 
's, way, fun, It, 
is, game, fun, This, 
's, game, sweet, It, 
's, game, good, It, 
's, game, enjoyable, it, 
's, game, mindless, it, 
'm, 🤣, addicted, I, 
is, game, great, This, 
's, notch, top, it, 
's, manage, micro, It, 
were, consoles, more, they, 
's, game, mindless, it, 
's, way, good, it, 
's, game, fun, It, 
's, playthrough, new, it, 
is, game, cute, this, 
is, game, great, This, 
's, game, great, It, 
's, game, mobile, It, 
's, game, fun, It, 
is, concept, neat, It, 
is, tycoon, adorable, It, 
was, game, 1st, This, 
's, game, great, It, 
was, one, original, this, 
was, game, first, This, 
'm, fan, huge, I, 
is, game, best, this, 
's, 7.5/10, solid, It, 
am, game, new, I, 
is, example, great, this, 
's, blast, absolute, It, 
is, game, fantastic, This, 
is, game, addictive, This, 
's, game, first, it, 
's, finish, able, It, 
is, game, good, it, 
is, game, little, it, 
is, game, phenomenal, This, 
is, game, best, This, 
is, game, great, It, 
is, game, casual, This, 
is, game, great, This, 
was, game, great, It, 
was, game, nice, It, 
is, game, addictive, This, 
's, game, best, It, 
's, game, great, it, 
's, game, fun, It, 
was, experience, great, it, 
is, game, nice, This, 
's, game, fun, it, 
is, game, great, this, 
's, flaw, only, That, 
