VERB, PREP, POBJ, 
played, for, reason, 
worry, about, money, 
stands, as, one, 
Expand, on, genres, 
explore, into, it, 
played, through, game, 
played, over, times, 
went, with, options, 
playing, for, years, 
add, to, it, 
add, like, office, 
browse, for, offices, 
lost, in, it, 
lost, for, hours, 
rotates, with, phone, 
finished, in, 5hrs, 
hooked, for, days, 
playing, for, days, 
play, in, school, 
playing, for, while, 
challenging, in, way, 
played, for, yrs, 
seemed, on, playthrough, 
used, to, them, 
presented, with, ads, 
got, after, years, 
have, on, phone, 
going, at, work, 
disappointed, with, purchase, 
work, from, bottom, 
Played, for, years, 
cryied, as, developer, 
designed, for, rpg, 
playing, for, years, 
pay, to, win, 
killing, in, life, 
coming, for, years, 
felt, in, year, 
Came, after, time, 
hooked, for, hours, 
growing, as, gamer, 
entranced, for, hours, 
played, for, years, 
deleted, with, dollars, 
deleted, on, it, 
got, on, game, 
saw, in, save, 
stay, in, business, 
Go, to, Gamecon, 
playing, in, time, 
play, through, career, 
m, on, toilet, 
play, on, phone, 
add, through, updates, 
played, for, hours, 
played, in, sitting, 
blew, with, stuff, 
got, if, it, 
see, to, many, 
playing, for, years, 
playing, on, drive, 
had, on, fun, 
got, into, 80s, 
got, for, time, 
dropped, under, 50, 
play, for, minutes, 
play, for, hours, 
play, on, end, 
Love, after, years, 
play, for, hours, 
coming, for, years, 
coming, with, simple, 
Got, on, whim, 
waiting, at, airport, 
waiting, as, alternative, 
bought, before, one, 
buy, on, phone, 
have, about, it, 
gained, after, games, 
competing, against, companies, 
playing, for, years, 
have, with, game, 
played, through, times, 
played, over, years, 
Had, with, game, 
rush, with, playthrough, 
do, with, update, 
bring, with, consoles, 
played, for, years, 
boring, with, repeat, 
wish, for, sequel, 
snatch, in, heartbeat, 
play, with, music, 
play, after, day, 
stars, to, time, 
See, for, yourself, 
play, during, flight, 
play, by, Karosoft, 
put, into, game, 
owned, for, time, 
attached, to, dude, 
pay, for, out, 
enjoy, in, 2021, 
learn, at, first, 
enjoy, after, that, 
played, for, years, 
had, with, one, 
understand, in, beginning, 
seen, to, date, 
picks, to, game, 
find, in, it, 
played, for, years, 
get, towards, endgame, 
Fell, in, Love, 
Fell, With, Graphics, 
fell, in, love, 
play, to, day, 
pass, on, deployment, 
making, in, time, 
Loved, as, kid, 
played, for, years, 
win, Of, Year, 
hired, from, play, 
hired, to, next, 
coming, over, years, 
fight, off, boredom, 
glued, to, it, 
becomes, After, that, 
get, in, category, 
Keeps, for, while, 
killed, to, time, 
fell, in, love, 
showing, at, time, 
hits, in, 2021, 
feels, at, times, 
help, with, combos, 
fulfilling, than, this, 
add, to, game, 
playing, for, years, 
aiming, for, game, 
gets, after, while, 
playing, for, time, 
Thank, for, game, 
playing, at, chance, 
combined, with, results, 
makes, for, game, 
glued, for, hours, 
runs, on, phones, 
Played, for, years, 
crashing, on, nexus, 
running, in, background, 
set, to, Performance, 
moved, to, offices, 
start, with, some, 
playing, with, friends, 
noticed, to, own, 
developing, In, playthrough, 
discontinued, in, other, 
played, of, theirs, 
add, to, it, 
ask, for, what, 
