VERB, PREP, POBJ, 
playing, on, android, 
get, to, levels, 
change, for, levels, 
play, with, settings, 
working, against, circles, 
working, without, resolution, 
antagonize, without, reward, 
run, into, issue, 
tell, on, screen, 
attached, to, shape, 
takes, to, page, 
bombard, with, ads, 
suited, for, screen, 
get, in, android, 
get, in, maps, 
leads, to, frustration, 
explained, for, me, 
seen, on, android, 
leads, to, gameplay, 
play, at, point, 
play, in, day, 
get, on, phone, 
based, on, theory, 
based, on, traffic, 
Liked, of, course, 
looked, to, version, 
hit, on, head, 
hit, with, concept, 
deal, with, complexity, 
made, to, Apple, 
allowing, for, pauses, 
taking, with, it, 
heading, towards, destinations, 
label, as, number, 
press, on, button, 
going, on, pace, 
played, on, computer, 
played, on, coolmathgames, 
have, for, phone(obvisously, 
updating, in, scoreboard, 
updating, after, game, 
dreaming, about, solutions, 
playing, for, day, 
add, to, stations, 
payed, for, game, 
Fun, for, while, 
love, with, mechanics, 
chill, after, day, 
own, on, mobile, 
challenging, at, time, 
share, with, Family, 
drop, on, mobile, 
feature, in, game, 
go, from, stars, 
zooming, in, makes, 
like, on, phone, 
realized, after, while, 
rely, on, graphics, 
playing, for, years, 
have, on, platforms, 
use, for, days, 
manuever, into, redemption, 
favors, over, skill, 
show, in, Games, 
looks, like, mixture, 
blended, into, one, 
moved, In, days, 
travelled, over, network, 
travelled, with, word, 
stuck, on, traffic, 
hoping, in, future, 
crashed, for, months, 
grating, after, minutes, 
included, from, get, 
leaving, with, surplus, 
leaving, in, place, 
did, as, project, 
did, with, routes, 
use, as, assignment, 
pull, OFF, city, 
relaxing, at, time, 
seen, in, game, 
spent, on, game, 
looking, for, what, 
brought, to, life, 
Love, in, steam, 
play, on, bus, 
got, in, it, 
made, with, premise, 
built, into, game, 
has, for, people, 
move, on, themselves, 
gets, in, way, 
gets, after, bit, 
send, with, score, 
work, as, tutorial, 
solving, like, myself, 
test, in, end, 
Works, like, charm, 
stuck, for, twice, 
stuck, in, situation, 
letting, for, hours, 
master, among, words, 
involved, in, development, 
see, for, yourself, 
hidden, under, homerow, 
stuck, in, stations, 
come, to, Android, 
play, on, YouTube, 
asked, for, refund, 
have, on, android, 
do, with, optimisation, 
gets, in, stars, 
's, to, it, 
try, by, developers, 
getting, with, run, 
stick, with, it, 
paying, for, it, 
used, in, class, 
play, with, UI, 
controls, at, times, 
release, on, android, 
come, to, Android, 
play, in, simulator, 
popping, over, map, 
choose, At, end, 
choose, between, resources, 
stop, from, overcrowding, 
keep, with, demand, 
beaten, in, hours, 
looking, to, Motorways, 
coming, on, Android, 
appears, on, 1/4, 
come, with, Motorways, 
WAITING, FOR, MOTORWAY, 
suck, at, it, 
geek, over, models, 
looking, at, maps, 
Looking, to, levels, 
play, on, transportation, 
refreshing, in, stores, 
remove, from, screen, 
play, in, app, 
ranks, among, five, 
provides, in, outings, 
provides, for, thought, 
is, in, mechanics, 
lock, behind, deals, 
stuck, with, lines, 
droning, in, background, 
happens, with, game, 
care, of, playerbase, 
come, to, devices, 
give, because, consoles, 
done, since, 80s, 
sits, at, 1, 
care, about, us, 
wait, in, level, 
Using, for, time, 
coming, for, break, 
PAY, FOR, IT, 
play, as, waster, 
leave, with, way, 
play, on, Motorways, 
got, On, Stockholm, 
connect, to, ports, 
played, for, years, 
emerge, from, rules, 
lost, With, gestures, 
lost, in, flow, 
comes, from, way, 
go, to, island, 
go, in, map, 
based, on, it, 
play, on, phone, 
sends, to, play, 
added, as, map, 
owned, on, Steam, 
owned, for, year, 
add, to, game, 
gets, for, anyone, 
go, to, it, 
scroll, to, city, 
look, into, this, 
